Location,Recipient,Plant_ID,Sample ID,Tube ID,Weight including capsule (mg),Sample weight (mg),Well ID,Tray Name,Type of Material,Analysis,Enriched
46,BB_024,4,BB_024-046-04,85,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
46,BB_153,1,BB_153-046-01,86,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
47,BB_049,5,BB_049-047-05,87,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
48,BB_157,7,BB_157-048-07,88,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
49,BB_088,7,BB_088-049-07,89,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
53,BB_078,7,BB_078-053-07,90,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
53,BB_118,3,BB_118-053-03,91,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
54,BB_120,8,BB_120-054-08,92,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
55,BB_086,1,BB_086-055-01,93,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
56,BB_016,4,BB_016-056-04,94,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
57,BB_092,7,BB_092-057-07,95,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
57,BB_111,1,BB_111-057-01,96,,,,Nemo_2022_BB_1,plant stem tissue,"13C, 15N",No
57,BB_120,3,BB_120-057-03,97,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
58,BB_050,6,BB_050-058-06,98,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
58,BB_153,3,BB_153-058-03,99,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
59,BB_133,8,BB_133-059-08,100,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
59,BB_143,5,BB_143-059-05,101,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
61,BB_078,8,BB_078-061-08,102,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
62,BB_061,1,BB_061-062-01,103,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
62,BB_214,8,BB_214-062-08,104,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
63,BB_171,1,BB_171-063-01,105,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
64,BB_051,3,BB_051-064-03,106,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
65,BB_052,4,BB_052-065-04,107,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
65,BB_150,8,BB_150-065-08,108,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
67,BB_164,2,BB_164-067-02,109,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
69,BB_199,8,BB_199-069-08,110,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
71,BB_210,1,BB_210-071-01,111,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
72,BB_119,6,BB_119-072-06,112,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
72,BB_195,7,BB_195-072-07,113,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
73,BB_045,2,BB_045-073-02,114,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
74,BB_157,5,BB_157-074-05,115,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
75,BB_031,3,BB_031-075-03,116,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
75,BB_095,6,BB_095-075-06,117,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
76,BB_053,7,BB_053-076-07,118,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
77,BB_032,1,BB_032-077-01,119,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
77,BB_151,6,BB_151-077-06,120,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
78,BB_209,6,BB_209-078-06,121,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
79,BB_076,8,BB_076-079-08,122,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
80,BB_019,8,BB_019-080-08,123,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
80,BB_207,3,BB_207-080-03,124,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
82,BB_131,8,BB_131-082-08,125,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
83,BB_039,5,BB_039-083-05,126,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
83,BB_093,6,BB_093-083-06,127,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
83,BB_102,6,BB_102-083-06,128,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
83,BB_109,3,BB_109-083-03,129,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
85,BB_002,3,BB_002-085-03,130,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
85,BB_029,4,BB_029-085-04,131,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
85,BB_079,3,BB_079-085-03,132,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
85,BB_193,6,BB_193-085-06,133,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
86,BB_077,7,BB_077-086-07,134,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
86,BB_103,1,BB_103-086-01,135,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
86,BB_179,2,BB_179-086-02,136,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
86,BB_189,7,BB_189-086-07,137,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
87,BB_087,5,BB_087-087-05,138,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
87,BB_126,8,BB_126-087-08,139,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
87,BB_137,2,BB_137-087-02,140,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
88,BB_017,2,BB_017-088-02,141,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
88,BB_149,8,BB_149-088-08,142,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
91,BB_049,7,BB_049-091-07,143,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
92,BB_160,8,BB_160-092-08,144,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
93,BB_138,2,BB_138-093-02,145,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
95,BB_063,7,BB_063-095-07,146,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
96,BB_044,3,BB_044-096-03,147,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
97,BB_060,5,BB_060-097-05,148,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
97,BB_071,1,BB_071-097-01,149,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
98,BB_086,3,BB_086-098-03,150,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
99,BB_035,5,BB_035-099-05,151,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
99,BB_059,2,BB_059-099-02,152,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
99,BB_192,4,BB_192-099-04,153,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
99,BB_205 A,6,BB_205 A-099-06,154,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
101,BB_021,3,BB_021-101-03,155,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
102,BB_183,4,BB_183-102-04,156,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
103,BB_030,6,BB_030-103-06,157,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
103,BB_054,7,BB_054-103-07,158,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
103,BB_215,2,BB_215-103-02,159,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
104,BB_048,4,BB_048-104-04,160,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
104,BB_170,1,BB_170-104-01,161,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
106,BB_071,2,BB_071-106-02,162,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
106,BB_103,5,BB_103-106-05,163,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
108,BB_204,7,BB_204-108-07,164,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
109,BB_024,8,BB_024-109-08,165,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
109,BB_097,2,BB_097-109-02,166,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
111,BB_027,2,BB_027-111-02,167,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
111,BB_127,7,BB_127-111-07,168,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
112,BB_218,8,BB_218-112-08,169,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
114,BB_032,7,BB_032-114-07,170,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
114,BB_035,4,BB_035-114-04,171,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
115,BB_077,7,BB_077-115-07,172,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
115,BB_214,7,BB_214-115-07,173,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
116,BB_078,7,BB_078-116-07,174,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
116,BB_149,5,BB_149-116-05,175,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
117,BB_092,1,BB_092-117-01,176,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
117,BB_098,1,BB_098-117-01,177,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
117,BB_190,6,BB_190-117-06,178,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
118,BB_002,4,BB_002-118-04,179,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
118,BB_034,8,BB_034-118-08,180,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
118,BB_207,5,BB_207-118-05,181,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
119,BB_086,5,BB_086-119-05,182,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
119,BB_143,1,BB_143-119-01,183,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
119,BB_189,4,BB_189-119-04,184,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
121,BB_088,1,BB_088-121-01,185,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
121,BB_109,7,BB_109-121-07,186,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
121,BB_123,2,BB_123-121-02,187,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
121,BB_134,8,BB_134-121-08,188,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
122,BB_021,5,BB_021-122-05,189,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
122,BB_120,1,BB_120-122-01,190,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
122,BB_152,2,BB_152-122-02,191,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
123,BB_010,3,BB_010-123-03,192,,,,Nemo_2022_BB_2,plant stem tissue,"13C, 15N",No
123,BB_018,5,BB_018-123-05,193,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
124,BB_042,4,BB_042-124-04,194,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
124,BB_193,8,BB_193-124-08,195,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
124,BB_195,4,BB_195-124-04,196,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
125,BB_044,2,BB_044-125-02,197,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
125,BB_049,2,BB_049-125-02,198,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
127,BB_080,8,BB_080-127-08,199,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
128,BB_153,1,BB_153-128-01,200,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
129,BB_058,1,BB_058-129-01,201,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
129,BB_089,8,BB_089-129-08,202,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
129,BB_137,3,BB_137-129-03,203,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
131,BB_084,7,BB_084-131-07,204,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
131,BB_199,5,BB_199-131-05,205,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
132,BB_063,2,BB_063-132-02,206,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
132,BB_079,6,BB_079-132-06,207,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
133,BB_053,4,BB_053-133-04,208,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
133,BB_133,3,BB_133-133-03,209,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
133,BB_135,8,BB_135-133-08,210,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
134,BB_085,7,BB_085-134-07,211,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
134,BB_132,8,BB_132-134-08,212,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
134,BB_146,1,BB_146-134-01,213,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
136,BB_048,2,BB_048-136-02,214,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
136,BB_210,7,BB_210-136-07,215,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
137,BB_031,1,BB_031-137-01,216,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
137,BB_150,7,BB_150-137-07,217,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
139,BB_046,2,BB_046-139-02,218,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
141,BB_037,8,BB_037-141-08,219,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
141,BB_163,5,BB_163-141-05,220,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
141,BB_164,1,BB_164-141-01,221,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
141,BB_192,1,BB_192-141-01,222,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
142,BB_054,4,BB_054-142-04,223,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
142,BB_104,1,BB_104-142-01,224,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
143,BB_017,5,BB_017-143-05,225,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
143,BB_110,6,BB_110-143-06,226,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
144,BB_105,8,BB_105-144-08,227,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
145,BB_083,4,BB_083-145-04,228,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
146,BB_102,2,BB_102-146-02,229,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
148,BB_029,8,BB_029-148-08,230,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
149,BB_056,8,BB_056-149-08,231,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
149,BB_138,5,BB_138-149-05,232,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
151,BB_008,7,BB_008-151-07,233,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
151,BB_051,3,BB_051-151-03,234,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
152,BB_043,5,BB_043-152-05,235,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
153,BB_145,1,BB_145-153-01,236,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
153,BB_179,7,BB_179-153-07,237,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
154,BB_205 A,5,BB_205 A-154-05,238,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
155,BB_059,6,BB_059-155-06,239,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
155,BB_147,2,BB_147-155-02,240,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
155,BB_157,7,BB_157-155-07,241,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
156,BB_009,7,BB_009-156-07,242,,,,Nemo_2022_BB_3,plant stem tissue,"13C, 15N",No
