Sequence,Transect,Segment,position,Gen,Recipient,Fit_plant
39,1,39,R,G1,HR_158,5
40,1,40,L,G1,HR_065,3
40,1,40,R,G1,HR_115,3
41,1,41,L,G1,HR_070,
41,1,41,R,G1,HR_033,2
42,1,42,L,G2,HR_184,4
42,1,42,R,G1,HR_135,4
43,1,43,L,G1,HR_178,4
43,1,43,R,G1,HR_116,4
44,1,44,L,G2,HR_101,3
44,1,44,R,G1,HR_018,5
45,1,45,L,G2,HR_037,2
45,1,45,R,G1,HR_071,4
46,2,1,L,G1,HR_059,3
46,2,1,R,G2,HR_139,5
47,2,2,L,G1,HR_114,5
47,2,2,R,G2,HR_053,3
48,2,3,L,G2,HR_146,1
48,2,3,R,G1,HR_182,1
49,2,4,L,G1,HR_156,2
49,2,4,R,G2,HR_026,3
50,2,5,L,G2,HR_152,2
50,2,5,R,G1,HR_009,3
51,2,6,L,G2,HR_058,5
51,2,6,R,G2,HR_036,4
52,2,7,L,G1,HR_145,1
52,2,7,R,G2,HR_126,4
53,2,8,L,G2,HR_049,2
53,2,8,R,G1,HR_155,3
54,2,9,L,G1,HR_169,4
54,2,9,R,G2,HR_179,3
55,2,10,L,G1,HR_007,3
55,2,10,R,G1,HR_153,2
56,2,11,L,G2,HR_007,5
56,2,11,R,G1,HR_036,5
57,2,12,L,G1,HR_001,3
57,2,12,R,G1,HR_168,1
58,2,13,L,G2,HR_034,1
58,2,13,R,G2,HR_088,3
59,2,14,L,G1,HR_108,5
59,2,14,R,G1,HR_035,4
60,2,15,L,G1,HR_105,2
60,2,15,R,G2,HR_104,2
61,2,16,L,G1,HR_026,1
61,2,16,R,G2,HR_019,3
62,2,17,L,G2,HR_028,2
62,2,17,R,G2,HR_168,4
63,2,18,L,G1,HR_103,5
63,2,18,R,G2,HR_068,4
64,2,19,L,G1,HR_021,3
64,2,19,R,G1,HR_195,4
65,2,20,L,G1,HR_175,4
65,2,20,R,G2,HR_067,3
66,2,21,L,G2,HR_145,2
66,2,21,R,G2,HR_040,3
67,2,22,L,G2,HR_068,4
67,2,22,R,G1,HR_153,5
68,2,23,L,G1,HR_044,5
68,2,23,R,G2,HR_149,1
69,2,24,L,G1,HR_010,3
69,2,24,R,G2,HR_015,1
70,2,25,L,G2,HR_065,4
70,2,25,R,G1,HR_174,5
71,2,26,L,G1,HR_065,2
71,2,26,R,G1,HR_175,1
72,2,27,L,G2,HR_036,4
72,2,27,R,G1,HR_037,3
73,2,28,L,G1,HR_169,1
73,2,28,R,G2,HR_182,1
74,2,29,L,G2,HR_054,5
74,2,29,R,G1,HR_195,5
75,2,30,L,G1,HR_017,4
75,2,30,R,G2,HR_073,4
76,2,31,L,G1,HR_107,5
76,2,31,R,G1,HR_145,2
77,2,32,L,G2,HR_182,1
77,2,32,R,G1,HR_146,1
78,2,33,L,G2,HR_033,2
78,2,33,R,G1,HR_073,2
79,2,34,L,G1,HR_071,1
79,2,34,R,G1,HR_043,3
80,2,35,L,G2,HR_165,2
80,2,35,R,G2,HR_062,2
81,2,36,L,G2,HR_176,5
81,2,36,R,G1,HR_092,1
82,2,37,L,G1,HR_193,2
82,2,37,R,G2,HR_195,4
83,2,38,L,G1,HR_166,2
83,2,38,R,G2,HR_173,1
84,2,39,L,G1,HR_152,4
84,2,39,R,G2,HR_142,5
85,2,40,L,G1,HR_115,4
85,2,40,R,G2,HR_058,2
86,2,41,L,G2,HR_023,4
86,2,41,R,G2,HR_192,5
87,2,42,L,G2,HR_067,4
87,2,42,R,G1,HR_133,4
88,2,43,L,G1,HR_067,5
88,2,43,R,G1,HR_038,4
89,2,44,L,G1,HR_101,1
89,2,44,R,G1,HR_079,2
90,2,45,L,G2,HR_175,1
90,2,45,R,G1,HR_121,3
91,3,1,L,G1,HR_088,1
91,3,1,R,G2,HR_012,1
92,3,2,L,G1,HR_193,1
92,3,2,R,G1,HR_011,1
93,3,3,L,G1,HR_112,2
93,3,3,R,G1,HR_056,1
94,3,4,L,G2,HR_018,2
94,3,4,R,G2,HR_020,3
95,3,5,L,G2,HR_149,4
95,3,5,R,G1,HR_150,3
96,3,6,L,G2,HR_134,2
96,3,6,R,G2,HR_165,5
97,3,7,L,G2,HR_026,1
97,3,7,R,G2,HR_127,
98,3,8,L,G1,HR_067,5
98,3,8,R,G1,HR_067B,5
99,3,9,L,G2,HR_193,4
99,3,9,R,G1,HR_123,4
100,3,10,L,G2,HR_006,5
100,3,10,R,G2,HR_066,3
101,3,11,L,G2,HR_046,4
101,3,11,R,G2,HR_164,3
102,3,12,L,G1,HR_170,5
102,3,12,R,G2,HR_158,2
103,3,13,L,G2,HR_193,5
103,3,13,R,G2,HR_156,5
104,3,14,L,G1,HR_049,1
104,3,14,R,G2,HR_065,5
105,3,15,L,G1,HR_086,
105,3,15,R,G2,HR_145,4
106,3,16,L,G1,HR_017,3
106,3,16,R,G1,HR_176,1
107,3,17,L,G1,HR_164,5
107,3,17,R,G1,HR_041,1
108,3,18,L,G2,HR_104,1
108,3,18,R,G2,HR_153,2
109,3,19,L,G2,HR_190,3
109,3,19,R,G2,HR_155,4
110,3,20,L,G2,HR_021,2
110,3,20,R,G2,HR_174,5
111,3,21,L,G2,HR_104,
111,3,21,R,G2,HR_159,2
112,3,22,L,G1,HR_175,1
112,3,22,R,G2,HR_107,1
113,3,23,L,G1,HR_149,
113,3,23,R,G2,HR_053,1
114,3,24,L,G2,HR_083,4
114,3,24,R,G2,HR_071,2
115,3,25,L,G1,HR_027,4
115,3,25,R,G1,HR_053,4
116,3,26,L,G1,HR_179,2
116,3,26,R,G1,HR_116,5
117,3,27,L,G2,HR_039,4
117,3,27,R,G1,HR_006,5
118,3,28,L,G1,HR_139,3
118,3,28,R,G1,HR_103,4
119,3,29,L,G2,HR_095,3
119,3,29,R,G2,HR_005,3
120,3,30,L,G2,HR_015,4
120,3,30,R,G2,HR_042,2
121,3,31,L,G2,HR_190,3
121,3,31,R,G2,HR_079,1
122,3,32,L,G2,HR_161,5
122,3,32,R,G2,HR_112,3
123,3,33,L,G2,HR_047,5
123,3,33,R,G2,HR_036,2
124,3,34,L,G2,HR_179,3
124,3,34,R,G1,HR_104,5
125,3,35,L,G2,HR_201,1
125,3,35,R,G1,HR_164,2
126,3,36,L,G1,HR_147,1
126,3,36,R,G1,HR_162,1
127,3,37,L,G2,HR_116,3
127,3,37,R,G1,HR_046,3
128,3,38,L,G1,HR_014,5
128,3,38,R,G1,HR_020,3
129,3,39,L,G1,HR_147,5
129,3,39,R,G1,HR_032,2
130,3,40,L,G2,HR_173,1
130,3,40,R,G2,HR_119,4
131,3,41,L,G1,HR_166,5
131,3,41,R,G1,HR_037,5
132,3,42,L,G1,HR_078,2
132,3,42,R,G2,HR_153,3
133,3,43,L,G2,HR_068,1
133,3,43,R,G2,HR_023,3
134,3,44,L,G2,HR_026,4
134,3,44,R,G1,HR_142,1
135,3,45,L,G1,HR_180,
135,3,45,R,G2,HR_126,5
136,4,1,L,G2,HR_108,5
136,4,1,R,G2,HR_177,2
137,4,2,L,G1,HR_124,1
137,4,2,R,G1,HR_165,2
138,4,3,L,G1,HR_019,4
138,4,3,R,G2,HR_123,5
139,4,4,L,G2,HR_190,4
139,4,4,R,G1,HR_015,5
140,4,5,L,G1,HR_041,3
140,4,5,R,G2,HR_135,4
141,4,6,L,G1,HR_006,1
141,4,6,R,G1,HR_184,3
142,4,7,L,G1,HR_017,3
142,4,7,R,G1,HR_141,4
143,4,8,L,G1,HR_150,1
143,4,8,R,G2,HR_146,3
144,4,9,L,G2,HR_181,5
144,4,9,R,G2,HR_183,3
145,4,10,L,G1,HR_174,4
145,4,10,R,G1,HR_072,4
146,4,11,L,G2,HR_137,2
146,4,11,R,G2,HR_056,3
147,4,12,L,G2,HR_009,1
147,4,12,R,G2,HR_078,3
148,4,13,L,G1,HR_159,1
148,4,13,R,G1,HR_166,1
149,4,14,L,G1,HR_042,5
149,4,14,R,G1,HR_046,3
150,4,15,L,G2,HR_088,1
150,4,15,R,G1,HR_192,1
151,4,16,L,G1,HR_142,
151,4,16,R,G2,HR_170,5
152,4,17,L,G2,HR_001,1
152,4,17,R,G1,HR_118,5
153,4,18,L,G1,HR_064,3
153,4,18,R,G1,HR_127,3
154,4,19,L,G2,HR_177,5
154,4,19,R,G2,HR_016,5
155,4,20,L,G2,HR_073,4
155,4,20,R,G1,HR_192,3
156,4,21,L,G2,HR_158,2
156,4,21,R,G1,HR_112,2
157,4,22,L,G2,HR_180,4
157,4,22,R,G2,HR_043,1
158,4,23,L,G2,HR_201,3
158,4,23,R,G1,HR_088,3
159,4,24,L,G2,HR_162,3
159,4,24,R,G2,HR_039,2
160,4,25,L,G1,HR_056,1
160,4,25,R,G1,HR_124,2
161,4,26,L,G2,HR_110,1
161,4,26,R,G2,HR_039,3
162,4,27,L,G2,HR_134,3
162,4,27,R,G2,HR_123,3
163,4,28,L,G1,HR_050,3
163,4,28,R,G2,HR_164,3
164,4,29,L,G1,HR_038,5
164,4,29,R,G1,HR_023,3
165,4,30,L,G2,HR_107,3
165,4,30,R,G1,HR_181,3
166,4,31,L,G1,HR_050,4
166,4,31,R,G2,HR_062,4
167,4,32,L,G1,HR_007,1
167,4,32,R,G1,HR_042,3
168,4,33,L,G1,HR_018,2
168,4,33,R,G1,HR_005,4
169,4,34,L,G2,HR_009,5
169,4,34,R,G2,HR_033,4
170,4,35,L,G2,HR_181,1
170,4,35,R,G1,HR_182,1
171,4,36,L,G2,HR_083,1
171,4,36,R,G2,HR_115,4
172,4,37,L,G1,HR_016,5
172,4,37,R,G2,HR_114,4
173,4,38,L,G2,HR_070,2
173,4,38,R,G2,HR_113,3
174,4,39,L,G1,HR_043,1
174,4,39,R,G1,HR_021,4
175,4,40,L,G2,HR_017,5
175,4,40,R,G2,HR_149,4
176,4,41,L,G2,HR_079,5
176,4,41,R,G2,HR_142,2
177,4,42,L,G2,HR_085,4
177,4,42,R,G2,HR_025,2
178,4,43,L,G2,HR_004,3
178,4,43,R,G1,HR_028,5
179,4,44,L,G2,HR_124,4
179,4,44,R,G2,HR_181,1
180,4,45,L,G2,HR_180,5
180,4,45,R,G1,HR_065,2
181,5,1,L,G2,HR_118,3
181,5,1,R,G1,HR_196,5
182,5,2,L,G1,HR_112,4
182,5,2,R,G1,HR_201,3
183,5,3,L,G1,HR_059,1
183,5,3,R,G1,HR_146,5
184,5,4,L,G2,HR_071,2
184,5,4,R,G2,HR_145,4
185,5,5,L,G1,HR_044,3
185,5,5,R,G1,HR_078,1
186,5,6,L,G1,HR_153,4
186,5,6,R,G1,HR_054,2
187,5,7,L,G1,HR_139,1
187,5,7,R,G1,HR_126,4
188,5,8,L,G1,HR_034,
188,5,8,R,G1,HR_061,1
189,5,9,L,G1,HR_053,2
189,5,9,R,G1,HR_028,3
190,5,10,L,G2,HR_011,5
190,5,10,R,G1,HR_197,3
191,5,11,L,G1,HR_170,1
191,5,11,R,G1,HR_073,2
192,5,12,L,G2,HR_061,5
192,5,12,R,G2,HR_127,
193,5,13,L,G1,HR_173,5
193,5,13,R,G1,HR_079,5
194,5,14,L,G2,HR_159,3
194,5,14,R,G1,HR_137,1
195,5,15,L,G1,HR_173,5
195,5,15,R,G2,HR_057,3
196,5,16,L,G1,HR_141,1
196,5,16,R,G1,HR_012,3
197,5,17,L,G1,HR_110,5
197,5,17,R,G2,HR_042,1
198,5,18,L,G2,HR_103,1
198,5,18,R,G1,HR_085,5
199,5,19,L,G1,HR_155,4
199,5,19,R,G2,HR_042,5
200,5,20,L,G1,HR_040,2
200,5,20,R,G2,HR_165,4
201,5,21,L,G2,HR_192,3
201,5,21,R,G1,HR_179,4
202,5,22,L,G2,HR_109,1
202,5,22,R,G1,HR_141,3
203,5,23,L,G2,HR_108,1
203,5,23,R,G1,HR_037,4
204,5,24,L,G1,HR_101,5
204,5,24,R,G2,HR_004,5
205,5,25,L,G2,HR_124,3
205,5,25,R,G2,HR_184,4
206,5,26,L,G1,HR_092,5
206,5,26,R,G2,HR_168,3
207,5,27,L,G2,HR_150,1
207,5,27,R,G1,HR_040,2
208,5,28,L,G1,HR_061,
208,5,28,R,G2,HR_035,2
209,5,29,L,G2,HR_054,5
209,5,29,R,G1,HR_114,1
210,5,30,L,G1,HR_184,2
210,5,30,R,G2,HR_033,1
211,5,31,L,G1,HR_057,1
211,5,31,R,G2,HR_129,4
212,5,32,L,G2,HR_133,4
212,5,32,R,G1,HR_165,4
213,5,33,L,G2,HR_147,1
213,5,33,R,G2,HR_043,1
214,5,34,L,G2,HR_115,2
214,5,34,R,G1,HR_155,4
215,5,35,L,G2,HR_105,3
215,5,35,R,G2,HR_109,5
216,5,36,L,G2,HR_032,4
216,5,36,R,G2,HR_150,1
217,5,37,L,G2,HR_018,3
217,5,37,R,G1,HR_051,4
218,5,38,L,G1,HR_108,3
218,5,38,R,G2,HR_193,3
219,5,39,L,G1,HR_080,3
219,5,39,R,G2,HR_001,5
220,5,40,L,G2,HR_173,4
220,5,40,R,G1,HR_134,3
221,5,41,L,G2,HR_131,5
221,5,41,R,G2,HR_028,1
222,5,42,L,G2,HR_051,5
222,5,42,R,G2,HR_038,3
223,5,43,L,G1,HR_119,3
223,5,43,R,G1,HR_123,3
224,5,44,L,G2,HR_135,5
224,5,44,R,G1,HR_083,1
225,5,45,L,G2,HR_103,2
225,5,45,R,G1,HR_161,1
226,6,1,L,G2,HR_177,4
226,6,1,R,G1,HR_015,4
227,6,2,L,G2,HR_123,5
227,6,2,R,G1,HR_062,4
228,6,3,L,G2,HR_129,5
228,6,3,R,G1,HR_056,3
229,6,4,L,G1,HR_121,5
229,6,4,R,G2,HR_080,1
230,6,5,L,G1,HR_049,4
230,6,5,R,G2,HR_017,5
231,6,6,L,G1,HR_119,4
231,6,6,R,G1,HR_051,4
232,6,7,L,G2,HR_087,5
232,6,7,R,G1,HR_107,1
233,6,8,L,G1,HR_026,5
233,6,8,R,G2,HR_034,1
234,6,9,L,G1,HR_061,5
234,6,9,R,G1,HR_142,1
235,6,10,L,G2,HR_152,1
235,6,10,R,G1,HR_110,1
236,6,11,L,G2,HR_041,4
236,6,11,R,G1,HR_182,3
237,6,12,L,G1,HR_032,1
237,6,12,R,G2,HR_118,2
238,6,13,L,G2,HR_112,2
238,6,13,R,G2,HR_162,
239,6,14,L,G2,HR_126,4
239,6,14,R,G2,HR_027,2
240,6,15,L,G2,HR_051,4
240,6,15,R,G2,HR_142,1
241,6,16,L,G1,HR_109,5
241,6,16,R,G1,HR_181,2
242,6,17,L,G2,HR_197,3
242,6,17,R,G2,HR_071,4
243,6,18,L,G1,HR_066,1
243,6,18,R,G1,HR_146,5
244,6,19,L,G2,HR_012,3
244,6,19,R,G2,HR_004,4
245,6,20,L,G1,HR_016,2
245,6,20,R,G1,HR_059,4
246,6,21,L,G1,HR_201,4
246,6,21,R,G2,HR_049,3
247,6,22,L,G1,HR_108,5
247,6,22,R,G1,HR_195,1
248,6,23,L,G1,HR_066,2
248,6,23,R,G2,HR_119,5
249,6,24,L,G1,HR_072,4
249,6,24,R,G2,HR_037,2
250,6,25,L,G2,HR_070,2
250,6,25,R,G1,HR_072,3
251,6,26,L,G1,HR_015,3
251,6,26,R,G2,HR_178,4
252,6,27,L,G2,HR_085,5
252,6,27,R,G1,HR_190,1
253,6,28,L,G2,HR_014,1
253,6,28,R,G1,HR_129,5
254,6,29,L,G2,HR_161,4
254,6,29,R,G2,HR_040,2
255,6,30,L,G2,HR_170,5
255,6,30,R,G1,HR_116,3
256,6,31,L,G1,HR_058,4
256,6,31,R,G2,HR_183,1
257,6,32,L,G1,HR_174,2
257,6,32,R,G2,HR_057,2
258,6,33,L,G2,HR_087,4
258,6,33,R,G2,HR_196,5
259,6,34,L,G1,HR_004,3
259,6,34,R,G2,HR_072,1
260,6,35,L,G1,HR_025,5
260,6,35,R,G1,HR_036,2
261,6,36,L,G2,HR_016,2
261,6,36,R,G1,HR_176,5
262,6,37,L,G1,HR_148,1
262,6,37,R,G2,HR_192,4
263,6,38,L,G1,HR_104,2
263,6,38,R,G1,HR_034,5
264,6,39,L,G2,HR_065,3
264,6,39,R,G1,HR_180,4
265,6,40,L,G1,HR_137,3
265,6,40,R,G1,HR_197,4
266,6,41,L,G2,HR_064,1
266,6,41,R,G2,HR_133,1
267,6,42,L,G2,HR_101,1
267,6,42,R,G2,HR_133,2
268,6,43,L,G2,HR_021,1
268,6,43,R,G1,HR_039,1
269,6,44,L,G1,HR_057,3
269,6,44,R,G2,HR_088,3
270,6,45,L,G2,HR_139,4
270,6,45,R,G1,HR_113,1
271,7,3,L,G2,HR_066,2
271,7,3,R,G1,HR_054,2
272,7,4,L,G2,HR_056,5
272,7,4,R,G1,HR_025,2
273,7,5,L,G1,HR_020,4
273,7,5,R,G2,HR_166,5
274,7,1,L,G2,HR_067,3
274,7,1,R,G1,HR_149,1
275,7,2,L,G1,HR_009,3
275,7,2,R,G1,HR_026,2
276,7,7,L,G2,HR_139,3
276,7,7,R,G1,HR_133,4
277,7,8,L,G2,HR_014,3
277,7,8,R,G1,HR_092,4
278,7,9,L,G1,HR_095,2
278,7,9,R,G1,HR_011,4
279,7,10,L,G2,HR_195,2
279,7,10,R,G1,HR_080,4
280,7,11,L,G2,HR_073,5
280,7,11,R,G2,HR_072,2
281,7,12,L,G2,HR_135,4
281,7,12,R,G1,HR_177,2
282,7,13,L,G1,HR_178,1
282,7,13,R,G1,HR_007,2
283,7,14,L,G1,HR_134,4
283,7,14,R,G1,HR_110,5
284,7,15,L,G2,HR_047,5
284,7,15,R,G1,HR_136,2
285,7,16,L,G1,HR_066,
285,7,16,R,G1,HR_014,3
286,7,17,L,G1,HR_170,2
286,7,17,R,G1,HR_180,
287,7,18,L,G2,HR_035,1
287,7,18,R,G2,HR_058,
288,7,19,L,G1,HR_039,3
288,7,19,R,G2,HR_050,1
289,7,20,L,G2,HR_150,4
289,7,20,R,G1,HR_164,
290,7,21,L,G1,HR_004,
290,7,21,R,G1,HR_127,5
291,7,22,L,G1,HR_184,2
291,7,22,R,G1,HR_148,2
292,7,23,L,G1,HR_033,4
292,7,23,R,G1,HR_156,4
293,7,24,L,G1,HR_129,2
293,7,24,R,G2,HR_087,5
294,7,6,L,G2,HR_095,5
294,7,6,R,G2,HR_083,1
295,7,25,L,G2,HR_006,5
295,7,25,R,G2,HR_110,2
296,7,26,L,G1,HR_087,5
296,7,26,R,G1,HR_173,1
297,7,27,L,G2,HR_131,5
297,7,27,R,G1,HR_083,5
298,7,28,L,G2,HR_011,1
298,7,28,R,G2,HR_023,1
299,7,29,L,G2,HR_113,5
299,7,29,R,G1,HR_176,3
300,7,30,L,G2,HR_161,5
300,7,30,R,G2,HR_148,5
301,7,31,L,G1,HR_014,5
301,7,31,R,G2,HR_049,2
302,7,32,L,G1,HR_101,1
302,7,32,R,G2,HR_184,1
303,7,33,L,G1,HR_113,5
303,7,33,R,G1,HR_161,2
304,7,34,L,G2,HR_114,1
304,7,34,R,G1,HR_193,4
305,7,35,L,G1,HR_168,1
305,7,35,R,G2,HR_197,5
306,7,36,L,G2,HR_057,2
306,7,36,R,G1,HR_088,3
307,7,37,L,G2,HR_059,2
307,7,37,R,G2,HR_007,
308,7,38,L,G2,HR_195,2
308,7,38,R,G2,HR_066,4
309,7,39,L,G1,HR_169,2
309,7,39,R,G1,HR_068,2
310,7,40,L,G2,HR_197,4
310,7,40,R,G1,HR_012,3
311,7,41,L,G2,HR_007,4
311,7,41,R,G1,HR_040,2
312,7,42,L,G2,HR_018,3
312,7,42,R,G1,HR_159,2
313,7,43,L,G1,HR_087,4
313,7,43,R,G2,HR_129,2
314,7,44,L,G2,HR_078,
314,7,44,R,G1,HR_053,1
315,7,45,L,G2,HR_059,4
315,7,45,R,G1,HR_183,1
316,8,1,L,G1,HR_103,5
316,8,1,R,G2,HR_147,2
317,8,2,L,G2,HR_011,1
317,8,2,R,G1,HR_001,2
318,8,3,L,G1,HR_145,2
318,8,3,R,G1,HR_114,4
319,8,4,L,G1,HR_109,1
319,8,4,R,G2,HR_155,4
320,8,5,L,G1,HR_011,3
320,8,5,R,G1,HR_192,
321,8,6,L,G2,HR_014,1
321,8,6,R,G1,HR_073,5
322,8,7,L,G1,HR_046,1
322,8,7,R,G1,HR_105,4
323,8,8,L,G1,HR_113,3
323,8,8,R,G2,HR_046,3
324,8,9,L,G2,HR_176,4
324,8,9,R,G2,HR_001,4
325,8,10,L,G1,HR_079,4
325,8,10,R,G1,HR_010,5
326,8,11,L,G2,HR_158,5
326,8,11,R,G2,HR_183,5
327,8,12,L,G2,HR_059,3
327,8,12,R,G2,HR_078,3
328,8,13,L,G1,HR_005,4
328,8,13,R,G1,HR_023,3
329,8,14,L,G1,HR_080,4
329,8,14,R,G1,HR_018,3
330,8,15,L,G1,HR_196,1
330,8,15,R,G1,HR_159,4
331,8,16,L,G2,HR_095,2
331,8,16,R,G1,HR_078,1
332,8,17,L,G1,HR_165,5
332,8,17,R,G1,HR_168,1
333,8,18,L,G2,HR_016,1
333,8,18,R,G2,HR_170,4
334,8,19,L,G2,HR_116,5
334,8,19,R,G2,HR_086,2
335,8,20,L,G1,HR_034,
335,8,20,R,G2,HR_079,3
336,8,21,L,G1,HR_135,
336,8,21,R,G1,HR_085,3
337,8,22,L,G2,HR_040,3
337,8,22,R,G1,HR_068,2
338,8,23,L,G2,HR_041,1
338,8,23,R,G1,HR_118,2
339,8,24,L,G2,HR_047,4
339,8,24,R,G2,HR_156,5
340,8,25,L,G2,HR_121,1
340,8,25,R,G2,HR_019,1
341,8,26,L,G1,HR_035,2
341,8,26,R,G1,HR_149,3
342,8,27,L,G2,HR_019,3
342,8,27,R,G2,HR_027,1
343,8,28,L,G1,HR_004,2
343,8,28,R,G1,HR_158,
344,8,29,L,G1,HR_035,5
344,8,29,R,G2,HR_164,2
345,8,30,L,G1,HR_123,5
345,8,30,R,G1,HR_070,2
346,8,31,L,G1,HR_190,5
346,8,31,R,G2,HR_153,1
347,8,32,L,G2,HR_032,2
347,8,32,R,G2,HR_056,4
348,8,33,L,G2,HR_175,2
348,8,33,R,G1,HR_126,2
349,8,34,L,G2,HR_169,1
349,8,34,R,G1,HR_124,5
350,8,35,L,G2,HR_119,
350,8,35,R,G1,HR_183,3
351,8,36,L,G2,HR_006,1
351,8,36,R,G1,HR_131,2
352,8,37,L,G2,HR_152,5
352,8,37,R,G2,HR_064,4
353,8,38,L,G1,HR_107,3
353,8,38,R,G2,HR_111,1
354,8,39,L,G2,HR_064,5
354,8,39,R,G1,HR_044,2
355,8,40,L,G2,HR_178,3
355,8,40,R,G1,HR_062,5
356,8,41,L,G2,HR_101,4
356,8,41,R,G2,HR_175,5
357,8,42,L,G1,HR_129,2
357,8,42,R,G1,HR_152,5
358,8,43,L,G1,HR_027,4
358,8,43,R,G2,HR_146,4
359,8,44,L,G2,HR_085,4
359,8,44,R,G1,HR_083,1
360,8,45,L,G1,HR_033,1
360,8,45,R,G1,HR_028,2
361,9,1,L,G1,HR_190,2
361,9,1,R,G1,HR_020,3
362,9,2,L,G1,HR_001,3
362,9,2,R,G2,HR_196,2
363,9,3,L,G1,HR_115,
363,9,3,R,G1,HR_019,2
364,9,4,L,G2,HR_148,5
364,9,4,R,G2,HR_086,1
365,9,5,L,G2,HR_035,3
365,9,5,R,G1,HR_039,4
366,9,6,L,G2,HR_034,5
366,9,6,R,G1,HR_086,
367,9,7,L,G1,HR_025,3
367,9,7,R,G2,HR_080,2
368,9,8,L,G2,HR_021,1
368,9,8,R,G1,HR_118,3
369,9,9,L,G1,HR_032,5
369,9,9,R,G1,HR_009,4
370,9,10,L,G2,HR_015,5
370,9,10,R,G2,HR_137,1
371,9,11,L,G1,HR_064,4
371,9,11,R,G2,HR_105,5
372,9,12,L,G2,HR_114,2
372,9,12,R,G1,HR_062,
373,9,13,L,G2,HR_053,1
373,9,13,R,G1,HR_139,3
374,9,14,L,G1,HR_161,1
374,9,14,R,G2,HR_159,4
375,9,15,L,G2,HR_115,5
375,9,15,R,G2,HR_092,4
376,9,16,L,G2,HR_174,4
376,9,16,R,G2,HR_116,2
377,9,17,L,G1,HR_133,4
377,9,17,R,G2,HR_038,1
378,9,18,L,G2,HR_103,3
378,9,18,R,G1,HR_121,1
379,9,19,L,G1,HR_023,3
379,9,19,R,G1,HR_021,3
380,9,20,L,G1,HR_016,3
380,9,20,R,G2,HR_141,4
381,9,21,L,G1,HR_027,1
381,9,21,R,G1,HR_086,2
382,9,22,L,G1,HR_126,3
382,9,22,R,G2,HR_009,4
383,9,23,L,G1,HR_054,1
383,9,23,R,G1,HR_127,4
384,9,24,L,G1,HR_131,1
384,9,24,R,G2,HR_176,4
385,9,25,L,G2,HR_112,2
385,9,25,R,G2,HR_136,5
386,9,26,L,G2,HR_141,2
386,9,26,R,G1,HR_150,3
387,9,27,L,G1,HR_050,5
387,9,27,R,G1,HR_057,4
388,9,28,L,G1,HR_148,3
