Transect,Recipient,Gen,Symbol,Plant_ID,Segment,corolla_diam_mm,Photo date,Notes,,
1,HR_032,G2,X,5,23R,24.194,2023-04-20,,,
1,HR_121,G2,X,2,24R,15.546,2023-04-20,,,
1,HR_118,G2,X,5,25L,22.797,2023-04-20,,,
1,HR_020,G2,X,5,25R,22.219,2023-04-20,,,
1,HR_135,G1,-,4,26L,,,,,
1,HR_062,G2,X,2,26R,,,,,
1,HR_062,G2,X,3,26R,26.235,2023-04-20,Non fitness,,
1,HR_111,G1,-,5,27L,18.292,2023-04-20,,,
1,HR_070,G1,-,2,27R,25.5,2023-04-20,,,
1,HR_183,G1,-,3,28L,,,,,
1,HR_183,G1,-,4,28L,27.231,2023-04-20,not fitness,,
1,HR_028,G2,X,4,28R,15.161,2023-04-20,,,
1,HR_136,G1,-,1,29L,,,,,
1,HR_136,G1,-,4,29L,20.934,2023-04-20,not fitness,,
1,HR_131,G1,-,1,29R,21.739,2023-04-05,,,
1,HR_119,G1,-,3,30L,23.518,2023-04-20,,,
1,HR_119,G1,-,5,30L,22.911,2023-04-05,not fitness plant,,
1,HR_072,G2,X,1,30R,,,,,
1,HR_072,G2,X,4,30R,19.573,2023-04-05,not fitness plant,,
1,HR_044,G2,X,4,31L,,,,,
1,HR_166,G2,X,1,31R,18.122,2023-04-20,,,
1,HR_158,G1,-,1,32L,,,,,
1,HR_158,G1,-,3,32L,19.92,2023-04-05,non fitness,,
1,HR_111,G1,-,5,32R,17.966,2023-04-20,,,
1,HR_179,G2,X,1,33L,21.433,2023-04-05,non fitness,,
1,HR_179,G2,X,4,33L,,,,,
1,HR_178,G1,-,1,33R,,,,,
1,HR_137,G2,X,4,34L,,,,,
1,HR_137,G2,X,3,34L,20.83,2023-04-05,non fitness,,
1,HR_068,G1,-,5,34R,24.752,2023-04-05,,,
1,HR_005,G2,X,4,35L,23.667,2023-04-05,non-fitness,,
1,HR_127,G2,X,3,35R,20.563,2023-04-05,,,
1,HR_038,G2,X,5,36L,,,,,
1,HR_038,G2,X,2,36L,22.237,2023-04-05,not fitness plant,,
1,HR_005,G2,X,3,36R,20.367,2023-04-20,,,
1,HR_005,G2,X,4,36R,20.937,2023-04-05,not fitness plant,,
1,HR_005,G2,X,5,36R,20.934,2023-04-05,Non-fitness; segment identified as 36R taken on 4/5 (DG),,
1,HR_109,G2,X,4,37L,22.938,2023-04-05,,,
1,HR_147,G1,-,2,37R,,,,,
1,HR_147,G1,-,4,37R,18.552,2023-04-20,not fitness plant,,
1,HR_197,G1,-,3,38L,23.15,2023-04-05,,,
1,HR_168,G2,X,1,38R,22.303,2023-04-05,,,
1,HR_156,G1,-,2,39L,25.346,2023-04-20,,,
1,HR_156,G1,-,3,39L,23.004,2023-04-05,non fitness,,
1,HR_158,G1,-,1,39R,18.003,2023-04-05,non fitness,,
1,HR_158,G1,-,5,39R,,,,,
1,HR_065,G1,-,3,40L,,,,,
1,HR_065,G1,-,2,40L,26.634,2023-04-05,not fitness plant,,
1,HR_115,G1,-,3,40R,,,,,
1,HR_115,G1,-,2,40R,25.603,2023-04-05,not fitness plant,,
1,HR_033,G1,-,2,41R,,,,,
1,HR_033,G1,-,4,41R,24.185,2023-04-05,,,
1,HR_184,G2,X,4,42L,21.53,2023-04-05,,,
1,HR_135,G1,-,4,42R,24.446,2023-04-05,,,
1,HR_178,G1,-,3,43L,20.864,2023-04-05,non fitness,,
1,HR_178,G1,-,4,43L,17.839,2023-04-05,,,
1,HR_116,G1,-,4,43R,,,,,
1,HR_116,G1,-,2,43R,22.224,2023-04-05,not fitness plant,,
1,HR_101,G2,X,3,44L,22.09,2023-04-05,,,
1,HR_018,G1,-,5,44R,27.091,2023-04-05,,,
1,HR_037,G2,X,2,45L,19.709,2023-04-20,,,
1,HR_037,G2,X,3,45L,23.021,2023-04-05,not fitness plant,,
1,HR_071,G1,-,4,45R,,,,,
1,HR_071,G1,-,2,45R,20.161,2023-04-20,not fitness,,
2,HR_059,G1,-,3,1L,21.062,2023-04-05,non-fitness,,
2,HR_139,G2,X,5,1R,26.564,2023-04-05,,,
2,HR_114,G1,-,5,2L,23.189,2023-04-05,,,
2,HR_053,G2,X,3,2R,18.848,2023-04-05,,,
2,HR_146,G2,X,1,3L,24.061,2023-04-20,,,
2,HR_182,G1,-,1,3R,21.14,2023-04-05,,,
2,HR_156,G1,-,2,4L,24.026,2023-04-20,,,
2,HR_026,G2,X,2,4R,24.002,2023-04-05,non-fitness,,
2,HR_026,G2,X,3,4R,22.297,2023-04-20,,,
2,HR_152,G2,X,2,5L,22.449,2023-04-05,,,
2,HR_009,G1,-,3,5R,23.441,2023-04-05,,,
2,HR_058,G2,X,5,6L,24.968,2023-04-20,,,
2,HR_036,G2,X,4,6R,24.694,2023-04-05,,,
2,HR_145,G1,-,1,7L,,,,,
2,HR_145,G1,-,5,7L,26.234,2023-04-05,non-fitness ,,
2,HR_126,G2,X,4,7R,,,,,
2,HR_126,G2,X,1,7R,26.57,2023-04-05,non-fitness ,,
2,HR_049,G2,X,2,8L,,,,,
2,HR_049,G2,X,5,8L,21.113,2023-04-05,non-fitness ,,
2,HR_155,G1,-,3,8R,26.646,2023-04-05,,,
2,HR_169,G1,-,4,9L,26.093,2023-04-20,,,
2,HR_169,G1,-,3,9L,25.819,2023-04-05,non-fitness ,,
2,HR_169,G1,-,1,9L,24.233,2023-04-05,non-fitness ,,
2,HR_179,G2,X,3,9R,,,,,
2,HR_179,G2,X,4,9R,22.313,2023-04-05,non fitness,,
2,HR_007,G1,-,4,10L,20.971,2023-04-05,non fitness,,
2,HR_007,G1,-,3,10L,,,,,
2,HR_153,G1,-,2,10R,19.894,2023-04-05,,,
2,HR_153,G1,-,5,10R,24.221,2023-04-05,non-fitness,,
2,HR_007,G2,X,5,11L,,,,,
2,HR_036,G1,-,5,11R,24.475,2023-04-05,,,
2,HR_001,G1,-,3,12L,20.646,2023-04-05,,,
2,HR_168,G1,-,1,12R,,,,,
2,HR_168,G1,-,5,12R,25.259,2023-04-05,non fitness,,
2,HR_034,G2,X,1,13L,21.057,2023-04-20,,,
2,HR_088,G2,X,3,13R,18.168,2023-04-20,,,
2,HR_108,G1,-,2,14L,25.469,2023-04-05,non-fitness,,
2,HR_108,G1,-,5,14L,,,,,
2,HR_035,G1,-,4,14R,20.581,2023-04-05,,,
2,HR_105,G1,-,2,15L,21.313,2023-04-05,,,
2,HR_104,G2,X,2,15R,,,,,
2,HR_104,G2,X,3,15R,24.651,2023-04-05,non-fitness,,
2,HR_026,G1,-,1,16L,21.196,2023-04-20,,,
2,HR_019,G2,X,3,16R,24.234,2023-04-20,,,
2,HR_028,G2,X,2,17L,,,,,
2,HR_028,G2,X,5,17L,19.43,2023-04-05,non-fitness plant,,
2,HR_168,G2,X,4,17R,23.926,2023-04-20,,,
2,HR_103,G1,-,5,18L,,,,,
2,HR_103,G1,-,4,18L,23.428,2023-04-20,non-fitness,,
2,HR_068,G2,X,3,18R,21.427,2023-04-05,non-fitness,,
2,HR_068,G2,X,4,18R,26.873,2023-04-20,,,
2,HR_021,G1,-,3,19L,28.867,2023-04-20,,,
2,HR_021,G1,-,4,19L,20.186,2023-04-05,non-fitness plant,,
2,HR_195,G1,-,4,19R,23.451,2023-04-20,,,
2,HR_175,G1,-,4,20L,,,,,
2,HR_175,G1,-,3,20L,23.467,2023-04-20,not fitness,,
2,HR_067,G2,X,3,20R,22.023,2023-04-05,,,
2,HR_145,G2,X,2,21L,18.86,2023-04-05,,,
2,HR_040,G2,X,2,21R,26.293,2023-04-05,non-fitness plant,,
2,HR_040,G2,X,3,21R,,,,,
2,HR_068,G2,X,4,22L,,,,,
2,HR_068,G2,X,5,22L,24.093,2023-04-20,not-fitness,,
2,HR_153,G1,-,5,22R,24.52,2023-04-05,,,
2,HR_044,G1,-,5,23L,20.508,2023-04-05,,,
2,HR_149,G2,X,1,23R,,,,,
2,HR_010,G1,-,3,24L,25.054,2023-04-20,,,
2,HR_015,G2,X,1,24R,,,,,
2,HR_015,G2,X,3,24R,22.993,2023-04-05,non-fitness plant ,,
2,HR_065,G2,X,4,25L,22.323,2023-04-20,,,
2,HR_174,G1,-,5,25R,26.116,2023-04-20,,,
2,HR_065,G1,-,2,26L,24.245,2023-04-20,,,
2,HR_175,G1,-,1,26R,23.934,2023-04-20,,,
2,HR_036,G2,X,4,27L,21.224,2023-04-20,,,
2,HR_037,G1,-,3,27R,20.876,2023-04-20,,,
2,HR_169,G1,-,1,28L,,,,,
2,HR_182,G2,X,1,28R,50.654,2023-04-20,,,
2,HR_054,G2,X,5,29L,20.901,2023-04-20,,,
2,HR_195,G1,-,5,29R,15.946,2023-04-20,,,
2,HR_017,G1,-,4,30L,,,,,
2,HR_017,G1,-,5,30L,22.549,2023-04-20,non-fitness,,
2,HR_073,G2,X,1,30R,18.976,2023-04-05,non-fitness,,
2,HR_073,G2,X,4,30R,21.514,2023-04-05,,,
2,HR_107,G1,-,5,31L,21.634,2023-04-20,,,
2,HR_145,G1,-,2,31R,19.448,2023-04-05,,,
2,HR_182,G2,X,1,32L,21.758,2023-05-05,,,
2,HR_146,G1,-,1,32R,22.618,2023-04-20,,,
2,HR_033,G2,X,2,33L,16.855,2023-04-05,,,
2,HR_033,G2,X,5,33L,22.723,2023-04-05,non-fitness plant,,
2,HR_073,G1,-,2,33R,21.472,2023-04-05,,,
2,HR_071,G1,-,1,34L,20.54,2023-04-20,,,
2,HR_071,G1,-,4,34L,20.914,2023-04-05,non-fitness,,
2,HR_043,G1,-,3,34R,23.589,2023-04-05,,,
2,HR_165,G2,X,2,35L,25.562,2023-04-05,,,
2,HR_165,G2,X,5,35L,20.177,2023-04-05,non-fitness plant,,
2,HR_062,G2,X,2,35R,22.491,2023-04-05,,,
2,HR_176,G2,X,5,36L,25.041,2023-04-05,,,
2,HR_092,G1,-,1,36R,,,,,
2,HR_092,G1,-,2,36R,27.209,2023-04-05,non-fitness,,
2,HR_193,G1,-,2,37L,24.252,2023-04-05,,,
2,HR_195,G2,X,1,37R,21.924,2023-04-05,non-fitness,,
2,HR_195,G2,X,4,37R,,,,,
2,HR_166,G1,-,2,38L,27.629,2023-04-05,,,
2,HR_173,G2,X,1,38R,,,,,
2,HR_173,G2,X,2,38R,26.483,2023-04-05,non-fitness,,
2,HR_152,G1,-,4,39L,24.703,2023-04-05,,,
2,HR_142,G2,X,5,39R,18.873,2023-04-05,,,
2,HR_115,G1,-,2,40L,21.702,2023-04-05,non-fitness,,
2,HR_115,G1,-,4,40L,26.436,2023-04-05,,,
2,HR_058,G2,X,2,40R,23.494,2023-04-05,,,
2,HR_023,G2,X,3,41L,23.182,2023-04-05,non fitness,,
2,HR_023,G2,X,4,41L,,,,,
2,HR_192,G2,X,5,41R,23.554,2023-04-05,,,
2,HR_192,G2,X,3,41R,18.829,2023-03-23,Nonfitness. Two duplicate photos of same plant; second photo (upright) measured (DG),,
2,HR_067,G2,X,4,42L,,,,,
2,HR_067,G2,X,5,42L,23.938,2023-04-05,non-fitness,,
2,HR_133,G1,-,4,42R,27.067,2023-04-05,,,
2,HR_067,G1,-,5,43L,,,,,
2,HR_067,G1,-,2,43L,24.92,2023-04-20,nonfitness,,
2,HR_038,G1,-,4,43R,28.931,2023-04-05,,,
2,HR_101,G1,-,1,44L,22.24,2023-04-20,,,
2,HR_079,G1,-,2,44R,18.495,2023-04-20,,,
2,HR_079,G1,-,3,44R,22.567,2023-04-05,non-fitness,,
2,HR_175,G2,X,1,45L,25.342,2023-04-05,,,
2,HR_121,G1,-,3,45R,24.285,2023-04-05,,,
3,HR_088,G1,-,1,1L,,,,,
3,HR_088,G1,-,3,1L,32.842,2023-04-05,non-fitness,,
3,HR_012,G2,X,1,1R,28.614,2023-04-05,,,
3,HR_193,G1,-,1,2L,,,,,
3,HR_193,G1,-,2,2L,24.01,2023-04-05,non-fitness,,
3,HR_011,G1,-,1,2R,26.185,2023-04-05,,,
3,HR_112,G1,-,2,3L,,,,,
3,HR_056,G1,-,1,3R,,,,,
3,HR_056,G1,-,4,3R,23.687,2023-04-05,non-fitness,,
3,HR_018,G2,X,2,4L,25.678,2023-04-20,,,
3,HR_018,G2,X,5,4L,20.173,2023-04-05,non-fitness,,
3,HR_020,G2,X,3,4R,20.584,2023-04-20,,,
3,HR_020,G2,X,4,4R,23.699,2023-04-05,non-fitness,,
3,HR_149,G2,X,4,5L,12.046,2023-05-05,,,
3,HR_150,G1,-,3,5R,,,,,
3,HR_134,G2,X,2,6L,23.986,2023-05-05,,,
3,HR_134,G2,X,3,6L,12.489,2023-05-04,nonfitness; blue flag present in both plant 2 and 3 photos,,
3,HR_165,G2,X,5,6R,29.244,2023-04-05,,,
3,HR_026,G2,X,1,7L,,,,,
3,HR_026,G2,X,3,7L,30.098,2023-04-05,non-fitness,,
3,HR_067,G1,-,5,8L,28.344,2023-04-05,,,
3,HR_067B,G1,-,5,8R,25.007,2023-04-05,,,
3,HR_193,G2,X,4,9L,25.743,2023-04-05,,,
3,HR_123,G1,-,4,9R,27.383,2023-04-05,,,
3,HR_006,G2,X,5,10L,,,,,
3,HR_066,G2,X,3,10R,27.309,2023-04-05,,,
3,HR_046,G2,X,3,11L,25.369,2023-04-05,non-fitness,,
3,HR_046,G2,X,4,11L,25.679,2023-04-20,,,
3,HR_164,G2,X,3,11R,22.662,2023-04-05,,,
3,HR_170,G1,-,5,12L,21.011,2023-04-05,,,
3,HR_158,G2,X,2,12R,24.959,2023-04-05,,,
3,HR_193,G2,X,5,13L,23.863,2023-04-20,,,
3,HR_193,G2,X,4,13L,28.784,2023-04-05,non-fitness,,
3,HR_156,G2,X,5,13R,21.908,2023-04-20,,,
3,HR_156,G2,X,2,13R,24.025,2023-04-05,non-fitness,,
3,HR_049,G1,-,1,14L,27.567,2023-04-20,,,
3,HR_065,G2,X,5,14R,19.239,2023-04-20,,,
3,HR_065,G2,X,2,14R,26.917,2023-04-05,non-fitness,,
3,HR_145,G2,X,4,15R,,,,,
3,HR_145,G2,X,2,15R,23.627,2023-04-05,non-fitness,,
3,HR_017,G1,-,3,16L,27.647,2023-04-20,,,
3,HR_017,G1,-,5,16L,27.365,2023-04-05,non-fitness,,
3,HR_176,G1,-,1,16R,27.986,2023-04-20,,,
3,HR_176,G1,-,3,16R,25.105,2023-04-05,non-fitness,,
3,HR_164,G1,-,5,17L,20.917,2023-04-05,,,
3,HR_041,G1,-,1,17R,,,,,
3,HR_104,G2,X,1,18L,,,,,
3,HR_104,G2,X,2,18L,24.414,2023-04-05,non-fitness,,
3,HR_153,G2,X,2,18R,,,,,
3,HR_153,G2,X,1,18R,26.854,2023-04-05,non-fitness,,
3,HR_190,G2,X,3,19L,23.883,2023-04-05,,,
3,HR_155,G2,X,4,19R,16.904,2023-04-20,,,
3,HR_021,G2,X,1,20L,22.432,2023-04-05,non-fitness,,
3,HR_021,G2,X,2,20L,,,,,
3,HR_174,G2,X,5,20R,22.311,2023-04-20,,,
3,HR_159,G2,X,2,21R,25.326,2023-04-05,,,
3,HR_175,G1,-,1,22L,22.42,2023-04-20,,,
3,HR_107,G2,X,1,22R,27.489,2023-04-20,,,
3,HR_107,G2,X,3,22R,23.935,2023-04-05,non-fitness plant,,
3,HR_053,G2,X,1,23R,23.274,2023-04-20,,,
3,HR_053,G2,X,5,23R,19.736,2023-04-05,non-fitness,,
3,HR_083,G2,X,4,24L,26.147,2023-04-20,,,
3,HR_071,G2,X,2,24R,24.197,2023-04-20,,,
3,HR_027,G1,-,3,25L,22.56,2023-04-05,non-fitness,,
3,HR_027,G1,-,4,25L,20.819,2023-04-05,,,
3,HR_053,G1,-,4,25R,23.901,2023-04-05,,,
3,HR_179,G1,-,2,26L,24.197,2023-04-20,,,
3,HR_116,G1,-,5,26R,,,,,
3,HR_116,G1,-,1,26R,17.474,2023-04-05,"non-fitness, 1 petal is rolled up",,
3,HR_039,G2,X,4,27L,23.829,2023-04-05,,,
3,HR_006,G1,-,5,27R,27.173,2023-04-20,,,
3,HR_139,G1,-,3,28L,21.088,2023-04-05,,,
3,HR_103,G1,-,4,28R,,,,,
3,HR_103,G1,-,3,28R,28.973,2023-04-05,non-fitness,,
3,HR_095,G2,X,3,29L,23.575,2023-04-20,,,
3,HR_005,G2,X,3,29R,22.864,2023-04-05,,,
3,HR_015,G2,X,4,30L,,,,,
3,HR_015,G2,X,5,30L,21.641,2023-04-20,non fitness,,
3,HR_042,G2,X,2,30R,19.201,2023-05-04,,,
3,HR_190,G2,X,3,31L,,,,,
3,HR_190,G2,X,5,31L,26.104,2023-04-05,non-fitness,,
3,HR_079,G2,X,1,31R,23.152,2023-04-20,,,
3,HR_161,G2,X,5,32L,24.556,2023-04-20,,,
3,HR_112,G2,X,3,32R,16.272,2023-05-04,,,
3,HR_047,G2,X,1,33L,20.421,2023-04-05,non-fitness,,
3,HR_047,G2,X,3,33L,23.817,2023-04-05,non-fitness,,
3,HR_047,G2,X,5,33L,,,,,
3,HR_036,G2,X,2,33R,22.928,2023-04-20,,,
3,HR_036,G2,X,3,33R,21.702,2023-04-05,non-fitness,,
3,HR_179,G2,X,3,34L,,,,,
3,HR_179,G2,X,4,34L,25.305,2023-04-05,non-fitness,,
3,HR_104,G1,-,5,34R,,,,,
3,HR_201,G2,X,1,35L,20.188,2023-04-20,,,
3,HR_201,G2,X,5,35L,21.31,2023-04-05,non-fitness,,
3,HR_164,G1,-,2,35R,27.206,2023-04-20,,,
3,HR_164,G1,-,3,35R,24.088,2023-04-05,non-fitness,,
3,HR_147,G1,-,1,36L,26.167,2023-04-20,,,
3,HR_147,G1,-,2,36L,26.042,2023-04-05,non-fitness,,
3,HR_162,G1,-,1,36R,,,,,
3,HR_162,G1,-,2,36R,22.936,2023-04-05,non-fitness,,
3,HR_116,G2,X,3,37L,25.951,2023-04-05,,,
3,HR_046,G1,-,3,37R,23.15,2023-04-05,,,
3,HR_014,G1,-,5,38L,,,,,
3,HR_014,G1,-,4,38L,24.379,2023-04-20,,,
3,HR_020,G1,-,1,38R,23.884,2023-04-05,non-fitness,,
3,HR_020,G1,-,3,38R,,,,,
3,HR_020,G1,-,4,38R,23.726,2023-04-05,"non-fitness. glare in picture, used visible petals for measurement, may be inaccurate.",,
3,HR_147,G1,-,5,39L,,,no photo,,
3,HR_147,G1,-,2,39L,21.336,2023-04-05,non-fitness,,
3,HR_032,G1,-,2,39R,23.076,2023-04-05,,,
3,HR_173,G2,X,1,40L,,,,,
3,HR_173,G2,X,2,40L,22.651,2023-04-05,non-fitness,,
3,HR_119,G2,X,4,40R,21.863,2023-04-05,,,
3,HR_166,G1,-,5,41L,23.567,2023-04-05,,,
3,HR_037,G1,-,4,41R,19.526,2023-04-05,non-fitness,,
3,HR_037,G1,-,5,41R,,,,,
3,HR_078,G1,-,2,42L,24.327,2023-04-20,,,
3,HR_078,G1,-,5,42L,24.097,2023-04-05,non-fitness,,
3,HR_153,G2,X,3,42R,,,,,
3,HR_153,G2,X,2,42R,24.028,2023-04-05,non-fitness,,
3,HR_068,G2,X,1,43L,19.531,2023-05-04,,,
3,HR_023,G2,X,3,43R,24.898,2023-04-05,,,
3,HR_026,G2,X,4,44L,23.283,2023-04-05,,,
3,HR_026,G2,X,5,44L,20.371,2023-04-05,non-fitness,,
3,HR_142,G1,-,1,44R,23.004,2023-03-23,,,
3,HR_126,G2,X,5,45R,25.289,2023-04-05,,,
4,HR_108,G2,X,5,1L,21.526,2023-04-05,,,
4,HR_177,G2,X,2,1R,22.034,2023-04-05,,,
4,HR_124,G1,-,1,2L,,,,,
4,HR_124,G2,-,4,2L,25.11,2023-04-05,non-fitness,,
4,HR_165,G1,-,2,2R,25.428,2023-04-20,,,
4,HR_019,G1,-,4,3L,24.325,2023-04-05,,,
4,HR_123,G2,X,5,3R,26.061,2023-04-05,,,
4,HR_190,G2,X,4,4L,29.077,2023-04-05,,,
4,HR_015,G1,-,5,4R,28.946,2023-04-05,,,
4,HR_041,G1,-,3,5L,,,,,
4,HR_041,G1,-,5,5L,29.345,2023-04-05,non-fitness,,
4,HR_135,G2,X,4,5R,,,,,
4,HR_006,G1,-,1,6L,,,,,
4,HR_006,G1,-,2,6L,21.981,2023-04-05,non-fitness,,
4,HR_184,G1,-,3,6R,24.827,2023-04-05,,,
4,HR_017,G1,-,3,7L,25.627,2023-04-05,,,
4,HR_141,G1,-,4,7R,,,,,
4,HR_150,G1,-,1,8L,15.756,2023-04-20,,,
4,HR_150,G1,-,2,8L,25.158,2023-04-05,non-fitness,,
4,HR_146,G2,X,3,8R,,,,,
4,HR_181,G2,X,5,9L,,,,,
4,HR_181,G2,X,3,9L,22.303,2023-04-05,non-fitness,,
4,HR_183,G2,X,3,9R,24.607,2023-04-05,,,
4,HR_174,G1,-,4,10L,25.702,2023-04-20,,,
4,HR_174,G1,-,5,10L,21.12,2023-04-05,non-fitness,,
4,HR_072,G1,-,4,10R,,,,,
4,HR_137,G2,X,2,11L,23.558,2023-04-05,,,
4,HR_056,G2,X,3,11R,,,,,
4,HR_009,G2,X,1,12L,16.638,2023-04-20,,,
4,HR_009,G2,X,2,12L,23.769,2023-04-05,non-fitness,,
4,HR_078,G2,X,3,12R,,,,,
4,HR_159,G1,-,1,13L,,,,,
4,HR_166,G1,-,1,13R,22.513,2023-04-20,,,
4,HR_042,G1,-,5,14L,25.535,2023-04-05,,,
4,HR_046,G1,-,3,14R,,,,,
4,HR_088,G2,X,1,15L,21.586,2023-04-20,,,
4,HR_192,G1,-,1,15R,,,,,
4,HR_170,G2,X,5,16R,,,,,
4,HR_001,G2,X,1,17L,19.463,2023-04-05,,,
4,HR_118,G1,-,5,17R,,,,,
4,HR_064,G1,-,3,18L,,,,,
4,HR_127,G1,-,3,18R,,,,,
4,HR_177,G2,X,5,19L,,,,,
4,HR_016,G2,X,5,19R,,,,,
4,HR_073,G2,X,4,20L,21.864,2023-04-05,,,
4,HR_192,G1,-,3,20R,,,,,
4,HR_192,G1,-,4,20R,28.52,2023-04-05,non-fitness,,
4,HR_158,G2,X,2,21L,25.435,2023-04-20,,,
4,HR_112,G1,-,2,21R,24.316,2023-04-05,,,
4,HR_180,G2,X,4,22L,22.254,2023-04-20,,,
4,HR_043,G2,X,1,22R,20.594,2023-04-20,,,
4,HR_201,G2,X,3,23L,,,,,
4,HR_201,G2,X,4,23L,21.924,2023-04-20,nonfitness,,
4,HR_088,G1,-,3,23R,23.342,2023-04-20,,,
4,HR_162,G2,X,3,24L,,,,,
4,HR_039,G2,X,2,24R,,,,,
4,HR_039,G2,X,5,24R,24.877,2023-04-05,non-fitness,,
4,HR_039,G2,X,3,24R,22.83,2023-04-05,non-fitness,,
4,HR_056,G1,-,1,25L,,,,,
4,HR_056,G1,-,3,35L,23.342,2023-04-20,,,
4,HR_124,G1,-,2,25R,,,,,
4,HR_124,G1,-,1,25R,19.622,2023-04-20,,,
4,HR_110,G2,X,1,26L,,,,,
4,HR_039,G2,X,3,26R,22.618,2023-04-20,,,
4,HR_134,G2,X,3,27L,,,,,
4,HR_123,G2,X,3,27R,,,,,
4,HR_050,G1,-,3,28L,22.845,2023-04-20,,,
4,HR_050,G1,-,4,28L,24.291,2023-04-05,non-fitness,,
4,HR_164,G2,X,3,28R,,,,,
4,HR_038,G1,-,5,29L,,,,,
4,HR_038,G1,-,4,29L,17.761,2023-04-20,,,
4,HR_023,G1,-,3,29R,,,,,
4,HR_107,G2,X,3,30L,20.576,2023-04-05,,,
4,HR_181,G1,-,3,30R,,,,,
4,HR_050,G1,-,4,31L,,,,,
4,HR_062,G2,X,4,31R,,,,,
4,HR_007,G1,-,1,32L,,,,,
4,HR_042,G1,-,3,32R,,,,,
4,HR_018,G1,-,2,33L,,,,,
4,HR_005,G1,-,4,33R,25.262,2023-04-20,,,
4,HR_005,G1,-,3,33R,21.84,2023-04-05,non-fitness,,
4,HR_005,G1,-,5,33R,22.328,2023-04-05,non-fitness,,
4,HR_009,G2,X,5,34L,23.373,2023-04-05,,,
4,HR_033,G2,X,4,34R,27.018,2023-04-05,,,
4,HR_181,G2,X,1,35L,22.428,2023-04-05,,,
4,HR_182,G1,-,1,35R,,,,,
4,HR_182,G1,-,5,35R,20.531,2023-03-23,nonfitness,,
