,,,,Collection Date: 2022-04-14,,,,Collection Date: 2022-04-20,,,,Collection Date: 2022-04-26 to 2022-04-27,,,,Collection Date: 2022-05-02 to 2022-05-06,,,,Collection Date: 2022-05-09 to 2022-05-12,,,,Collection Date: 2022-05-16 to 2022-05-20,,,,Collection Date: 2022-05- 23 to 2022-05-24,,,,Collection Date: 2022-06-13 to 2022-06-19,,,,Collection Date: NA,,,
1,HR_36,HR_036,4,,,,,,,,,,,,,8,8,8,27.16,,,,,,,,,,,,,,,,,,,,
1,HR_37,HR_037,5,,,,,,,,,,,,,,,,,6,11,11,24.35,,,,,,,,,,,,,,,,
1,HR_39,HR_039,1,,,,,,,,,,,,,,,,,3,7,7,14.35,,,,,,,,,,,,,,,,
1,HR_40,HR_040,5,,,,,,,,,,,,,2,2,2,5.1,,,,,,,,,,,,,,,,,,,,
1,HR_41,HR_041,3,,,,,,,,,,,,,,,,,2,8,8,10.3,,,,,,,,,,,,,,,,
1,HR_46,HR_046,6,,,,,,,,,,,,,4,3,3,11.52,6,3,3,9.18,,,,,,,,,,,,,,,,
1,HR_47,HR_047,2,,,,,,,,,,,,,,,,,5,6,6,21.46,4,2,2,1.63,,,,,,,,,,,,
1,HR_49,HR_049,3,,,,,,,,,,,,,,,,,,,,,8,4,4,9.45,,,,,,,,,,,,
1,HR_57,HR_057,4,,,,,,,,,,,,,1,2,2,5.71,,,,,,,,,,,,,,,,,,,,
1,HR_58,HR_058,2,,,,,,,,,,,,,9,6,6,26.65,10,3,3,8.21,4,1,1,3.51,5,1,1,4.45,,,,,,,,
1,HR_61,HR_061,2,,,,,,,,,,,,,,,,,10,14,14,68.15,6,6,6,25.28,3,2,2,7.46,,,,,,,,
1,HR_83,HR_083,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HR_92,HR_092,1,,,,,,,,,,,,,,,,,,,,,6,1,1,2.25,,,,,,,,,,,,
1,HR_95,HR_095,8,,,,,,,,,,,,,1,3,3,5.43,3,3,3,4.97,,,,,,,,,,,,,,,,
1,HR_105,HR_105,7,,,,,,,,,,,,,,,,,,,,,3,13,13,21.25,,,,,,,,,,,,
1,HR_108,HR_108,1,,,,,,,,,,,,,4,14,14,44.48,6,5,5,13.61,3,2,2,6.81,,,,,,,,,,,,
1,HR_110,HR_110,6,,,,,,,,,,,,,,,,,5,8,8,14.19,,,,,,,,,,,,,,,,
1,HR_113,HR_113,5,,,,,,,,,,,,,9,2,2,6.26,,,,,,,,,6,4,4,5.96,,,,,,,,
1,HR_114,HR_114,7,,,,,,,,,,,,,6,5,5,20.92,,,,,,,,,,,,,,,,,,,,
1,HR_115,HR_115,6,,,,,,,,,,,,,8,24,24,56.63,,,,,,,,,,,,,,,,,,,,
1,HR_123,HR_123,5,,,,,,,,,,,,,2,2,2,5.89,3,1,1,4.01,3,1,1,2.11,,,,,,,,,,,,
1,HR_134,HR_134,4,,,,,,,,,,,,,,,,,5,1,1,1.56,,,,,1,1,1,2.05,,,,,,,,
1,HR_136,HR_136,3,,,,,,,,,,,,,,,,,6,3,3,11.9,,,,,,,,,,,,,,,,
1,HR_146,HR_146,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HR_148,HR_148,5,,,,,,,,,,,,,,,,,5,2,2,1.81,,,,,,,,,,,,,,,,
1,HR_158,HR_158,4,,,,,,,,,,,,,,,,,21,67,50,124.31,5,2,2,3.67,,,,,,,,,,,,
1,HR_162,HR_162,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HR_170,HR_170,5,,,,,,,,,1,6,6,16.49,10,38,38,98.1,10,9,9,21.81,,,,,,,,,,,,,,,,
1,HR_173,HR_173,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,HR_175,HR_175,6,,,,,,,,,,,,,,,,,9,14,14,33.51,,,,,,,,,,,,,,,,
1,HR_176,HR_176,7,,,,,,,,,,,,,5,3,3,10.37,2,1,1,2.63,1,1,1,3.3,,,,,,,,,,,,
1,HR_177,HR_177,3,,,,,,,,,1,6,6,11.89,8,31,31,58.22,,,,,,,,,,,,,,,,,,,,
1,HR_178,HR_178,6,,,,,,,,,,,,,3,2,2,2.67,3,7,7,8,,,,,2,1,1,1.69,,,,,,,,
1,HR_183,HR_183,2,,,,,,,,,1,2,2,9.34,8,7,7,28.31,4,2,2,4.4,,,,,,,,,,,,,,,,
1,HR_196,HR_196,5,,,,,,,,,,,,,11,37,37,86.91,9,20,20,48.38,6,5,5,6.98,,,,,,,,,,,,
2,HR_6,HR_006,6,,,,,,,,,1,6,6,12.14,3,1,1,1.74,,,,,,,,,,,,,,,,,,,,
2,HR_12,HR_012,7,,,,,,,,,,,,,3,6,6,19.74,,,,,,,,,,,,,,,,,,,,
2,HR_14,HR_014,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HR_15,HR_015,6,,,,,,,,,,,,,,,,,5,5,5,8.15,,,,,,,,,,,,,,,,
2,HR_23,HR_023,2,,,,,,,,,,,,,2,4,4,8.26,1,3,3,5.08,,,,,,,,,,,,,,,,
2,HR_27,HR_027,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HR_34,HR_034,5,,,,,,,,,,,,,13,29,29,81.99,5,1,1,2.31,3,4,4,7.6,1,2,2,3.55,,,,,,,,
2,HR_35,HR_035,6,,,,,,,,,,,,,5,4,4,17.94,,,,,,,,,,,,,,,,,,,,
2,HR_38,HR_038,8,,,,,,,,,,,,,8,3,3,6.57,4,5,5,5.4,,,,,,,,,,,,,,,,
2,HR_43,HR_043,4,,,,,,,,,,,,,3,7,7,16.32,,,,,,,,,,,,,,,,,,,,
2,HR_50,HR_050,1,,,,,,,,,,,,,7,8,8,38.94,2,3,3,10.85,2,3,3,13.31,,,,,,,,,,,,
2,HR_51,HR_051,3,,,,,,,,,,,,,,,,,4,1,1,1.41,,,,,,,,,,,,,,,,
2,HR_54,HR_054,1,,,,,,,,,,,,,5,5,5,24.09,,,,,,,,,,,,,,,,,,,,
2,HR_59,HR_059,5,,,,,,,,,,,,,,,,,3,3,3,5.32,,,,,,,,,,,,,,,,
2,HR_62,HR_062,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HR_64,HR_064,8,,,,,,,,,,,,,5,21,21,43.79,,,,,,,,,,,,,,,,,,,,
2,HR_71,HR_071,7,,,,,,,,,,,,,4,2,2,4.53,5,2,2,3.28,,,,,,,,,,,,,,,,
2,HR_72,HR_072,7,,,,,,,,,4,13,13,32.86,6,4,4,8.88,6,2,2,2.58,2,1,1,3.48,,,,,,,,,,,,
2,HR_73,HR_073,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HR_78,HR_078,2,,,,,,,,,,,,,2,3,3,2.53,,,,,,,,,,,,,,,,,,,,
2,HR_80,HR_080,1,,,,,,,,,,,,,4,4,4,5.05,5,5,5,7.37,1,2,2,1.06,,,,,,,,,,,,
2,HR_85,HR_085,4,,,,,,,,,3,1,1,3.07,10,21,21,71.1,10,15,15,39.57,7,5,5,10.19,,,,,,,,,,,,
2,HR_86,HR_086,1,,,,,,,,,,,,,10,21,21,71.03,2,2,2,1.97,,,,,,,,,,,,,,,,
2,HR_88,HR_088,8,,,,,,,,,,,,,1,2,2,2.79,,,,,,,,,,,,,,,,,,,,
2,HR_101,HR_101,3,,,,,,,,,,,,,,,,,1,2,2,3.16,,,,,,,,,,,,,,,,
2,HR_104,HR_104,4,,,,,,,,,,,,,3,5,5,14.37,2,2,2,3.81,,,,,,,,,,,,,,,,
2,HR_107,HR_107,6,,,,,,,,,,,,,12,9,9,24.96,2,3,3,3.64,4,2,2,1.63,,,,,,,,,,,,
2,HR_109,HR_109,8,,,,,,,,,,,,,4,4,4,17.86,3,4,4,7.35,2,1,1,0.98,,,,,,,,,,,,
2,HR_112,HR_112,3,,,,,,,,,1,2,2,5.24,12,32,32,69.79,10,23,23,40.65,8,10,10,15.51,,,,,,,,,,,,
2,HR_119,HR_119,5,,,,,,,,,3,13,13,41.77,8,13,13,43.35,3,3,3,8.44,,,,,,,,,,,,,,,,
2,HR_121,HR_121,1,,,,,,,,,,,,,5,6,6,19.54,1,1,1,1.28,,,,,,,,,,,,,,,,
2,HR_126,HR_126,7,,,,,,,,,,,,,10,23,23,47.78,4,4,4,5.01,6,7,7,16.97,,,,,,,,,,,,
2,HR_129,HR_129,1,,,,,,,,,1,2,2,5.17,4,4,4,10.83,,,,,,,,,,,,,,,,,,,,
2,HR_133,HR_133,6,,,,,,,,,,,,,2,6,6,13.21,,,,,2,5,5,5,,,,,,,,,,,,
2,HR_137,HR_137,8,,,,,,,,,10,25,25,63.83,,,,,7,21,21,36.15,9,21,21,26.44,6,5,5,9.75,,,,,,,,
2,HR_142,HR_142,4,,,,,,,,,,,,,,,,,,,,,5,1,1,2.13,,,,,,,,,,,,
2,HR_145,HR_145,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,HR_149,HR_149,1,,,,,,,,,2,1,1,2.95,10,1,1,3.03,3,2,2,4.92,9,1,1,2.33,,,,,,,,,,,,
2,HR_153,HR_153,4,,,,,,,,,2,2,2,4.64,,,,,,,,,,,,,,,,,,,,,,,,
2,HR_161,HR_161,8,,,,,,,,,,,,,14,60,50,89.24,6,3,3,3.37,,,,,,,,,,,,,,,,
2,HR_164,HR_164,3,,,,,,,,,,,,,2,2,2,3.52,,,,,,,,,,,,,,,,,,,,
2,HR_165,HR_165,8,,,,,,,,,,,,,7,11,11,43.96,,,,,,,,,,,,,,,,,,,,
2,HR_169,HR_169,5,,,,,,,,,,,,,20,53,50,159.59,18,14,14,38.1,6,3,3,9.56,,,,,,,,,,,,
2,HR_180,HR_180,6,,,,,,,,,,,,,3,6,6,12.15,2,2,2,4.7,,,,,,,,,,,,,,,,
2,HR_195,HR_195,3,,,,,,,,,3,6,6,26.23,3,5,5,11.75,,,,,,,,,,,,,,,,,,,,
2,HR_201,HR_201,6,,,,,,,,,4,6,6,22.15,8,14,14,37.69,,,,,1,1,1,2.92,,,,,,,,,,,,
3,HR_1,HR_001,7,,,,,,,,,,,,,4,10,10,27.95,5,4,4,7.2,,,,,,,,,,,,,,,,
3,HR_4,HR_004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HR_9,HR_009,8,,,,,,,,,3,16,16,41.06,4,5,5,14.82,,,,,4,1,1,2.58,,,,,,,,,,,,
3,HR_17,HR_017,8,,,,,,,,,,,,,5,3,3,11.21,4,1,1,1.27,,,,,,,,,,,,,,,,
3,HR_19,HR_019,5,,,,,,,,,3,7,7,15.88,23,37,37,95.68,,,,,,,,,,,,,,,,,,,,
3,HR_21,HR_021,4,,,,,,,,,1,3,3,12.43,10,8,8,35.61,5,2,2,5.61,,,,,,,,,,,,,,,,
3,HR_28,HR_028,1,,,,,,,,,,,,,11,10,10,40.77,10,4,4,6.46,7,2,2,3.4,2,2,2,4.22,,,,,,,,
3,HR_42,HR_042,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HR_44,HR_044,8,,,,,,,,,,,,,9,11,11,29.17,6,18,18,24.68,4,5,5,11.72,,,,,,,,,,,,
3,HR_53,HR_053,3,,,,,,,,,,,,,4,18,18,40.02,,,,,,,,,,,,,,,,,,,,
3,HR_56,HR_056,7,,,,,,,,,,,,,,,,,,,,,5,1,1,4.18,,,,,,,,,,,,
3,HR_65,HR_065,6,,,,,,,,,,,,,16,46,46,107.95,8,4,4,7.01,12,1,1,3.87,,,,,,,,,,,,
3,HR_66,HR_066,7,,,,,,,,,2,2,2,3.84,2,4,4,12.71,,,,,,,,,,,,,,,,,,,,
3,HR_67,HR_067,5,,,,,,,,,,,,,4,1,1,5.54,,,,,,,,,,,,,,,,,,,,
3,HR_68,HR_068,2,,,,,,,,,,,,,4,4,4,13.75,,,,,,,,,,,,,,,,,,,,
3,HR_70,HR_070,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HR_79,HR_079,4,,,,,,,,,,,,,5,9,9,33.62,,,,,,,,,,,,,,,,,,,,
3,HR_87,HR_087,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HR_103,HR_103,2,,,,,,,,,1,4,4,13.58,14,15,15,43.23,,,,,,,,,,,,,,,,,,,,
3,HR_111,HR_111,3,,,,,,,,,,,,,4,4,4,6.37,,,,,,,,,,,,,,,,,,,,
3,HR_116,HR_116,5,,,,,,,,,,,,,7,1,1,6.04,11,3,3,10.29,15,6,6,14.13,3,2,2,8.31,,,,,,,,
3,HR_118,HR_118,8,,,,,,,,,3,6,6,21.04,13,11,11,39.58,8,4,4,5.18,,,,,,,,,,,,,,,,
3,HR_124,HR_124,6,,,,,,,,,1,1,1,3.01,10,20,20,71.51,,,,,,,,,,,,,,,,,,,,
3,HR_127,HR_127,7,,,,,,,,,1,4,4,12.49,9,26,26,78.4,4,6,6,12.9,,,,,,,,,,,,,,,,
3,HR_131,HR_131,6,,,,,,,,,,,,,8,4,4,11.95,6,9,9,16.03,,,,,,,,,,,,,,,,
3,HR_135,HR_135,4,,,,,,,,,,,,,7,5,5,27.75,,,,,,,,,,,,,,,,,,,,
3,HR_139,HR_139,2,,,,,,,,,,,,,4,9,9,27.62,2,2,2,8.19,6,4,4,8.73,,,,,,,,,,,,
3,HR_141,HR_141,5,,,,,,,,,2,10,10,18.3,15,82,50,99.88,6,18,18,38.72,,,,,,,,,,,,,,,,
3,HR_147,HR_147,7,,,,,,,,,,,,,8,6,6,21.12,4,4,4,8.7,,,,,,,,,,,,,,,,
3,HR_150,HR_150,2,,,,,,,,,,,,,7,5,5,27.04,5,1,1,6.21,1,1,1,6.18,,,,,,,,,,,,
3,HR_152,HR_152,1,,,,,,,,,,,,,3,5,5,13.11,3,2,2,4.08,,,,,,,,,,,,,,,,
3,HR_155,HR_155,7,,,,,,,,,1,2,2,6.78,12,29,29,73.15,5,3,3,5.01,,,,,,,,,,,,,,,,
3,HR_156,HR_156,5,,,,,,,,,,,,,21,10,10,35.07,9,4,4,9.79,8,6,6,12.36,3,3,3,5.09,,,,,,,,
3,HR_159,HR_159,3,,,,,,,,,2,1,1,2.24,9,4,4,11.9,4,5,5,9.46,3,1,1,1.26,,,,,,,,,,,,
3,HR_166,HR_166,4,,,,,,,,,,,,,3,6,6,15.7,,,,,,,,,,,,,,,,,,,,
3,HR_168,HR_168,4,,,,,,,,,,,,,6,3,3,16.39,4,2,2,4.43,2,2,2,5.43,,,,,,,,,,,,
3,HR_174,HR_174,7,,,,,,,,,,,,,2,3,3,4.4,2,1,1,1.36,,,,,,,,,,,,,,,,
3,HR_179,HR_179,7,,,,,,,,,,,,,14,18,18,55.56,7,2,2,7.17,,,,,,,,,,,,,,,,
3,HR_181,HR_181,5,,,,,,,,,,,,,5,8,8,29.6,,,,,,,,,,,,,,,,,,,,
3,HR_182,HR_182,3,,,,,,,,,,,,,5,1,1,6.83,,,,,,,,,,,,,,,,,,,,
3,HR_184,HR_184,6,,,,,,,,,,,,,5,3,3,19.55,1,2,2,12.34,,,,,,,,,,,,,,,,
3,HR_190,HR_190,4,,,,,,,,,,,,,11,15,15,57.84,5,3,3,10.84,,,,,,,,,,,,,,,,
3,HR_192,HR_192,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HR_193,HR_193,6,,,,,,,,,,,,,11,8,8,39.33,6,5,5,19.34,6,10,10,18.47,,,,,,,,,,,,
3,HR_197,HR_197,3,,,,,,,,,,,,,6,10,10,20.66,1,3,3,3.72,2,2,2,2.35,,,,,,,,,,,,
4,HR_4,HR_004,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HR_5,HR_005,8,,,,,,,,,,,,,8,8,8,33.23,4,1,1,1.01,,,,,,,,,,,,,,,,
4,HR_7,HR_007,7,,,,,,,,,,,,,6,11,24.23,,,,,,,,,,,,,,,,,,,,,
4,HR_11,HR_011,4,,,,,,,,,,,,,4,8,8,22.91,3,2,2,3.65,2,1,1,2.13,,,,,,,,,,,,
4,HR_12,HR_012,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HR_17,HR_017,3,,,,,,,,,,,,,4,2,2,6.53,10,2,2,5.81,,,,,,,,,,,,,,,,
4,HR_34,HR_034,7,,,,,,,,,,,,,,,,,3,6,6,18.03,,,,,,,,,,,,,,,,
4,HR_35,HR_035,8,,,,,,,,,,,,,6,6,6,13.22,,,,,,,,,,,,,,,,,,,,
4,HR_36,HR_036,8,,,,,,,,,,,,,15,22,22,74.52,6,2,2,6.49,,,,,,,,,,,,,,,,
4,HR_39,HR_039,6,,,,,,,,,,,,,12,8,8,19.86,13,10,10,21.76,5,2,2,3.94,,,,,,,,,,,,
4,HR_40,HR_040,5,,,,,,,,,,,,,16,50,50,118.96,11,9,9,28.76,6,5,5,9.06,,,,,,,,,,,,
4,HR_42,HR_042,8,,,,,,,,,,,,,,,,,,,,,5,1,1,2.68,,,,,,,,,,,,
4,HR_49,HR_049,4,,,,,,,,,,,,,9,7,7,19.87,,,,,,,,,1,1,1,2.28,,,,,,,,
4,HR_53,HR_053,7,,,,,,,,,,,,,,,,,3,1,1,1.32,,,,,,,,,,,,,,,,
4,HR_58,HR_058,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HR_61,HR_061,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HR_64,HR_064,4,,,,,,,,,,,,,2,1,1,2.54,,,,,,,,,,,,,,,,,,,,
4,HR_67,HR_067,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HR_70,HR_070,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HR_71,HR_071,5,,,,,,,,,,,,,12,10,10,32.88,,,,,2,1,1,2.16,,,,,,,,,,,,
4,HR_78,HR_078,5,,,,,,,,,,,,,3,12,12,18.35,,,,,,,,,,,,,,,,,,,,
4,HR_80,HR_080,5,,,,,,,,,,,,,4,1,1,1.93,,,,,,,,,,,,,,,,,,,,
4,HR_83,HR_083,4,,,,,,,,,,,,,,,,,4,1,1,2.36,,,,,,,,,,,,,,,,
4,HR_85,HR_085,5,,,,,,,,,,,,,1,1,1,1.21,,,,,,,,,,,,,,,,,,,,
4,HR_107,HR_107,7,,,,,,,,,,,,,,,,,12,17,17,60.29,5,3,3,9.25,,,,,,,,,,,,
4,HR_108,HR_108,2,,,,,,,,,,,,,,,,,4,1,1,2.7,,,,,,,,,,,,,,,,
4,HR_118,HR_118,1,,,,,,,,,,,,,4,2,2,7.78,,,,,,,,,1,1,1,1.67,,,,,,,,
4,HR_126,HR_126,8,,,,,,,,,1,2,2,5.92,11,6,6,18.75,7,2,2,3.4,8,5,5,11.87,2,1,1,1.13,,,,,,,,
4,HR_136,HR_136,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HR_139,HR_139,6,,,,,,,,,,,,,4,4,4,12.65,,,,,,,,,,,,,,,,,,,,
4,HR_141,HR_141,4,,,,,,,,,,,,,4,5,5,17.03,,,,,,,,,,,,,,,,,,,,
4,HR_145,HR_145,6,,,,,,,,,,,,,3,4,4,5.51,,,,,,,,,,,,,,,,,,,,
4,HR_146,HR_146,7,,,,,,,,,,,,,6,14,14,20.41,,,,,,,,,,,,,,,,,,,,
4,HR_147,HR_147,5,,,,,,,,,,,,,5,12,12,29.09,,,,,,,,,,,,,,,,,,,,
4,HR_150,HR_150,5,,,,,,,,,,,,,5,5,5,19.25,11,3,3,10.45,,,,,,,,,,,,,,,,
4,HR_156,HR_156,6,,,,,,,,,,,,,5,6,6,8.68,,,,,4,1,1,2.42,,,,,,,,,,,,
4,HR_158,HR_158,7,,,,,,,,,,,,,,,,,5,2,2,5.76,3,1,1,3.09,,,,,,,,,,,,
4,HR_164,HR_164,1,,,,,,,,,,,,,3,6,6,8.38,,,,,,,,,,,,,,,,,,,,
4,HR_166,HR_166,6,,,,,,,,,,,,,,,,,1,5,5,11.85,,,,,1,1,1,1.38,,,,,,,,
4,HR_168,HR_168,4,,,,,,,,,,,,,3,3,3,7.88,,,,,,,,,1,1,1,2.18,,,,,,,,
4,HR_169,HR_169,5,,,,,,,,,,,,,,,,,5,4,4,10.7,3,3,3,8.59,,,,,,,,,,,,
4,HR_175,HR_175,6,,,,,,,,,,,,,5,4,4,8.33,5,5,5,10.74,,,,,,,,,,,,,,,,
4,HR_184,HR_184,8,,,,,,,,,,,,,,,,,5,6,6,13.3,,,,,,,,,,,,,,,,
4,HR_192,HR_192,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,HR_193,HR_193,3,,,,,,,,,1,1,1,1.64,8,6,6,19.1,6,8,8,14.69,,,,,,,,,,,,,,,,
4,HR_196,HR_196,1,,,,,,,,,,,,,5,10,10,25.84,2,5,5,10.06,,,,,,,,,,,,,,,,
5,HR_1,HR_001,5,,,,,,,,,,,,,10,14,14,34.43,,,,,,,,,,,,,,,,,,,,
5,HR_6,HR_006,1,,,,,,,,,,,,,,,,,1,1,1,1.76,,,,,,,,,,,,,,,,
5,HR_9,HR_009,6,,,,,,,,,,,,,9,17,17,65.57,6,3,3,10.87,4,3,3,9.83,,,,,,,,,,,,
5,HR_20,HR_020,6,,,,,,,,,,,,,2,4,4,17.97,3,3,3,12.45,,,,,,,,,,,,,,,,
5,HR_21,HR_021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HR_33,HR_033,6,,,,,,,,,,,,,9,7,7,29.83,,,,,,,,,,,,,,,,,,,,
5,HR_43,HR_043,1,,,,,,,,,,,,,8,22,22,57.11,3,1,1,1.67,,,,,,,,,,,,,,,,
5,HR_44,HR_044,3,,,,,,,,,,,,,2,2,2,7.13,4,1,1,3.02,,,,,2,1,1,5.45,,,,,,,,
5,HR_46,HR_046,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HR_47,HR_047,5,,,,,,,,,,,,,2,7,7,23.91,,,,,,,,,,,,,,,,,,,,
5,HR_50,HR_050,6,,,,,,,,,1,5,5,20.67,20,37,37,178.7,16,6,6,33.35,11,14,14,67.19,,,,,,,,,,,,
5,HR_54,HR_054,5,,,,,,,,,,,,,2,1,1,6.86,,,,,,,,,,,,,,,,,,,,
5,HR_56,HR_056,7,,,,,,,,,,,,,10,30,30,107.63,6,13,13,37.63,3,1,1,1.31,,,,,,,,,,,,
5,HR_57,HR_057,5,,,,,,,,,6,13,13,23.4,,,,,,,,,2,2,2,2.64,,,,,,,,,,,,
5,HR_62,HR_062,2,,,,,,,,,1,1,1,7.05,9,8,8,41.67,9,7,7,23.17,6,4,4,10.67,,,,,,,,,,,,
5,HR_65,HR_065,4,,,,,,,,,,,,,9,24,24,42.38,5,5,5,4.74,,,,,,,,,,,,,,,,
5,HR_66,HR_066,3,,,,,,,,,,,,,2,7,7,15.19,,,,,,,,,,,,,,,,,,,,
5,HR_68,HR_068,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HR_72,HR_072,6,,,,,,,,,,,,,3,10,10,38.92,3,6,6,17.96,,,,,,,,,,,,,,,,
5,HR_73,HR_073,5,,,,,,,,,,,,,9,22,22,47.43,7,2,2,3.45,,,,,,,,,,,,,,,,
5,HR_86,HR_086,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HR_87,HR_087,3,,,,,,,,,,,,,4,2,2,10.1,1,2,2,3.83,,,,,,,,,,,,,,,,
5,HR_103,HR_103,8,,,,,,,,,,,,,10,38,38,96.69,10,20,20,39.96,3,4,4,6.54,,,,,,,,,,,,
5,HR_109,HR_109,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,HR_110,HR_110,4,,,,,,,,,,,,,6,26,26,60.86,,,,,2,3,3,5.22,,,,,,,,,,,,
5,HR_119,HR_119,1,,,,,,,,,,,,,6,28,28,47.16,,,,,5,3,3,4.23,,,,,,,,,,,,
5,HR_123,HR_123,6,,,,,,,,,,,,,5,11,11,31.37,2,1,1,2.33,,,,,,,,,,,,,,,,
5,HR_124,HR_124,6,,,,,,,,,,,,,,,,,2,1,1,1.58,,,,,,,,,,,,,,,,
5,HR_127,HR_127,1,,,,,,,,,1,7,7,10.22,6,30,30,70.8,7,5,5,12.8,,,,,,,,,,,,,,,,
5,HR_131,HR_131,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
