,,,,Collection Date: 2022-04-08,,,,Collection Date: 2022-04-22 to 2022-04-23,,,,Collection Date: 2022-04-28 to 2022-04-29,,,,Collection Date: 2022-05-04,,,,Collection Date: 2022-05-12,,,,Collection Date: 2022-05-19 ,,,,Collection Date: 2022-05-25 to 2022-05-26,,,,Collection Date: 2022-06-09,,,,Collection Date: NA,,,,ff_date
2,56,BB_16,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,57,BB_111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,57,BB_120,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,57,BB_92,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
2,58,BB_153,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,58,BB_127,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,58,BB_50,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29-Apr
2,59,BB_56,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
2,59,BB_143,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
2,59,BB_133,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
W1,60,BB_51,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
W1,60,BB_152,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
W1,60,BB_85,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,61,BB_27,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Feb
2,61,BB_147,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12145
2,61,BB_78,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,62,BB_211,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
2,62,BB_61,1,,,,,,,,,,,,,,,2,9.34,,,,,,,,,,,,,,,,,,,,,26-Mar
2,62,BB_214,8,,,,,,,,,,,,,,,,,,,,,,,3,22.41,,,,,,,,,,,,,8-Apr
2,63,BB_171,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
2,63,BB_114,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,63,BB_83,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23-Apr
2,64,BB_69,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,64,BB_20,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,64,BB_51,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,65,BB_135,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,65,BB_52,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,65,BB_150,8,,,,,,,,,,,,,,,,,,,2,5.28,,,,,,,,,,,,,,,,,29-Apr
2,66,BB_84,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,66,BB_43,NA,,,1,1.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,66,BB_37,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,67,BB_134,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-Mar
2,67,BB_204,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
2,67,BB_164,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,68,BB_121,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
2,68,BB_218,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-Feb
2,69,BB_163,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,69,BB_81,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,69,BB_199,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
W1,70,BB_105,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
W1,70,BB_61,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
W1,70,BB_20,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
2,71,BB_210,1,,,,,,,,,,,,,,,,,,,3,3.28,,,,,,,,,,,,,,,,,12-Mar
2,71,BB_146,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6.84,,,,,,,,,18-Mar
2,71,BB_8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
2,72,BB_68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,72,BB_119,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
2,72,BB_195,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,73,BB_45,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,73,BB_24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,73,BB_216,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-Apr
2,74,BB_40,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,74,BB_64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,74,BB_157,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,75,BB_58,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,75,BB_31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2,75,BB_95,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,76,BB_85,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,76,BB_161,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
2,76,BB_53,7,,,,,,,,,,,,,,,4,5.62,,,,,,,,,,,,,,,,,,,,,18-Mar
2,77,BB_32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-Mar
2,77,BB_151,6,,,,,,,6,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,77,BB_104,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2,78,BB_18,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2,78,BB_9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-Apr
2,78,BB_209,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
2,79,BB_105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,79,BB_72,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA
2,79,BB_76,8,,,,,,,,,,,,,,,,,,,,,,,,,,,5,17.2,,,,,,,,,26-Mar
2,80,BB_207,3,,,,,,,,,,,,,,,,,,,,,,,5,28.33,,,,,,,,,,,,,2-Apr
2,80,BB_145,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
2,80,BB_19,8,,,,,,,,,,,,,,,,,,,11,33.09,,,16,51.95,,,2,6.03,,,,,,,,,2-Apr
W1,80.5,BB_137,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-Mar
W1,80.5,BB_59,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9-Apr
W1,80.5,BB_102,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,81,BB_3,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,81,BB_113,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18-Mar
2,81,BB_159,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12-Mar
