Transect,Recipient,Plant_ID,F?,10-Mar,16-Mar,24-Mar,31-Mar,7-Apr,14-Apr,20-Apr,26-Apr,4-May,11-May,20-May,24-May,SLA,flr_P,Sterile,Recipient,Plant_ID,F?,10-Mar,16-Mar,24-Mar,31-Mar,7-Apr,14-Apr,20-Apr,26-Apr,4-May,11-May,20-May,24-May,SLA,flr_P,Sterile
1,HR_176,3,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_176,7,F,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,,2022-04-26,,,,,,2022-03-24,
1,HR_176,4,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,2022-05-05,,,,,,,HR_176,8,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_146,1,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,G,,,,,,,HR_146,5,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
1,HR_146,2,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_146,6,F,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,G,,,,,2022-03-31,
1,HR_146,3,F,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-24,,HR_146,7,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,G,,,,,,
1,HR_146,4,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,,HR_146,8,F,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,G,,,,,2022-03-24,
1,HR_177,1,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_177,5,,,,,,,,,,,,,,,,
1,HR_177,2,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_177,6,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,2022-05-16,2022-03-24,
1,HR_177,3,F,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,2022-03-24,,HR_177,7,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_177,4,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_177,8,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_115,1,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,G,,,,,,,HR_115,5,,,,,2022-03-31,,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
1,HR_115,2,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,G,,,,,,,HR_115,6,F,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-31,
1,HR_115,3,,,,,2022-03-31,2022-04-07,2022-04-14,,,G,,,,,,,HR_115,7,,,,,,,,,,,,,,,,
1,HR_115,4,,,,,2022-03-31,2022-04-07,2022-04-14,,2022-04-26,,,,,,,,HR_115,8,,,,2022-03-24,,,,,,,,,,,2022-03-24,
1,HR_36,1,,,,,,,,,,,,,,,,,HR_36,5,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_36,2,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,2022-03-24,,HR_36,6,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,G,,,,,,
1,HR_36,3,,,,,,,,,,,,,,,,,HR_36,7,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,G,,,,,,
1,HR_36,4,F,,,,2022-03-31,2022-04-07,2022-04-14,,,,,,,,2022-03-31,,HR_36,8,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,2022-05-11,,,2022-05-16,,
1,HR_33,1,,,,,,,,,G,,,,,,,,HR_33,5,F,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-31,
1,HR_33,2,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,2022-05-16,,,HR_33,6,,,,2022-03-24,2022-03-31,,2022-04-14,2022-04-20,,,,,,,,
1,HR_33,3,,,,,,2022-04-07,2022-04-14,,,,,,,,,,HR_33,7,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_33,4,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-24,,HR_33,8,,,,,,,,,,,,,,,,
1,HR_61,1,,,,,,2022-04-07,2022-04-14,,,,,,,,,,HR_61,5,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,
1,HR_61,2,F,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-24,,HR_61,6,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,
1,HR_61,3,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_61,7,,,,,,,,,,,,,,,,
1,HR_61,4,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,,HR_61,8,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
1,HR_158,1,,,,,2022-03-31,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_158,5,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-24,
1,HR_158,2,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_158,6,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
1,HR_158,3,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-24,,HR_158,7,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_158,4,F,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-31,,HR_158,8,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_175,1,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-24,,HR_175,5,,,,,,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_175,2,,,,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,2022-03-24,,HR_175,6,F,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,2022-03-31,
1,HR_175,3,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,2022-05-16,,,HR_175,7,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_175,4,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,,HR_175,8,,,,,,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_5,1,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_5,5,,,,,,2022-04-07,2022-04-14,,,,,,,2022-05-16,,
1,HR_5,2,,,,,,,,,,,,,,,,,HR_5,6,,,,,,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_5,3,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,2022-03-31,,HR_5,7,,,,,,2022-04-07,2022-04-14,,,,,,,,,
1,HR_5,4,F,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,2022-03-31,,HR_5,8,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-31,
1,HR_57,1,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,,HR_57,5,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_57,2,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,,HR_57,6,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,2022-05-16,,
1,HR_57,3,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,,HR_57,7,,,,,,,,,,,,,,,,
1,HR_57,4,F,,,,2022-03-31,,2022-04-14,2022-04-20,,,,,,,2022-03-31,,HR_57,8,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_170,1,,,,,,,,,,,,,,,,,HR_170,5,F,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-31,
1,HR_170,2,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,,HR_170,6,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_170,3,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_170,7,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,
1,HR_170,4,,,,,,,,,,,,,,,,,HR_170,8,,,,,,,,,,,,,,,,
1,HR_114,1,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_114,5,,,,,2022-03-31,2022-04-07,2022-04-14,,,,,,,,,
1,HR_114,2,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,,HR_114,6,,,,,,2022-04-07,2022-04-14,,,,,,,,,
1,HR_114,3,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,,,HR_114,7,F,,,,,2022-04-07,2022-04-14,2022-04-20,,,,,,,2022-04-07,
1,HR_114,4,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,,,,,,,2022-03-31,,HR_114,8,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
1,HR_108,1,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-07,,HR_108,5,,,,,,,,,,,,,,,,
1,HR_108,2,,,,,,,,,,,,,,,,,HR_108,6,,,,,,,,,,,,,,,,
1,HR_108,3,,,,,,2022-04-07,2022-04-14,,,,2022-05-11,,,,,,HR_108,7,,,,,,,,,,,,,,,,
1,HR_108,4,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,,HR_108,8,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,2022-03-31,
1,HR_196,1,,,,,,2022-04-07,2022-04-14,,2022-04-26,,,,,,,,HR_196,5,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-07,
1,HR_196,2,,,,,,2022-04-07,2022-04-14,2022-04-20,,,,,,,,,HR_196,6,,,,,,,,,,,,,,,,
1,HR_196,3,,,,,,,,,G,,,,,,,,HR_196,7,,,,,,,,,,,,,,,,
1,HR_196,4,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,,HR_196,8,,,,,,,,,,,,,,,,
1,HR_46,1,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_46,5,,,,,,,,,,,,,,,,
1,HR_46,2,,,,,,,,,,,,,,,,,HR_46,6,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,2022-05-16,2022-04-07,
1,HR_46,3,,,,,,,2022-04-14,2022-04-20,,,,,,,2022-04-14,,HR_46,7,,,,,,,,,,,,,,,,
1,HR_46,4,,,,,,2022-04-07,2022-04-14,2022-04-20,,,,,,,,,HR_46,8,,,,,,,,,,,,,,,,
1,HR_20,1,,,,,,,,,,,,,,,,,HR_20,5,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_20,2,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,2022-05-16,2022-04-07,,HR_20,6,,,,,,,,,,,,,,,,
1,HR_20,3,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_20,7,,,,,,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_20,4,,,,,,,,,,,,,,,,,HR_20,8,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_16,1,,,,,,,,,,,,,,,,,HR_16,5,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,
1,HR_16,2,,,,,,,,,,,,,,,,,HR_16,6,,,,,,,,,,,,,,,,
1,HR_16,3,,,,,,,,,,,,,,,,,HR_16,7,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
1,HR_16,4,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-07,,HR_16,8,,,,,,,,,,,,,,,,
1,HR_10,1,,,,,,,,,,,,,,,,,HR_10,5,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-07,
1,HR_10,2,,,,,,,,,,,,,,,,,HR_10,6,,,,,,,,,,,,,,,,
1,HR_10,3,,,,,,,,,,,,,,,,,HR_10,7,,,,,,,,,,,,,,,,
1,HR_10,4,,,,,,,,,,,,,,,,,HR_10,8,,,,,,,,,,,,,,,,
1,HR_41,1,,,,,,,,,,,,,,,,,HR_41,5,,,,,,,,,,,,,,,,
1,HR_41,2,,,,,,,,,,,,,,,,,HR_41,6,,,,,,,,,,,,,,,,
1,HR_41,3,F,,,,,,2022-04-14,2022-04-20,,,,,,,2022-04-14,,HR_41,7,,,,,,,,,,,,,,,,
1,HR_41,4,,,,,,,,,,,,,,,,,HR_41,8,,,,,,,,,,,,,,,,
1,HR_148,1,,,,,,,,,,,,,,,,,HR_148,5,F,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,
1,HR_148,2,,,,,,,,,,,,,,,,,HR_148,6,F,,,,,,2022-04-14,,2022-04-26,,,,,,2022-04-14,
1,HR_148,3,,,,,,,,,,,,,,,,,HR_148,7,,,,,,,,,,,,,,,,
1,HR_148,4,,,,,,,,,,,,,,,,,HR_148,8,,,,,,,,,,,,,,,,
1,HR_105,1,,,,,,,,,,,,,,,,,HR_105,5,,,,,,,,,,,,,,,,
1,HR_105,2,,,,,,,,,,,,,,,,,HR_105,6,,,,,,,,,,,,,,,,
1,HR_105,3,,,,,,,,,,,,,,,,,HR_105,7,,,,,,,,2022-04-20,2022-04-26,2022-05-05,,,,,2022-04-20,
1,HR_105,4,,,,,,,,,,,,,,,,,HR_105,8,,,,,,,,,,,,,,,,
1,HR_134,1,,,,,,,,,,,,,,,,,HR_134,5,,,,,,,,,,,,,,,,
1,HR_134,2,,,,,,,,,,,,,,,,,HR_134,6,,,,,,,,,,,,,,,,
1,HR_134,3,,,,,,,,,,,,,,,,,HR_134,7,,,,,,,,,,,,,,,,
1,HR_134,4,F,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,,HR_134,8,,,,,,,,,,,,,,,,
1,HR_83,1,,,,,,,,,,,,,,,,,HR_83,5,,,,,,,,,,,,,,,,
1,HR_83,2,,,,,,,,,,,,,,,,,HR_83,6,,,,,,,,,,,,,,,,
1,HR_83,3,,,,,,,,,,,,,,,,,HR_83,7,,,,,,,,,,,,,,,,
1,HR_83,4,,,,,,,,,,,,,,,,,HR_83,8,,,,,,,,,,,,,,,,
1,HR_25,1,,,,,,,,,,,,,,,,,HR_25,5,,,,,,,,,,,,,,,,
1,HR_25,2,,,,,,,,,,,,,,,,,HR_25,6,,,,,,,,,,,,,,,,
1,HR_25,3,,,,,,,,,,,,,,,,,HR_25,7,,,,,,,,,,,,,,,,
1,HR_25,4,,,,,,,,,,,,,,,,,HR_25,8,,,,,,,,,,,,,,,,
1,HR_40,1,,,,,,,2022-04-14,,,2022-05-05,,,,2022-05-16,,,HR_40,5,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,
1,HR_40,2,,,,,,,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,2022-05-16,,,HR_40,6,,,,,,,,,,,,,,,,
1,HR_40,3,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,2022-04-07,,HR_40,7,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-07,
1,HR_40,4,,,,,,,,,,,,,,,,,HR_40,8,,,,,,,,,,,,,,,,
1,HR_7,1,,,,,,,2022-04-14,,,,,,,,,,HR_7,5,,,,,,,,,,,,,,,,
1,HR_7,2,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,,HR_7,6,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-26,
1,HR_7,3,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,2022-05-16,,,HR_7,7,,,,,,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_7,4,,,,,,,,,,,,,,,,,HR_7,8,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_113,1,,,,,,,,,,,,,,,,,HR_113,5,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,,2022-04-20,
1,HR_113,2,,,,,,,,,,,,,,,,,HR_113,6,,,,,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-03-31,
1,HR_113,3,,,,,,,,,,,,,,2022-05-16,,,HR_113,7,,,,,,,,,,,,,,,,
1,HR_113,4,,,,,,,,,,,,,,,,,HR_113,8,,,,,,,,,,,,,,,,
1,HR_95,1,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_95,5,,,,,,,,2022-04-20,2022-04-26,2022-05-05,,,,,,
1,HR_95,2,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-07,,HR_95,6,,,,,,,2022-04-14,,,,,,,,,
1,HR_95,3,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_95,7,,,,,,,,,,,,,,,,
1,HR_95,4,,,,,,,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,2022-05-16,,,HR_95,8,F,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,
1,HR_49,1,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_49,5,,,,,,,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,,,
1,HR_49,2,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_49,6,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,2022-05-16,,
1,HR_49,3,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,,2022-04-07,,HR_49,7,,,,,,,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,
1,HR_49,4,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_49,8,,,,,,,,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,,,
1,HR_136,1,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,,,,HR_136,5,,,,,,,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,2022-05-20,,,,
1,HR_136,2,,,,,,,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,,HR_136,6,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,2022-05-16,2022-04-07,
1,HR_136,3,F,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,,HR_136,7,,,,,,2022-04-07,,2022-04-20,2022-04-26,2022-05-05,,,,,,
1,HR_136,4,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,1900-01-02,,,,,HR_136,8,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,2022-05-20,,,,
1,HR_32,1,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_32,5,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_32,2,,,,,,,,,,,,,,,,,HR_32,6,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
1,HR_32,3,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_32,7,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,2022-05-11,,,,2022-04-14,
1,HR_32,4,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,2022-04-07,,HR_32,8,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,2022-05-11,,,,,
1,HR_110,1,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_110,5,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,2022-04-14,
1,HR_110,2,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_110,6,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-07,
1,HR_110,3,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_110,7,,,,,,,2022-04-14,2022-04-20,2022-04-26,G,,,,,,
1,HR_110,4,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_110,8,,,,,,,2022-04-14,2022-04-20,2022-04-26,G,,,,,,
1,HR_11,1,,,,,,,,2022-04-20,2022-04-26,,,,,,,,HR_11,5,,,,,,,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,
1,HR_11,2,,,,,,2022-04-07,2022-04-14,2022-04-20,G,,,,,,,,HR_11,6,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_11,3,,,,,,,,,G,,,,,,,,HR_11,7,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_11,4,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,,HR_11,8,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-07,
1,HR_178,1,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_178,5,,,,,,,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,,,,,
1,HR_178,2,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,,HR_178,6,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,2022-04-07,
1,HR_178,3,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,,HR_178,7,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_178,4,,,,,,,2022-04-14,2022-04-20,2022-04-26,,2022-05-11,,,,,,HR_178,8,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,
1,HR_47,1,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,2022-04-14,,HR_47,5,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,
1,HR_47,2,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-07,,HR_47,6,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,
1,HR_47,3,,,,,,,2022-04-14,2022-04-20,2022-04-26,2022-05-05,,,,,,,HR_47,7,,,,,,,,2022-04-20,2022-04-26,,,,,,,
1,HR_47,4,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_47,8,,,,,,2022-04-07,2022-04-14,2022-04-20,,,,,,,,
1,HR_123,1,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_123,5,F,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,
1,HR_123,2,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,,,,HR_123,6,,,,,,,,,,,,,,,,
1,HR_123,3,,,,,,,2022-04-14,2022-04-20,2022-04-26,,,,,,2022-04-14,,HR_123,7,,,,,,2022-04-07,2022-04-14,2022-04-20,2022-04-26,,,,,2022-05-16,,
