Block,Location,Recipient,Plant_ID,F?,25-Feb,3-Mar,11-Mar,17-Mar,25-Mar,1-Apr,9-Apr,22-Apr,28-Apr,4-May,12-May,19-May,25-May,SLA,flr_P,Recipient,Plant_ID,F?,25-Feb,3-Mar,11-Mar,17-Mar,25-Mar,1-Apr,9-Apr,22-Apr,28-Apr,4-May,12-May,19-May,25-May,SLA,flr_P
1,4,BB_143,3,,,,,2022-03-17,,,,,,,,,,,,BB_143,7,F,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-05-04,2022-03-25
1,4,BB_143,4,F,,,,,2022-03-25,,,,,,,,,,,BB_143,8,,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,2022-04-28,
1,5,BB_20,1,F,,,,,2022-03-25,2022-04-01,,,,,,,,,,BB_20,5,F,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-17
1,5,BB_20,2,,,,,,,,,,,,,,,,,BB_20,6,,,,,,,,,,,,,,,,
1,5,BB_20,3,,,,,,,,2022-04-08,,,,,,,2022-05-04,,BB_20,7,F,,,,,,,,,,,,,,2022-04-28,
1,5,BB_20,4,,,,,,,,,,,,,,,,,BB_20,8,,,,,,,,,,,,,,,,
1,5,BB_114,1,,,,,,,,,,,,,,,,,BB_114,5,F,,,,,2022-03-25,2022-04-01,,2022-04-22,,,,,,,
1,5,BB_114,2,,,,,,,,,,,,,,,,,BB_114,6,,,,,,,,,,,,,,,,
1,5,BB_114,3,,,,,,,,,,,,,,,,,BB_114,7,,,,,,,,,,,,,,,,
1,5,BB_114,4,,,,,,2022-03-25,2022-04-01,,,,,,,,,,BB_114,8,,,,,,,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,5,BB_69,1,,,,,,,,,,,,,,,,,BB_69,5,,,,,,,,,,,,,,,,
1,5,BB_69,2,,,,,,,,,,,,,,,,,BB_69,6,,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,
1,5,BB_69,3,,,,,,,,,,,,,,,,,BB_69,7,,,,,,,,,,,,,,,,
1,5,BB_69,4,F,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-04-01,BB_69,8,,,,,,,,2022-04-08,,,,,,,2022-04-28,
1,5,BB_13,1,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_13,5,,,,,,,,,,,,,,,,
1,5,BB_13,2,,,,,,,,,,,,,,,,,BB_13,6,,,,,,,,,,,,,,,,
1,5,BB_13,3,,,,,,,,,,,,,,,,,BB_13,7,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,5,BB_13,4,,,,,,,,,,,,,,,,,BB_13,8,F,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,,,,,2022-03-11
1,6,BB_104,1,,,,,,,,,,,,,,,,,BB_104,5,,,2022-03-03,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-11
1,6,BB_104,2,,,,,,,,,,,,,,,,,BB_104,6,,,,2022-03-11,2022-03-17,,,2022-04-08,,,,,,,,
1,6,BB_104,3,,,,,,,,,,,,,,,,,BB_104,7,,,2022-03-03,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-11
1,6,BB_104,4,,,,,,,,,,,,,,,,,BB_104,8,F,2022-02-25,,,2022-03-17,2022-03-25,,2022-04-08,2022-04-22,2022-04-28,,,2022-05-19,,,2022-03-11
1,6,BB_195,1,,,,,,,,,,,,,,,,,BB_195,5,,,2022-03-03,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,
1,6,BB_195,2,,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,,BB_195,6,,,2022-03-03,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,2022-03-11
1,6,BB_195,3,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_195,7,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,
1,6,BB_195,4,F,,2022-03-03,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-17,BB_195,8,,,,2022-03-11,2022-03-17,,2022-04-01,,,,,,,,,
1,6,BB_193,1,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_193,5,,,,,,,,,,,,,,,,
1,6,BB_193,2,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_193,6,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,6,BB_193,3,,,,,,,,,,,,,,,,,BB_193,7,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,
1,6,BB_193,4,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_193,8,F,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-17
1,7,BB_186,1,,,,,,,2022-04-01,,,,,,,,,,BB_186,5,,,,,,2022-03-25,2022-04-01,,,,,,,,,
1,7,BB_186,2,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_186,6,,,,,,,,,,,,,,,,
1,7,BB_186,3,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-11,BB_186,7,F,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,,,,,2022-03-11
1,7,BB_186,4,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_186,8,,,,,,,,,,,,,,,,
1,7,BB_201,1,F,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,2022-05-12,,,,2022-03-11,BB_201,5,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-11
1,7,BB_201,2,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-11,BB_201,6,,,,,,,,,,,,,,,,
1,7,BB_201,3,,,2022-03-03,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-11,BB_201,7,,,2022-03-03,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-11
1,7,BB_201,4,,,,2022-03-11,2022-03-17,,2022-04-01,2022-04-08,,,,,,,,2022-03-11,BB_201,8,,,2022-03-03,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,
1,7,BB_27,1,,,,,,,,,,,,,,,,,BB_27,5,,,,,,,,,,,,,,,,
1,7,BB_27,2,F,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,,,,,2022-04-08,BB_27,6,,,,,,,,,,,,,,,,
1,7,BB_27,3,,,,,,,,,,,,,,,,,BB_27,7,,,,,,,,,,,,,,,,
1,7,BB_27,4,,,,,,,,,,,,,,,,,BB_27,8,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-11
1,8,BB_137,1,,,,,,,,,,,,,,,,,BB_137,5,,,,,,,,,,,,,,,2022-04-28,
1,8,BB_137,2,,,,,,,,,,,,,,,,,BB_137,6,F,,,,,2022-03-25,2022-04-01,2022-04-08,2022-04-22,,,,,,,2022-04-01
1,8,BB_137,3,F,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-25,BB_137,7,F,,,,,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,,,,2022-05-04,2022-03-25
1,8,BB_137,4,,,,,,,,,,,,,,,,,BB_137,8,,,,,,,,,,,,,,,,
1,8,BB_218,1,,,,,,,,,,,,,,,,,BB_218,5,,,,,,,,,,,,,,,,
1,8,BB_218,2,,,,,,,,,,,,,,,,,BB_218,6,,,,,,,2022-04-01,2022-04-08,,,,,,,,
1,8,BB_218,3,,,,,,,,,,,,,,,,,BB_218,7,F,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-04-08
1,8,BB_218,4,,,,,,,2022-04-01,,,,,,,,,,BB_218,8,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-17
1,8,BB_207,1,,,,,,,,,,,,,,,,,BB_207,5,,,,,,,,,,,,,,,,
1,8,BB_207,2,,,,,,,,,,,,,,,,,BB_207,6,F,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-25
1,8,BB_207,3,,,,,,2022-03-25,2022-04-01,,,,,,,,,,BB_207,7,,,,,,,,,,,,,,,,
1,8,BB_207,4,,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-17,BB_207,8,,,,,,,,,,,,,,,,
1,9,BB_189,1,,,,,,,2022-04-01,2022-04-08,,,,,,,,2022-04-01,BB_189,5,,,,,,,,2022-04-08,,,,,,,,
1,9,BB_189,2,,,,,,,,,,,,,,,,,BB_189,6,F,,,,,,2022-04-01,,,,,,,,,
1,9,BB_189,3,,,,,,,2022-04-01,2022-04-08,,,,,,,2022-04-28,,BB_189,7,,,,,,,,,,,,,,,,
1,9,BB_189,4,,,,,,,,,,,,,,,,,BB_189,8,,,,,,,,2022-04-08,,,,,,,,
1,9,BB_9,1,,,,,,,,,,,,,,,,,BB_9,5,,,,,,,,,,,,,,,,
1,9,BB_9,2,F,,,,,,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,,,,,2022-04-01,BB_9,6,,,,,,,,,,,,,,,,
1,9,BB_9,3,,,,,,,,,,,,,,,,,BB_9,7,,,,,,,,,,,,,,,,
1,9,BB_9,4,,,,,,,,,,,,,,,,,BB_9,8,,,,,,,,,,,,,,,,
1,9,BB_17,1,,,,,,,,,,,,,,,,,BB_17,5,F,,,,,,2022-04-01,2022-04-08,2022-04-22,,,,,,2022-05-04,2022-04-01
1,9,BB_17,2,,,,,,,,,,,,,,,,,BB_17,6,,,,,,,,,,,,,,,,
1,9,BB_17,3,,,,,,,,,,,,,,,,,BB_17,7,,,,,,,,,,,,,,,,
1,9,BB_17,4,F,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-11,BB_17,8,F,,,,2022-03-17,,2022-04-01,,,,,,,,,
1,10,BB_187,1,,,,,,,,,,,,,,,,,BB_187,5,,,,,,,,,,,,,,,2022-05-04,
1,10,BB_187,2,,,,,,,,,,,,,,,,,BB_187,6,,,,,,,,,,,,,,,,
1,10,BB_187,3,F,,,,,,,2022-04-08,,,,,,,,2022-04-08,BB_187,7,,,,,,,,,,,,,,,2022-04-28,
1,10,BB_187,4,,,,,,,,,,,,,,,,,BB_187,8,,,,,,,,,,,,,,,,
1,10,BB_32,1,,,,,,,,,,,,,,,,,BB_32,5,F,,,,,2022-03-25,2022-04-01,,,,,,,,,2022-03-25
1,10,BB_32,2,,,,,,,,,,,,,,,,,BB_32,6,,,,,,,,,,,,,,,,
1,10,BB_32,3,,,,,,,,,,,,,,,,,BB_32,7,,,,,,,,,,,,,,,,
1,10,BB_32,4,,,,,,,,,,,,,,,,,BB_32,8,,,,,,,,,,,,,,,,
1,10,BB_58,1,,,,,,,,,,,,,,,,,BB_58,5,,,,,,,2022-04-01,,,,,,,,,
1,10,BB_58,2,F,,,,,2022-03-25,2022-04-01,,,,,,,,,2022-03-25,BB_58,6,,,,,,,,,,,,,,,,
1,10,BB_58,3,,,,,,,,,,,,,,,,,BB_58,7,,,,,,,,,,,,,,,,
1,10,BB_58,4,,,,,,2022-03-25,,,,,,,,,2022-04-28,,BB_58,8,,,,,,,2022-04-01,,,,,,,,,
1,10,BB_21,1,,,,,,,,,,,,,,,,,BB_21,5,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,10,BB_21,2,,,,,,,,,,,,,,,,,BB_21,6,,,,,,,,,,,,,,,,
1,10,BB_21,3,F,,,,,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,,,,,2022-03-25,BB_21,7,,,,,,,,,,,,,,,,
1,10,BB_21,4,,,,,,,,,,,,,,,,,BB_21,8,,,,,,,,,,,,,,,,
1,11,BB_60,1,,,,,,,,,,,,,,,,,BB_60,5,,,,,,,,,,,,,,,,
1,11,BB_60,2,,,,,,,,,,,,,,,,,BB_60,6,,,,,,,,,,,,,,,,
1,11,BB_60,3,F,,,,,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,2022-05-12,2022-05-19,2022-05-25,,2022-04-01,BB_60,7,,,,,,,,,,,,,,,,
1,11,BB_60,4,,,,,,,,,,,,,,,,,BB_60,8,,,,,,,,,,,,,,,,
1,11,BB_93,1,,,,,,,,2022-04-08,,,,,,,,,BB_93,5,,,,,,,,2022-04-08,,,,,,,2022-04-28,
1,11,BB_93,2,,,,,,,,,,,,,,,,,BB_93,6,,,,,,,,,,,,,,,,
1,11,BB_93,3,,,,,,,,,,,,,,,,,BB_93,7,F,,,,2022-03-17,,2022-04-01,2022-04-08,,,,,,,,2022-03-17
1,11,BB_93,4,,,,,,,,,,,,,,,,,BB_93,8,,,,,,,,,,,,,,,,
1,11,BB_71,1,,,,,,,,,,,,,,,,,BB_71,5,,,,,,,,,,,,,,,,
1,11,BB_71,2,,,,,,,,,,,,,,,,,BB_71,6,,,,,,,,,,,,,,,,
1,11,BB_71,3,,,,,,,,,,,,,,,,,BB_71,7,,,,,,,,,,,,,,,,
1,11,BB_71,4,,,,,,,,,,,,,,,,,BB_71,8,,,,,,,,,,,,,,,,
1,12,BB_68,1,,,,,,,,,,,,,,,,,BB_68,5,,,,,,,,,,,,,,,,
1,12,BB_68,2,F,,,,,,2022-04-01,2022-04-08,2022-04-22,,,,,,,2022-04-01,BB_68,6,,,,,,,,,,,,,,,,
1,12,BB_68,3,,,,,,,,,,,,,,,,,BB_68,7,,,,,,,,,,,,,,,,
1,12,BB_68,4,,,,,,,,,,,,,,,,,BB_68,8,,,,,,,,,,,,,,,,
1,12,BB_18,1,,,,,,2022-03-25,,2022-04-08,,,,,,,,,BB_18,5,,,,,,,,,,,,,,,,
1,12,BB_18,2,,,,,,,,,,,,,,,,,BB_18,6,F,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-25
1,12,BB_18,3,,,,,,,,,,,,,,,,,BB_18,7,,,,,,,,,,,,,,,,
1,12,BB_18,4,,,,,,,,,,,,,,,,,BB_18,8,,,,,,,,,,,,,,,,
1,13,BB_131,1,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_131,5,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-11
1,13,BB_131,2,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-11,BB_131,6,F,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,,,,,,,2022-03-11
1,13,BB_131,3,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,2022-03-11,BB_131,7,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,
1,13,BB_131,4,,,,2022-03-11,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-11,BB_131,8,,,,,,,,,,,,,,,,
1,13,BB_29,1,,,,,,,2022-04-01,2022-04-08,,,,,,,,,BB_29,5,F,,,,,,2022-04-01,2022-04-08,2022-04-22,,,,,,,2022-04-01
1,13,BB_29,2,,,,,,,2022-04-01,2022-04-08,,,,,,,,,BB_29,6,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,2022-03-25
1,13,BB_29,3,,,,,,,,,,,,,,,,,BB_29,7,,,,,,,,2022-04-08,,,,,,,,
1,13,BB_29,4,,,,,,,,,,,,,,,,,BB_29,8,,,,,,,2022-04-01,,,,,,,,,
1,13,BB_45,1,,,,,,2022-03-25,2022-04-01,,,,,,,,,,BB_45,5,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,13,BB_45,2,,,,,,,,,,,,,,,,,BB_45,6,F,,,,,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,,,,,2022-04-01
1,13,BB_45,3,,,,,,,,,,,,,,,,,BB_45,7,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-17
1,13,BB_45,4,,,,,,,,,,2022-04-28,,,,,,,BB_45,8,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-17
1,14,BB_172,1,,,,,,,,,,,,,,,,,BB_172,5,,,,,,,,2022-04-08,,,,,,,2022-04-28,
1,14,BB_172,2,,,,,,,,,,,,,,,,,BB_172,6,,,,,,,,,,,,,,,,
1,14,BB_172,3,,,,,,,,,,,,,,,,,BB_172,7,,,,,,,,,,,,,,,,
1,14,BB_172,4,F,,,,,,2022-04-01,2022-04-08,2022-04-22,,,,,,,2022-04-01,BB_172,8,,,,,,,,,,,,,,,,
1,14,BB_83,1,,,,,,,,,,,,,,,,,BB_83,5,,,,,,,,,,,,,,,,
1,14,BB_83,2,,,,,,,,,,,,,,,,,BB_83,6,,,,,2022-03-17,2022-03-25,,,,,,,,,,2022-03-17
1,14,BB_83,3,,,,,,,,,,,,,,,,,BB_83,7,F,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,,,,,2022-03-17
1,14,BB_83,4,,,,,,,,,,,,,,,,,BB_83,8,,,,,,,,,,2022-04-28,,,,,2022-04-28,
1,14,BB_116,1,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-17,BB_116,5,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,
1,14,BB_116,2,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,2022-03-17,BB_116,6,F,,,,,,2022-04-01,,2022-04-22,2022-04-28,,,,,,2022-04-01
1,14,BB_116,3,,,,,,,,,,,,,,,,,BB_116,7,,,,,,,,,,,,,,,,
1,14,BB_116,4,,,,,,,,,,,,,,,,,BB_116,8,,,,,,,,,,,,,,,,
1,15,BB_19,1,F,,,,,,,,2022-04-22,,,,,,,2022-04-22,BB_19,5,,,,,,,,2022-04-08,,,,,,,2022-04-28,
1,15,BB_19,2,,,,,,,2022-04-01,2022-04-08,,,,,,,,2022-04-01,BB_19,6,,,,,,,,,,,,,,,,
1,15,BB_19,3,,,,,,,,,,,,,,,,,BB_19,7,,,,,,,,,,,,,,,,
1,15,BB_19,4,,,,,,,,,,,,,,,,,BB_19,8,,,,,,,,,,,,,,,,
1,15,BB_61,1,,,,,,,,,,,,,,,,,BB_61,5,,,,,,,,,,,,,,,,
1,15,BB_61,2,,,,,,,,,,,,,,,,,BB_61,6,,,,,,,,,,,,,,,,
1,15,BB_61,3,,,,,,,,,,,,,,,,,BB_61,7,,,,,,,,,,,,,,,,
1,15,BB_61,4,,,,,,,,,,,,,,,,,BB_61,8,F,,,,,,,,2022-04-22,,,,2022-05-19,,,
1,16,BB_210,1,,,,,,,,,,,,,,,,,BB_210,5,,,,,,,,,,,,,,,,
1,16,BB_210,2,,,,,,,,,,,,,,,,,BB_210,6,F,,,,,,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,,,,,2022-04-01
1,16,BB_210,3,,,,,,,,,,,,,,,,,BB_210,7,,,,,,,,,,,,,,,2022-04-28,
1,16,BB_210,4,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_210,8,,,,,,,,,,,,,,,,
1,16,BB_166,1,,,,,,,,2022-04-08,,,,,,,,,BB_166,5,F,,,,,2022-03-25,2022-04-01,2022-04-08,2022-04-22,2022-04-28,,2022-05-12,,,,2022-03-25
1,16,BB_166,2,,,,,,,,,,2022-04-28,,,,,,,BB_166,6,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,2022-04-28,
1,16,BB_166,3,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_166,7,,,,,,,,,,,,,,,,
1,16,BB_166,4,,,,,,,,,,,,,,,,,BB_166,8,,,,,,,,,,,,,,,,
1,17,BB_34,1,,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-17,BB_34,5,F,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,2022-04-22,,,,,,,2022-03-17
1,17,BB_34,2,,,,,,,,,,,,,,,,,BB_34,6,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,
1,17,BB_34,3,,,,,,,,,,,,,,,,,BB_34,7,,,,,,,2022-04-01,,,,,,,,2022-04-28,
1,17,BB_34,4,,,,,,2022-03-25,2022-04-01,2022-04-08,,,,,,,,,BB_34,8,,,,,,,,,,,,,,,,
1,17,BB_146,1,,,,,,,,,,,,,,,,,BB_146,5,,,,,,,2022-04-01,,,,,,,,,
1,17,BB_146,2,,,,,2022-03-17,2022-03-25,2022-04-01,2022-04-08,,,,,,,,2022-03-17,BB_146,6,,,,,,,,,,,,,,,,
1,17,BB_146,3,,,,,,,,,,,,,,,,,BB_146,7,F,,,,2022-03-17,2022-03-25,2022-04-01,,,,,,,,,2022-03-17
