"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-05-04,,,,Collection Date: 2023-05-16,,,,Collection Date: 2023-06-01,,,,Collection Date: 2023-06-14,,,,Collection Date: 2023-NA,,,,
Sequence,Transect,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,avg_seeds_per_fruit,est_fecundity,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_closed_fruit_D2,N_open_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_closed_fruit_D3,N_open_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_closed_fruit_D4,N_open_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_closed_fruit_D5,N_open_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
7,1,7L,G1,-,HR_162,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
7,1,7R,G1,-,HR_179,3,1,1,2,2,2,2,4,1,,2,2,,1,,,,,,,,,,,,,,,
8,1,8L,G1,-,HR_196,3,1,0,2,3,1,2,2,1,,2,3,,,,,,,,,,,,,,,,,
8,1,8R,G1,-,HR_005,1,2,1,1,4,3,0.5,1.5,2,,1,4,,1,,,,,,,,,,,,,,,
9,1,9L,G1,-,HR_095,4,3,0,0,8,3,0,0,1,,0,4,2,,0,4,,,,,,,,,,,,,
9,1,9R,G2,X,HR_196,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,1,,,,,,,,,,,
10,1,10L,G1,-,HR_019,5,0,7,0,0,7,#DIV/0!,#DIV/0!,,,,,,,,,,7,,,,,,,,,,,
10,1,10R,G2,X,HR_111,4,2,5,3,5,7,1.5,10.5,2,,3,5,,,,,,5,,,,,,,,,,,
11,1,11L,G1,-,HR_047,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
11,1,11R,G1,-,HR_095,1,1,0,0,2,1,0,0,1,,0,2,,,,,,,,,,,,,,,,,
12,1,12L,G1,-,HR_111,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
12,1,12R,G1,-,HR_042,2,1,2,0,1,3,0,0,1,,0,1,,,,,,2,,,,,,,,,,,
13,1,13L,G2,X,HR_086,4,2,0,5,9,2,2.5,5,,,,,2,,5,9,,,,,,,,,,,,,
13,1,13R,G2,X,HR_111,1,8,1,12,21,9,1.5,13.5,5,,9,15,3,,3,6,,1,,,,,,,,,,,
14,1,14L,G2,X,HR_174,1,1,0,0,2,1,0,0,1,,0,2,,,,,,,,,,,,,,,,,
14,1,14R,G1,-,HR_105,1,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
15,1,15L,G2,X,HR_044,3,3,0,5,6,3,1.666666667,5,1,,2,3,2,,3,3,,,,,,,,,,,,,
15,1,15R,G2,X,HR_107,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
16,1,16L,G1,-,HR_104,1,2,0,0,2,2,0,0,1,,0,0,1,,0,2,,,,,,,,,,,,,
16,1,16R,G2,X,HR_012,4,1,0,0,1,1,0,0,1,,0,1,,,,,,,,,,,,,,,,,
17,1,17L,G2,X,HR_156,3,6,0,8,26,6,1.333333333,8,1,,0,5,5,,8,21,,,,,,,,,,,,,
17,1,17R,G2,X,HR_050,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
18,1,18L,G1,-,HR_071,5,1,0,0,1,1,0,0,,,,,1,,0,1,,,,,,,,,,,,,
18,1,18R,G1,-,HR_137,4,2,1,0,2,3,0,0,,,,,2,1,0,2,,,,,,,,,,,,,
19,1,19L,G2,X,HR_110,5,1,0,0,4,1,0,0,1,,0,4,,,,,,,,,,,,,,,,,
19,1,19R,G1,-,HR_087,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
20,1,20L,G1,-,HR_047,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
20,1,20R,G2,X,HR_070,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
21,1,21L,G1,-,HR_177,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
21,1,21R,G2,X,HR_061,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
22,1,22L,G1,-,HR_047,3,1,0,0,5,1,0,0,1,,0,5,,,,,,,,,,,,,,,,,
22,1,22R,G1,-,HR_058,4,1,0,3,4,1,3,3,1,,3,4,,,,,,,,,,,,,,,,,
23,1,23L,G2,X,HR_169,5,2,0,1,6,2,0.5,1,1,,0,5,1,,1,1,,,,,,,,,,,,,
23,1,23R,G2,X,HR_032,5,3,0,7,9,3,2.333333333,7,1,,6,6,2,,1,3,,,,,,,,,,,,,
24,1,24R,G2,X,HR_121,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
25,1,25L,G2,X,HR_118,5,8,3,7,28,11,0.875,9.625,3,,3,10,5,,4,18,,3,,,,,,,,,,,
25,1,25R,G2,X,HR_020,5,1,0,1,4,1,1,1,,,,,1,,1,4,,,,,,,,,,,,,
26,1,26L,G1,-,HR_135,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
26,1,26R,G2,X,HR_062,2,3,0,0,4,3,0,0,,,,,3,,0,4,,,,,,,,,,,,,
27,1,27L,G1,-,HR_111,5,1,0,1,2,1,1,1,,,,,1,,1,2,,,,,,,,,,,,,
27,1,27R,G1,-,HR_070,2,4,2,1,7,6,0.25,1.5,2,,0,1,2,,1,6,,2,,,,,,,,,,,
28,1,28L,G1,-,HR_183,3,2,0,0,2,2,0,0,1,,0,1,1,,0,1,,,,,,,,,,,,,
28,1,28R,G2,X,HR_028,4,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,,,,,,,,,,
29,1,29L,G1,-,HR_136,1,3,0,1,6,3,0.3333333333,1,1,,0,3,2,,1,3,,,,,,,,,,,,,
29,1,29R,G1,-,HR_131,1,2,0,9,13,2,4.5,9,2,,9,13,,,,,,,,,,,,,,,,,
30,1,30L,G1,-,HR_119,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
30,1,30R,G2,X,HR_072,1,4,2,4,6,6,1,6,1,,0,0,3,,4,6,,2,,,,,,,,,,,
31,1,31L,G2,X,HR_044,4,1,0,2,2,1,2,2,,,,,1,,2,2,,,,,,,,,,,,,
31,1,31R,G2,X,HR_166,1,3,0,4,13,3,1.333333333,4,1,,0,7,2,,4,6,,,,,,,,,,,,,
32,1,32L,G1,-,HR_158,1,1,0,0,3,1,0,0,1,,0,3,,,,,,,,,,,,,,,,,
32,1,32R,G1,-,HR_111,5,3,1,6,11,4,2,8,2,,4,9,1,,2,2,,1,,,,,,,,,,,
33,1,33L,G2,X,HR_179,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
33,1,33R,G1,-,HR_178,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,1,,,,,,,,,,,
34,1,34L,G2,X,HR_137,4,6,0,18,22,6,3,18,3,,8,10,2,,7,9,1,,3,3,,,,,,,,,
34,1,34R,G1,-,HR_068,5,2,0,7,9,2,3.5,7,2,,7,9,,,,,,,,,,,,,,,,,
35,1,35L,G2,X,HR_005,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
35,1,35R,G2,X,HR_127,3,2,3,7,11,5,3.5,17.5,2,,7,11,,3,,,,,,,,,,,,,,,
36,1,36L,G2,X,HR_038,5,2,0,8,8,2,4,8,2,,8,8,,,,,,,,,,,,,,,,,
36,1,36R,G2,X,HR_005,3,1,0,4,5,1,4,4,1,,4,5,,,,,,,,,,,,,,,,,
37,1,37L,G2,X,HR_109,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
37,1,37R,G1,-,HR_147,2,1,0,7,9,1,7,7,1,,7,9,,,,,,,,,,,,,,,,,
38,1,38L,G1,-,HR_197,3,1,1,1,2,2,1,2,1,,1,2,,1,,,,,,,,,,,,,,,
38,1,38R,G2,X,HR_168,1,5,1,8,10,6,1.6,9.6,4,,7,9,1,,1,1,,1,,,,,,,,,,,
39,1,39L,G1,-,HR_156,2,10,2,15,27,12,1.5,18,3,,9,12,7,2,6,15,,,,,,,,,,,,,
39,1,39R,G1,-,HR_158,5,1,1,2,6,2,2,4,1,,2,6,,1,,,,,,,,,,,,,,,
40,1,40L,G1,-,HR_065,3,3,0,9,13,3,3,9,3,,9,13,,,,,,,,,,,,,,,,,
40,1,40R,G1,-,HR_115,3,1,0,0,2,1,0,0,1,,0,2,,,,,,,,,,,,,,,,,
41,1,41R,G1,-,HR_033,2,1,0,2,2,1,2,2,1,,2,2,,,,,,,,,,,,,,,,,
42,1,42L,G2,X,HR_184,4,8,2,8,33,10,1,10,8,,8,33,,2,,,,,,,,,,,,,,,
42,1,42R,G1,-,HR_135,4,7,0,13,15,7,1.857142857,13,3,,9,9,4,,4,6,,,,,,,,,,,,,
43,1,43L,G1,-,HR_178,4,1,0,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,
43,1,43R,G1,-,HR_116,4,1,0,3,3,1,3,3,1,,3,3,,,,,,,,,,,,,,,,,
44,1,44L,G2,X,HR_101,3,2,0,14,14,2,7,14,2,,14,14,,,,,,,,,,,,,,,,,
44,1,44R,G1,-,HR_018,5,3,0,15,16,3,5,15,2,,11,12,1,,4,4,,,,,,,,,,,,,
45,1,45L,G2,X,HR_037,2,1,0,2,2,1,2,2,,,,,1,,2,2,,,,,,,,,,,,,
45,1,45R,G1,-,HR_071,4,5,0,17,23,5,3.4,17,2,,6,10,3,,11,13,,,,,,,,,,,,,
46,2,1L,G1,-,HR_059,3,11,0,15,19,11,1.363636364,15,4,,5,5,7,,10,14,,,,,,,,,,,,,
46,2,1R,G2,X,HR_139,5,14,1,33,49,15,2.357142857,35.35714286,7,,15,23,7,1,18,26,,,,,,,,,,,,,
47,2,2L,G1,-,HR_114,5,2,0,4,8,2,2,4,2,,4,8,,,,,,,,,,,,,,,,,
47,2,2R,G2,X,HR_053,3,1,0,0,2,1,0,0,1,,0,2,,,,,,,,,,,,,,,,,
48,2,3L,G2,X,HR_146,1,12,6,15,66,18,1.25,22.5,4,,5,24,8,3,10,42,,,,,,,,,,3,,,
48,2,3R,G1,-,HR_182,1,12,1,16,54,13,1.333333333,17.33333333,5,,10,32,7,1,6,22,,,,,,,,,,,,,
49,2,4L,G1,-,HR_156,2,5,0,4,14,5,0.8,4,3,,2,10,2,,2,4,,,,,,,,,,,,,
49,2,4R,G2,X,HR_026,3,9,1,20,28,10,2.222222222,22.22222222,3,,14,18,3,,6,10,3,1,0,0,,,,,,,,,
50,2,5L,G2,X,HR_152,2,8,1,14,19,9,1.75,15.75,4,,6,8,4,1,8,11,,,,,,,,,,,,,
50,2,5R,G1,-,HR_009,3,4,1,7,8,5,1.75,8.75,3,,6,7,1,,1,1,,1,,,,,,,,,,,
51,2,6L,G2,X,HR_058,5,4,0,9,9,4,2.25,9,3,,8,8,1,,1,1,,,,,,,,,,,,,
51,2,6R,G2,X,HR_036,4,7,1,5,15,8,0.7142857143,5.714285714,4,,5,11,3,1,0,4,,,,,,,,,,,,,
52,2,7L,G1,-,HR_145,1,3,6,2,4,9,0.6666666667,6,2,,2,2,1,,0,2,,6,,,,,,,,,,,
52,2,7R,G2,X,HR_126,4,3,3,2,12,6,0.6666666667,4,1,,1,7,2,,1,5,,3,,,,,,,,,,,
53,2,8L,G2,X,HR_049,2,3,1,6,8,4,2,8,3,,6,8,,,,,,1,,,,,,,,,,,
53,2,8R,G1,-,HR_155,3,6,2,6,23,8,1,8,3,,2,16,3,,4,7,,2,,,,,,,,,,,
54,2,9L,G1,-,HR_169,4,5,3,4,14,8,0.8,6.4,3,,3,11,2,,1,3,,3,,,,,,,,,,,
54,2,9R,G2,X,HR_179,3,3,0,3,3,3,1,3,3,,3,3,,,,,,,,,,,,,,,,,
55,2,10L,G1,-,HR_007,3,5,2,16,19,7,3.2,22.4,1,,0,0,4,2,16,19,,,,,,,,,,,,,
55,2,10R,G1,-,HR_153,2,5,6,14,22,11,2.8,30.8,4,,10,18,1,,4,4,,6,,,,,,,,,,,
56,2,11L,G2,X,HR_007,5,2,0,3,12,2,1.5,3,2,,3,12,,,,,,,,,,,,,,,,,
56,2,11R,G1,-,HR_036,5,4,0,2,8,4,0.5,2,4,,2,8,,,,,,,,,,,,,,,,,
57,2,12L,G1,-,HR_001,3,1,0,1,1,1,1,1,1,,1,1,,,,,,,,,,,,,,,,,
57,2,12R,G1,-,HR_168,1,1,0,3,3,1,3,3,1,,3,3,,,,,,,,,,,,,,,,,
58,2,13L,G2,X,HR_034,1,1,0,0,2,1,0,0,1,,0,2,,,,,,,,,,,,,,,,,
58,2,13R,G2,X,HR_088,3,2,0,2,2,2,1,2,2,,2,2,,,,,,,,,,,,,,,,,
59,2,14L,G1,-,HR_108,5,5,2,3,6,7,0.6,4.2,4,,1,4,1,,2,2,,2,,,,,,,,,,,
59,2,14R,G1,-,HR_035,4,4,4,5,6,8,1.25,10,,,,,3,2,5,5,1,2,0,1,,,,,,,,,
60,2,15L,G1,-,HR_105,2,5,1,15,20,6,3,18,3,,15,20,,,,,2,1,0,0,,,,,,,,,
60,2,15R,G2,X,HR_104,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,1,,,,,,,,,,,
61,2,16L,G1,-,HR_026,1,1,2,2,2,3,2,6,1,,2,2,,1,,,,1,,,,,,,,,,,
61,2,16R,G2,X,HR_019,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
62,2,17L,G2,X,HR_028,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
62,2,17R,G2,X,HR_168,4,1,1,4,4,2,4,8,1,,4,4,,1,,,,,,,,,,,,,,,
63,2,18L,G1,-,HR_103,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
63,2,18R,G2,X,HR_068,4,2,1,2,8,3,1,3,1,,1,4,1,,1,4,,,,,,1,,,,,,,(lost only viable seed 5/16)
64,2,19L,G1,-,HR_021,3,2,0,0,5,2,0,0,2,,0,5,,,,,,,,,,,,,,,,,
64,2,19R,G1,-,HR_195,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
65,2,20L,G1,-,HR_175,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
65,2,20R,G2,X,HR_067,3,2,1,7,17,3,3.5,10.5,2,,7,17,,1,,,,,,,,,,,,,,,
66,2,21L,G2,X,HR_145,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,1,,,,,,,
66,2,21R,G2,X,HR_040,3,1,0,2,4,1,2,2,1,,2,4,,,,,,,,,,,,,,,,,
67,2,22L,G2,X,HR_068,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
67,2,22R,G1,-,HR_153,5,5,0,16,21,5,3.2,16,3,,12,16,2,,4,5,,,,,,,,,,,,,
68,2,23L,G1,-,HR_044,5,3,0,6,13,3,2,6,3,,6,13,,,,,,,,,,,,,,,,,
68,2,23R,G2,X,HR_149,1,1,0,0,0,1,0,0,1,,0,0,,,,,,,,,,,,,,,,,
69,2,24L,G1,-,HR_010,3,3,6,10,12,9,3.333333333,30,,,,,3,,10,12,,6,,,,,,,,,,,
69,2,24R,G2,X,HR_015,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
70,2,25L,G2,X,HR_065,4,6,0,4,12,6,0.6666666667,4,2,,2,3,4,,2,9,,,,,,,,,,,,,
70,2,25R,G1,-,HR_174,5,13,1,7,17,14,0.5384615385,7.538461538,1,,1,1,9,1,3,10,3,,3,6,,,,,,,,,
71,2,26L,G1,-,HR_065,2,3,0,2,14,3,0.6666666667,2,1,,0,7,2,,2,7,,,,,,,,,,,,,
71,2,26R,G1,-,HR_175,1,2,0,2,5,2,1,2,2,,2,5,,,,,,,,,,,,,,,,,
72,2,27L,G2,X,HR_036,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
72,2,27R,G1,-,HR_037,3,4,0,0,6,4,0,0,2,,0,5,2,,0,1,,,,,,,,,,,,,
73,2,28L,G1,-,HR_169,1,1,0,0,1,1,0,0,,,,,1,,0,1,,,,,,,,,,,,,
73,2,28R,G2,X,HR_182,1,1,1,0,0,2,0,0,,,,,1,,0,0,,,,,,1,,,,,,,
74,2,29L,G2,X,HR_054,5,4,0,1,6,4,0.25,1,1,,0,2,3,,1,4,,,,,,,,,,,,,
74,2,29R,G1,-,HR_195,5,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,3,,,,,,,
75,2,30L,G1,-,HR_017,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
75,2,30R,G2,X,HR_073,4,3,2,2,8,5,0.6666666667,3.333333333,2,,1,7,1,,1,1,,,,,,2,,,,,,,
76,2,31L,G1,-,HR_107,5,2,0,1,3,2,0.5,1,1,,1,3,1,,0,0,,,,,,,,,,,,,
76,2,31R,G1,-,HR_145,2,3,0,0,14,3,0,0,3,,0,14,,,,,,,,,,,,,,,,,
77,2,32L,G2,X,HR_182,1,2,1,1,2,3,0.5,1.5,1,,0,0,,,,,1,1,1,2,,,,,,,,,
77,2,32R,G1,-,HR_146,1,2,1,3,7,3,1.5,4.5,1,,0,3,1,,3,4,,1,,,,,,,,,,,
78,2,33L,G2,X,HR_033,2,1,1,0,2,2,0,0,1,,0,2,,,,,,1,,,,,,,,,,,
78,2,33R,G1,-,HR_073,2,12,1,16,32,13,1.333333333,17.33333333,5,,7,19,6,,8,12,1,1,1,1,,,,,,,,,
79,2,34L,G1,-,HR_071,1,3,6,2,7,9,0.6666666667,6,1,,0,3,2,,2,4,,6,,,,,,,,,,,
79,2,34R,G1,-,HR_043,3,3,0,2,3,3,0.6666666667,2,3,,2,3,,,,,,,,,,,,,,,,,
80,2,35L,G2,X,HR_165,2,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
80,2,35R,G2,X,HR_062,2,5,1,6,11,6,1.2,7.2,3,,3,7,2,1,3,4,,,,,,,,,,,,,
81,2,36L,G2,X,HR_176,5,2,0,6,8,2,3,6,2,,6,8,,,,,,,,,,,,,,,,,
81,2,36R,G1,-,HR_092,1,1,0,0,2,1,0,0,1,,0,2,,,,,,,,,,,,,,,,,
82,2,37L,G1,-,HR_193,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
82,2,37R,G2,X,HR_195,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
83,2,38L,G1,-,HR_166,2,2,0,3,5,2,1.5,3,2,,3,5,,,,,,,,,,,,,,,,,
83,2,38R,G2,X,HR_173,1,1,0,1,3,1,1,1,1,,1,3,,,,,,,,,,,,,,,,,
84,2,39L,G1,-,HR_152,4,5,0,19,30,5,3.8,19,5,,19,30,,,,,,,,,,,,,,,,,
84,2,39R,G2,X,HR_142,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
85,2,40L,G1,-,HR_115,4,2,1,5,6,3,2.5,7.5,2,1,5,6,,,,,,,,,,,,,,,,,
85,2,40R,G2,X,HR_058,2,4,2,15,23,6,3.75,22.5,4,,15,23,,2,,,,,,,,,,,,,,,
86,2,41L,G2,X,HR_023,4,2,0,4,7,2,2,4,2,,4,7,,,,,,,,,,,,,,,,,
86,2,41R,G2,X,HR_192,5,8,1,46,74,9,5.75,51.75,8,,46,74,,1,,,,,,,,,,,,,,,
87,2,42L,G2,X,HR_067,4,1,0,2,5,1,2,2,1,,2,5,,,,,,,,,,,,,,,,,
87,2,42R,G1,-,HR_133,4,13,0,33,59,13,2.538461538,33,7,,22,37,6,,11,22,,,,,,,,,,,,,
88,2,43L,G1,-,HR_067,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
88,2,43R,G1,-,HR_038,4,22,1,90,129,23,4.090909091,94.09090909,8,,47,71,14,1,43,58,,,,,,,,,,,,,
89,2,44L,G1,-,HR_101,1,1,0,0,0,1,0,0,1,,0,0,,,,,,,,,,,,,,,,,
89,2,44R,G1,-,HR_079,2,3,1,5,7,4,1.666666667,6.666666667,3,,5,7,,1,,,,,,,,,,,,,,,
90,2,45L,G2,X,HR_175,1,5,0,14,20,5,2.8,14,3,,12,17,2,,2,3,,,,,,,,,,,,,
90,2,45R,G1,-,HR_121,3,3,1,5,8,4,1.666666667,6.666666667,3,,5,8,,1,,,,,,,,,,,,,,,
91,3,1L,G1,-,HR_088,1,1,1,2,2,2,2,4,1,,2,2,,1,,,,,,,,,,,,,,,
91,3,1R,G2,X,HR_012,1,4,2,9,12,6,2.25,13.5,3,,9,10,1,2,0,2,,,,,,,,,,,,,
92,3,2L,G1,-,HR_193,1,3,4,5,6,7,1.666666667,11.66666667,1,,4,4,2,4,1,2,,,,,,,,,,,,,
92,3,2R,G1,-,HR_011,1,4,4,11,16,8,2.75,22,1,1,6,6,3,2,5,10,,1,,,,,,,,,,,
93,3,3L,G1,-,HR_112,2,2,3,3,4,5,1.5,7.5,2,,3,4,,3,,,,,,,,,,,,,,,
93,3,3R,G1,-,HR_056,1,3,1,3,6,4,1,4,,,,,3,1,3,6,,,,,,,,,,,,,
94,3,4L,G2,X,HR_018,2,4,0,22,24,4,5.5,22,3,,18,19,1,,4,5,,,,,,,,,,,,,
94,3,4R,G2,X,HR_020,3,1,2,1,7,3,1,3,1,,1,7,,2,,,,,,,,,,,,,,,
95,3,5L,G2,X,HR_149,4,1,0,1,2,1,1,1,,,,,1,,1,2,,,,,,,,,,,,,
95,3,5R,G1,-,HR_150,3,2,4,3,4,6,1.5,9,,,,,2,3,3,4,,,,,,1,,,,,,,
96,3,6L,G2,X,HR_134,2,3,2,2,4,5,0.6666666667,3.333333333,,,,,3,2,2,4,,,,,,,,,,,,,
96,3,6R,G2,X,HR_165,5,4,0,10,13,4,2.5,10,4,,10,13,,,,,,,,,,,,,,,,,
97,3,7L,G2,X,HR_026,1,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
98,3,8L,G1,-,HR_067,5,1,3,5,6,4,5,20,1,,5,6,,1,,,,2,,,,,,,,,,,
98,3,8R,G1,-,HR_67B,5,1,2,4,5,3,4,12,1,,4,5,,2,,,,,,,,,,,,,,,
99,3,9L,G2,X,HR_193,4,1,0,4,4,1,4,4,1,,4,4,,,,,,,,,,,,,,,,,
99,3,9R,G1,-,HR_123,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,1,,,,,,,,,,,,,,,,,,,
100,3,10L,G2,X,HR_006,5,2,1,7,13,3,3.5,10.5,1,,3,9,1,,4,4,,1,,,,,,,,,,,
100,3,10R,G2,X,HR_066,3,2,3,8,11,5,4,20,2,,8,11,,3,,,,,,,,,,,,,,,
101,3,11L,G2,X,HR_046,4,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,3,,,,,,,,,,,,,,,
101,3,11R,G2,X,HR_164,3,3,5,15,19,8,5,40,2,1,11,14,1,4,4,5,,,,,,,,,,,,,
102,3,12L,G1,-,HR_170,5,11,3,48,56,14,4.363636364,61.09090909,4,,12,15,7,,36,41,,3,,,,,,,,,,,
102,3,12R,G2,X,HR_158,2,21,7,112,169,28,5.333333333,149.3333333,7,,45,73,14,3,67,96,,4,,,,,,,,,,,
103,3,13L,G2,X,HR_193,5,6,1,10,20,7,1.666666667,11.66666667,1,,2,7,5,1,8,13,,,,,,,,,,,,,(envleope says 5/17 instead of 5/16)
103,3,13R,G2,X,HR_156,5,7,2,30,35,9,4.285714286,38.57142857,,,,,7,2,30,35,,,,,,,,,,,,,
104,3,14L,G1,-,HR_049,1,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
104,3,14R,G2,X,HR_065,5,2,0,4,4,2,2,4,,,,,2,,4,4,,,,,,,,,,,,,
105,3,15R,G2,X,HR_145,4,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
