"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,TOTAL COUNTS (To be summed after all data entered),,,The average of the weekly mean seed mass,Collection Date: 2023-03-30,,,,,Collection Date: 2023-04-12,,,,,Collection Date: 2023-04-26,,,,,Collection Date: 2023-05-10,,,,,Collection Date: 2023-05-24,,,,,Collection Date: 2023-06-07,,,,,Collection Date: 2023-06-21,,,,,Collection Date: NA,,,,,Notes:
Location,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-03-30,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-04-12,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-04-26,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-10,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-24,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-07,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-21,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA,
23,67L,G1,-,BB_019,4,,,,1.888,,,,,,,,,,,,,,,,,,,,,7,47,30,56.64,1.888,,,,,,,,,,,,,,,,
23,67R,G2,X,BB_206,1,,,,4.110151515,,,,,,,,,,,,,,,,1,6,6,14.47,2.411666667,5,22,22,127.79,5.808636364,,,,,,,,,,,,,,,,
23,68L,G1,-,BB_061,3,,,,4.3275,,,,,,,,,,,,,,,,1,2,2,5.85,2.925,5,7,7,40.11,5.73,,,,,,,,,,,,,,,,
23,68R,G1,-,BB_105,3,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
23,69L,G1,-,BB_076,2,,,,3.483212121,,,,,,,,,,,1,2,2,2.07,1.035,1,6,,,,5,38,30,143.73,4.791,2,11,11,50.86,4.623636364,,,,,,,,,,,
23,69R,G2,X,BB_078,1,,,,3.622233974,,,,,,,,,,,1,5,5,10.81,2.162,3,24,24,52.1,2.170833333,32,72,30,178.06,5.935333333,6,13,13,54.87,4.220769231,,,,,,,,,,,
24,70L,G1,-,BB_017,4,,,,3.490681818,,,,,,,,,,,,,,,,3,11,11,46.82,4.256363636,5,14,14,38.15,2.725,,,,,,,,,,,,,,,,
24,70R,G2,X,BB_171,2,,,,5.134166667,,,,,,,,,,,1,2,2,10.63,5.315,,,,,,1,3,3,14.86,4.953333333,,,,,,,,,,,,,,,,
24,71L,G2,X,BB_109,5,,,,2.175,,,,,,,,,,,,,,,,1,2,2,4.35,2.175,,,,,,,,,,,,,,,,,,,,,
24,71R,G1,-,BB_199,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,72L,G1,-,BB_084,2,,,,4.151428571,,,,,,,,,,,,,,,,,,,,,6,7,7,29.06,4.151428571,,,,,,,,,,,,,,,,
24,72R,G1,-,BB_214,2,,,,3.240422078,,,,,,,,,,,1,7,7,12.94,1.848571429,,,,,,4,22,22,101.91,4.632272727,,,,,,,,,,,,,,,,
25,73L,G1,-,BB_172,4,,,,2.324615385,,,,,,,,,,,,,,,,,,,,,2,13,13,30.22,2.324615385,,,,,,,,,,,,,,,,
25,73R,G2,X,BB_121,2,,,,2.830085227,,,,,,1,0,0,,,,,,,,2,16,16,58.49,3.655625,3,11,11,22.05,2.004545455,,,,,,,,,,,,,,,,
25,74L,G1,-,BB_002,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,74R,G2,X,BB_153,3,,,,1.3275,,,,,,,,,,,3,4,4,5.31,1.3275,,,,,,,,,,,,,,,,,,,,,,,,,,
25,75L,G1,-,BB_153,3,,,,2.738,,,,,,,,,,,,,,,,3,5,5,12.51,2.502,26,114,30,89.22,2.974,,,,,,,,,,,,,,,,
25,75R,G2,X,BB_098,3,,,,3.172333333,,,,,,2,0,0,,,3,0,0,,,,,,,,14,55,30,95.17,3.172333333,,,,,,,,,,,,,,,,
26,76L,G2,X,BB_017,5,,,,2.443333333,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,7.33,2.443333333,,,,,,,,,,,
26,76R,G1,-,BB_072,5,,,,2.420666667,,,,,,,,,,,,,,,,,,,,,6,31,30,72.62,2.420666667,,,,,,,,,,,,,,,,
26,77L,G2,X,BB_189,2,,,,2.9155,,,,,,,,,,,,,,,,5,30,30,100.14,3.338,2,10,10,24.93,2.493,,,,,,,,,,,,,,,,
27,79L,G1,-,BB_126,1,,,,2.98375,,,,,,,,,,,,,,,,,,,,,2,8,8,23.87,2.98375,,,,,,,,,,,,,,,,
27,79R,G1,-,BB_149,5,,,,5.874833333,,,,,,,,,,,,,,,,,,,,,7,56,30,113.09,3.769666667,1,4,4,31.92,7.98,,,,,,,,,,,
27,80L,G1,-,BB_163,5,,,,5.553333333,,,,,,,,,,,,,,,,,,,,,8,15,15,83.3,5.553333333,,,,,,,,,,,,,,,,
27,80R,G1,-,BB_013,5,,,,3.438125,,,,,,,,,,,,,,,,4,8,8,21.37,2.67125,1,2,2,8.41,4.205,,,,,,,,,,,,,,,,
27,81L,G1,-,BB_095,4,,,,5.386666667,,,,,,,,,,,,,,,,,,,,,3,12,12,64.64,5.386666667,,,,,,,,,,,,,,,,
27,81R,G2,X,BB_020,2,,,,2.005,,,,,,,,,,,,,,,,,,,,,1,2,2,4.01,2.005,,,,,,,,,,,,,,,,
28,82L,G1,-,BB_008,1,,,,4.088421053,,,,,,,,,,,,,,,,,,,,,7,19,19,77.68,4.088421053,,,,,,,,,,,,,,,,
