"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,The average of the weekly mean seed mass,Collection Date: 2023-05-12,,,,,Collection Date: 2023-05-26,,,,,Collection Date: 2023-06-08,,,,,Collection Date: 2023-06-22,,,,,Collection Date: NA,,,,
Sequence,Transect,Segment,Gen,Sym,Recipient,Fit_plant,Mean seed mass_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-12,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-05-26,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-08,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg 2023-06-22,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,Mean seed mass_mg NA
6,1,6R,G1,-,AC_123,2,1.325357143,,,,,,7,7,7,10.89,1.555714286,6,26,26,28.47,1.095,,,,,,,,,,
7,1,7L,G1,-,AC_030,1,1.125454545,,,,,,6,11,11,12.38,1.125454545,,,,,,,,,,,,,,,
7,1,7R,G2,X,AC_151,1,2.572166667,,,,,,4,10,10,25.65,2.565,6,15,15,38.69,2.579333333,,,,,,,,,,
8,1,8L,G2,X,AC_147,1,1.386666667,,,,,,9,21,21,29.12,1.386666667,,,,,,,,,,,,,,,
8,1,8R,G1,-,AC_147,2,1.609625,,,,,,6,8,8,14.29,1.78625,2,10,10,14.33,1.433,,,,,,,,,,
9,1,9L,G1,-,AC_086,3,2.18,,,,,,4,5,5,10.9,2.18,,,,,,,,,,,,,,,
9,1,9R,G1,-,AC_089,3,2.3025,,,,,,3,4,4,5.86,1.465,1,1,1,3.14,3.14,,,,,,,,,,
10,1,10L,G2,X,AC_212,4,3.12375,,,,,,5,4,4,11.51,2.8775,4,2,2,6.74,3.37,,,,,,,,,,
11,1,11L,G1,-,AC_179,3,2.008333333,,,,,,5,12,12,19.4,1.616666667,1,1,1,2.4,2.4,,,,,,,,,,
11,1,11R,G2,X,AC_192,1,1.595555556,,,,,,2,9,9,14.36,1.595555556,1,1,,,,,,,,,,,,,
12,1,12L,G2,X,AC_107,2,2.465,,,,,,2,2,2,4.86,2.43,1,1,1,2.5,2.5,,,,,,,,,,
12,1,12R,G2,X,AC_188,2,1.881772727,,,,,,7,22,22,30.57,1.389545455,4,5,5,11.87,2.374,,,,,,,,,,
13,1,13L,G1,-,AC_068,3,2.113030303,,,,,,4,3,3,7.6,2.533333333,3,11,11,18.62,1.692727273,,,,,,,,,,
13,1,13R,G2,X,AC_195,5,1.6227,,,,,,7,25,25,37.01,1.4804,7,34,30,52.95,1.765,,,,,,,,,,
14,1,14R,G1,-,AC_034,1,2.83,,,,,,1,0,0,0,,1,1,1,2.83,2.83,,,,,,,,,,
15,1,15L,G2,X,AC_094,2,1.373333333,,,,,,,,,,,5,15,15,20.6,1.373333333,,,,,,,,,,
15,1,15R,G2,X,AC_107,4,1.633666667,,,,,,6,38,30,46.31,1.543666667,9,36,30,48.42,1.614,2,9,9,15.69,1.743333333,,,,,
16,1,16L,G2,X,AC_199,3,1.258181818,,,,,,4,11,11,13.84,1.258181818,,,,,,,,,,,,,,,
17,1,17R,G2,X,AC_066,2,1.688181818,,,,,,4,11,11,17.34,1.576363636,1,1,1,1.8,1.8,,,,,,,,,,
18,1,18L,G1,-,AC_081,3,1.892,,,,,,,,,,,2,5,5,9.46,1.892,,,,,,,,,,
18,1,18R,G1,-,AC_153,1,3.2585,,,,,,2,5,5,13.01,2.602,1,2,2,7.83,3.915,,,,,,,,,,
19,1,19L,G2,X,AC_155,1,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,19R,G1,-,AC_119,3,1.8475,,,,,,1,2,2,3.43,1.715,1,1,1,1.98,1.98,,,,,,,,,,
20,1,20L,G2,X,AC_213,3,2.01,,,,,,1,1,1,2.01,2.01,,,,,,,,,,,,,,,
20,1,20R,G1,-,AC_178,3,1.430833333,,,,,,2,14,14,15.61,1.115,2,3,3,5.24,1.746666667,,,,,,,,,,
21,1,21L,G1,-,AC_188,4,1.389761905,,,,,,2,7,7,7.16,1.022857143,1,3,3,5.27,1.756666667,,,,,,,,,,
21,1,21R,G2,X,AC_011,4,1.24,,,,,,2,2,2,2.48,1.24,,,,,,,,,,,,,,,
22,1,22L,G1,-,AC_133,1,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,22R,G2,X,AC_062,1,1.128333333,,,,,,1,1,1,1.23,1.23,1,3,3,3.08,1.026666667,,,,,,,,,,
23,1,23L,G2,X,AC_130,5,,,,,,,1,0,0,0,,,,, ,,,,,,,,,,,
23,1,23R,G2,X,AC_005,3,1.646583333,,,,,,3,4,4,5.57,1.3925,4,15,15,28.51,1.900666667,,,,,,,,,,
24,1,24L,G1,-,AC_218,3,2.463333333,,,,,,2,3,3,7.39,2.463333333,,,,,,,,,,,,,,,
24,1,24R,G1,-,AC_178,5,1.062424242,,,,,,4,22,22,23.28,1.058181818,3,21,21,22.4,1.066666667,,,,,,,,,,
25,1,25L,G1,-,AC_107,5,2.128571429,,,,,,5,21,21,44.7,2.128571429,,,,,,,,,,,,,,,
25,1,25R,G1,-,AC_154,3,1.786041667,,,,,,3,8,8,12.35,1.54375,2,6,6,12.17,2.028333333,,,,,,,,,,
26,1,26L,G1,-,AC_086,2,1.301428571,,,,,,3,7,7,9.11,1.301428571,,,,,,,,,,,,,,,
26,1,26R,G2,X,AC_118,5,1.379090909,,,,,,3,11,11,15.17,1.379090909,,,,,,,,,,,,,,,
27,1,27L,G2,X,AC_015,2,2.935,,,,,,1,2,2,5.87,2.935,,,,,,,,,,,,,,,
27,1,27R,G2,X,AC_201,1,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,28L,G1,-,AC_189,2,1.678333333,,,,,,2,9,9,8.43,0.936666667,1,2,2,4.84,2.42,,,,,,,,,,
29,1,29L,G1,-,AC_123,5,2.48,,,,,,2,1,1,2.48,2.48,,,,,,,,,,,,,,,
29,1,29R,G1,-,AC_208,4,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,30L,G1,-,AC_119,5,5.19,,,,,,2,2,2,10.38,5.19,,,,,,,,,,,,,,,
31,1,31L,G2,X,AC_040,5,2.06,,,,,,2,1,1,2.06,2.06,1,0,0,,,,,,,,,,,,
32,1,32R,G2,X,AC_113,4,1.286,,,,,,2,5,5,6.43,1.286,,,,,,,,,,,,,,,
33,1,33L,G2,X,AC_083,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
33,1,33R,G1,-,AC_148,3,1.59,,,,,,1,4,4,6.36,1.59,,,,,,,,,,,,,,,
34,1,34R,G2,X,AC_181,2,1.874333333,,,,,,13,40,30,56.23,1.874333333,,,,,,,,,,,,,,,
35,1,35L,G2,X,AC_136,5,1.33,,,,,,1,2,2,2.66,1.33,,,,,,,,,,,,,,,
35,1,35R,G1,-,AC_113,3,2.638571429,,,,,,4,7,7,18.47,2.638571429,,,,,,,,,,,,,,,
36,1,36L,G2,X,AC_115,4,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2,1L,G2,X,AC_005,4,1.72,,,,,,2,0,0,,,3,1,1,1.72,1.72,,,,,,,,,,
37,2,1R,G1,-,AC_054,3,1.92375,,,,,,5,4,4,6.58,1.645,1,0,0,,,1,4,4,8.81,2.2025,,,,,
38,2,2L,G2,X,AC_206,5,1.49,,,,,,1,3,3,4.47,1.49,,,,,,,,,,,,,,,
38,2,2R,G2,X,AC_011,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
39,2,3L,G2,X,AC_111,5,0.889545455,,,,,,3,11,11,11.21,1.019090909,1,5,5,3.8,0.76,,,,,,,,,,
39,2,3R,G1,-,AC_203,5,,,,,,,,,,,,,,,,,,,,,,,,,,
40,2,4L,G2,X,AC_119,4,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
40,2,4R,G2,X,AC_082,1,1.099047619,,,,,,5,21,21,23.08,1.099047619,1,0,0,,,1,0,0,,,,,,,
41,2,5L,G2,X,AC_118,3,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
41,2,5R,G1,-,AC_216,3,2.055,,,,,,13,32,30,42.1,1.403333333,2,3,3,8.12,2.706666667,,,,,,,,,,
42,2,6L,G1,-,AC_131,1,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
42,2,6R,G2,X,AC_086,3,1.396666667,,,,,,6,3,3,4.19,1.396666667,,,,,,,,,,,,,,,
43,2,7L,G1,-,AC_205,1,1.831,,,,,,4,10,10,18.31,1.831,,,,,,,,,,,,,,,
43,2,7R,G2,X,AC_062,4,2.037666667,,,,,,14,53,30,54.42,1.814,5,35,30,72.07,2.402333333,3,3,3,5.69,1.896666667,,,,,
44,2,8L,G1,-,AC_205,5,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2,8R,G1,-,AC_118,4,1.033461538,,,,,,6,26,26,26.87,1.033461538,,,,,,,,,,,,,,,
45,2,9L,G1,-,AC_144,1,1.11875,,,,,,4,26,26,26.91,1.035,1,4,4,4.81,1.2025,,,,,,,,,,
45,2,9R,G1,-,AC_088,5,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
46,2,10L,G1,-,AC_030,2,1.06,,,,,,4,5,5,5.3,1.06,,,,,,,,,,,,,,,
46,2,10R,G2,X,AC_040,4,4.6825,,,,,,3,2,2,12,6,2,2,2,6.73,3.365,,,,,,,,,,
47,2,11L,G1,-,AC_051,5,2.83,,,,,,4,1,1,2.83,2.83,,,,,,,,,,,,,,,
47,2,11R,G1,-,AC_090,2,1.5475,,,,,,6,4,4,6.19,1.5475,,,,,,,,,,,,,,,
48,2,12L,G2,X,AC_038,3,2.26,,,,,,2,3,3,6.78,2.26,,,,,,,,,,,,,,,
48,2,12R,G2,X,AC_193,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
49,2,13L,G2,X,AC_168,1,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2,13R,G1,-,AC_089,1,1.812142857,,,,,,5,14,14,20.53,1.466428571,1,1,1,1.41,1.41,1,1,1,2.56,2.56,,,,,
50,2,14L,G2,X,AC_190,4,1.784666667,,,,,,6,40,30,53.54,1.784666667,,,,,,,,,,,,,,,
50,2,14R,G2,X,AC_016,5,1.285,,,,,,1,2,2,2.57,1.285,,,,,,,,,,,,,,,
51,2,15L,G2,X,AC_010,3,5.3,,,,,,,,,,,1,1,1,5.3,5.3,,,,,,,,,,
51,2,15R,G1,-,AC_054,1,1.68875,,,,,,4,8,8,13.51,1.68875,,,,,,,,,,,,,,,
52,2,16R,G2,X,AC_144,2,2.252727273,,,,,,2,11,11,24.78,2.252727273,,,,,,,,,,,,,,,
53,2,17L,G2,X,AC_075,5,1,,,,,,6,33,30,30,1,,,,,,,,,,,,,,,
53,2,17R,G1,-,AC_120,2,2.840641026,,,,,,3,13,13,19.07,1.466923077,1,2,2,5.97,2.985,1,1,1,4.07,4.07,,,,,
54,2,18L,G2,X,AC_066,2,2.59,,,,,,4,2,2,5.01,2.505,1,2,2,5.35,2.675,,,,,,,,,,
54,2,18R,G1,-,AC_075,4,1.8975,,,,,,5,8,8,16.38,2.0475,2,4,4,8.96,2.24,1,2,2,2.81,1.405,,,,,
55,2,19L,G1,-,AC_056,3,1.51625,,,,,,2,3,3,4.02,1.34,2,4,4,6.77,1.6925,,,,,,,,,,
55,2,19R,G2,X,AC_217,4,3.322777778,,,,,,4,18,18,44.43,2.468333333,1,2,2,6.5,3.25,1,1,1,4.25,4.25,,,,,
56,2,20L,G1,-,AC_086,5,1.4471875,,,,,,2,16,16,13.19,0.824375,1,1,1,2.07,2.07,,,,,,,,,,
56,2,20R,G1,-,AC_072,4,1.434166667,,,,,,14,24,24,34.42,1.434166667,,,,,,,,,,,,,,,
57,2,21L,G1,-,AC_181,1,0.975,,,,,,1,2,2,1.95,0.975,,,,,,,,,,,,,,,
57,2,21R,G2,X,AC_131,5,1.106428571,,,,,,2,14,14,15.49,1.106428571,1,0,0,,,,,,,,,,,,
58,2,22L,G1,-,AC_032,3,1.998055556,,,,,,4,18,18,32.69,1.816111111,1,3,3,6.54,2.18,,,,,,,,,,
58,2,22R,G1,-,AC_109,2,1.584130435,,,,,,6,23,23,31.24,1.35826087,1,1,1,1.81,1.81,,,,,,,,,,
59,2,23L,G1,-,AC_055,3,1.826,,,,,,2,5,5,9.13,1.826,,,,,,,,,,,,,,,
59,2,23R,G1,-,AC_154,1,1.93125,,,,,,3,8,8,15.45,1.93125,,,,,,,,,,,,,,,
60,2,24L,G2,X,AC_128,5,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2,25L,G1,-,AC_154,4,1.784464286,,,,,,6,28,28,41.55,1.483928571,1,4,4,8.34,2.085,,,,,,,,,,
61,2,25R,G1,-,AC_122,1,1.798823529,,,,,,5,17,17,30.58,1.798823529,,,,,,,,,,,,,,,
62,2,26L,G1,-,AC_133,3,1.456666667,,,,,,2,6,6,8.74,1.456666667,,,,,,,,,,,,,,,
62,2,26R,G1,-,AC_197,4,2.3190625,,,,,,5,16,16,31.97,1.998125,1,4,4,10.56,2.64,,,,,,,,,,
63,2,27L,G2,X,AC_058,4,1.091928571,,,,,,4,20,20,22.82,1.141,2,7,7,7.3,1.042857143,,,,,,,,,,
63,2,27R,G1,-,AC_014,5,1.97,,,,,,3,3,3,5.91,1.97,,,,,,,,,,,,,,,
64,2,28L,G2,X,AC_054,5,1.21,,,,,,1,1,1,1.21,1.21,,,,,,,,,,,,,,,
64,2,28R,G2,X,AC_133,2,1.709166667,,,,,,3,12,12,20.51,1.709166667,,,,,,,,,,,,,,,
65,2,29L,G1,-,AC_107,2,2.231666667,,,,,,6,3,3,7.3,2.433333333,1,2,2,4.06,2.03,,,,,,,,,,
65,2,29R,G2,X,AC_046,3,1.130714286,,,,,,3,14,14,23.96,1.711428571,2,4,4,2.2,0.55,,,,,,,,,,
66,2,30L,G1,-,AC_088,3,2.31,,,,,,2,4,4,9.24,2.31,,,,,,,,,,,,,,,
66,2,30R,G2,X,AC_114,2,2.025,,,,,,1,4,4,8.1,2.025,,,,,,,,,,,,,,,
67,2,31L,G2,X,AC_200,2,0.612,,,,,,2,5,5,3.06,0.612,,,,,,,,,,,,,,,
67,2,31R,G2,X,AC_203,5,1.950526316,,,,,,4,19,19,37.06,1.950526316,,,,,,,,,,,,,,,
68,2,32L,G2,X,AC_074,4,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2,32R,G1,-,AC_046,3,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2,33L,G1,-,AC_187,4,1.2685,,,,,,3,20,20,25.37,1.2685,,,,,,,,,,,,,,,
69,2,33R,G1,-,AC_182,2,1.0225,,,,,,3,4,4,4.09,1.0225,,,,,,,,,,,,,,,
70,2,34L,G2,X,AC_095,5,2.45,,,,,,2,1,1,2.45,2.45,,,,,,,,,,,,,,,
70,2,34R,G2,X,AC_092,2,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
71,2,35L,G2,X,AC_205,4,2.2780625,,,,,,10,16,16,34.21,2.138125,6,15,15,36.27,2.418,,,,,,,,,,
72,2,36L,G1,-,AC_158,2,2.548571429,,,,,,3,7,7,17.84,2.548571429,,,,,,,,,,,,,,,
72,2,36R,G2,X,AC_048,4,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3,1L,G1,-,AC_052,3,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
73,3,1R,G2,X,AC_113,2,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3,2L,G1,-,AC_215,1,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3,2R,G1,-,AC_038,3,1.697619048,,,,,,4,3,3,4.37,1.456666667,2,7,7,13.57,1.938571429,,,,,,,,,,
75,3,3L,G2,X,AC_089,3,1.139090909,,,,,,3,11,11,12.53,1.139090909,,,,,,,,,,,,,,,
75,3,3R,G1,-,AC_190,2,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
76,3,4L,G2,X,AC_197,2,1.59,,,,,,4,7,7,11.13,1.59,,,,,,,,,,,,,,,
76,3,4R,G1,-,AC_057,1,4.13,,,,,,2,1,1,4.13,4.13,,,,,,,,,,,,,,,
77,3,5L,G2,X,AC_197,1,1.897,,,,,,4,10,10,18.97,1.897,,,,,,,,,,,,,,,
78,3,6L,G1,-,AC_082,4,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3,6R,G2,X,AC_096,2,0.947727273,,,,,,6,22,22,20.85,0.947727273,,,,,,,,,,,,,,,
79,3,7L,G1,-,AC_099,5,0.8325,,,,,,2,12,12,9.99,0.8325,,,,,,,,,,,,,,,
79,3,7R,G2,X,AC_154,3,1.653363636,,,,,,5,15,15,27.51,1.834,4,11,11,16.2,1.472727273,,,,,,,,,,
80,3,8L,G1,-,AC_010,1,4.03,,,,,,1,1,1,3.67,3.67,2,2,2,8.78,4.39,,,,,,,,,,
80,3,8R,G2,X,AC_181,3,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
81,3,9L,G1,-,AC_005,1,1.11,,,,,,4,1,1,1.11,1.11,,,,,,,,,,,,,,,
81,3,9R,G1,-,AC_187,1,1.556,,,,,,4,5,5,7.78,1.556,,,,,,,,,,,,,,,
82,3,10L,G1,-,AC_094,3,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
82,3,10R,G2,X,AC_190,4,0.585263158,,,,,,6,19,19,11.12,0.585263158,,,,,,,,,,,,,,,
83,3,11L,G2,X,AC_148,2,1.92,,,,,,1,1,1,1.92,1.92,,,,,,,,,,,,,,,
83,3,11R,G1,-,AC_096,1,1.656666667,,,,,,3,3,3,4.97,1.656666667,,,,,,,,,,,,,,,
84,3,12L,G2,X,AC_068,5,2.320769231,,,,,,7,13,13,30.17,2.320769231,,,,,,,,,,,,,,,
84,3,12R,G1,-,AC_057,4,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
85,3,13L,G2,X,AC_064,5,1.804,,,,,,8,10,10,18.04,1.804,,,,,,,,,,,,,,,
85,3,13R,G2,X,AC_100,3,1.61,,,,,,6,8,8,10.7,1.3375,2,4,4,7.53,1.8825,,,,,,,,,,
86,3,14L,G2,X,AC_075,3,1.467894737,,,,,,7,19,19,27.89,1.467894737,,,,,,,,,,,,,,,
86,3,14R,G2,X,AC_185,2,1.647142857,,,,,,5,7,7,11.53,1.647142857,,,,,,,,,,,,,,,
87,3,15R,G2,X,AC_088,1,2.426493506,,,,,,7,11,11,25.27,2.297272727,4,7,7,17.89,2.555714286,,,,,,,,,,
88,3,16L,G2,X,AC_114,3,1.148571429,,,,,,3,7,7,8.04,1.148571429,,,,,,,,,,,,,,,
88,3,16R,G1,-,AC_144,5,2.265,,,,,,,,,,,2,2,2,4.53,2.265,,,,,,,,,,
89,3,17L,G1,-,AC_122,2,2.683333333,,,,,,1,3,3,8.05,2.683333333,,,,,,,,,,,,,,,
89,3,17R,G1,-,AC_159,3,1.77375,,,,,,6,9,9,15.57,1.73,3,4,4,7.27,1.8175,,,,,,,,,,
90,3,18L,G2,X,AC_068,5,2.1,,,,,,4,7,7,14.7,2.1,1,0,0,,,,,,,,,,,,
90,3,18R,G1,-,AC_064,4,1.948666667,,,,,,8,31,30,58.46,1.948666667,,,,,,,,,,,,,,,
91,3,19L,G1,-,AC_215,2,1.81,,,,,,6,12,12,21.72,1.81,,,,,,,,,,,,,,,
91,3,19R,G2,X,AC_099,5,1.134545455,,,,,,4,11,11,12.48,1.134545455,,,,,,,,,,,,,,,
92,3,20L,G1,-,AC_016,5,1.13,,,,,,2,1,1,1.13,1.13,,,,,,,,,,,,,,,
92,3,20R,G1,-,AC_038,4,1.9,,,,,,2,3,3,5.70,1.9,,,,,,,,,,,,,,,
93,3,21L,G1,-,AC_215,2,2.113333333,,,,,,7,12,12,17.8,1.483333333,2,3,3,8.23,2.743333333,,,,,,,,,,
93,3,21R,G1,-,AC_199,5,0.705882353,,,,,,4,17,17,12,0.705882353,,,,,,,,,,,,,,,
94,3,22L,G2,X,AC_206,1,,,,,,,,,,,,,,,,,,,,,,,,,,
94,3,22R,G1,-,AC_190,1,2.029130435,,,,,,5,23,23,46.67,2.029130435,1,0,0,,,,,,,,,,,,
95,3,23L,G2,X,AC_038,4,2.01,,,,,,,,,,,3,1,1,2.01,2.01,,,,,,,,,,
95,3,23R,G1,-,AC_199,1,3.75,,,,,,1,1,1,3.75,3.75,,,,,,,,,,,,,,,
96,3,24L,G1,-,AC_032,5,1.11,,,,,,1,1,1,1.11,1.11,,,,,,,,,,,,,,,
96,3,24R,G1,-,AC_211,5,,,,,,,,,,,,,,,,,,,,,,,,,,
97,3,25L,G1,-,AC_181,5,1.603333333,,,,,,2,3,3,4.81,1.603333333,,,,,,,,,,,,,,,
97,3,25R,G1,-,AC_186,4,1.88875,,,,,,4,2,8,15.11,1.88875,,,,,,,,,,,,,,,
98,3,26L,G1,-,AC_046,4,,,,,,,,,,,,,,,,,,,,,,,,,,
98,3,26R,G1,-,AC_016,4,,,,,,,,,,,,,,,,,,,,,,,,,,
99,3,27L,G1,-,AC_136,2,,,,,,,,,,,,,,,,,,,,,,,,,,
99,3,27R,G2,X,AC_179,5,3.3,,,,,,2,1,1,3.3,3.3,,,,,,,,,,,,,,,
100,3,28L,G2,X,AC_081,2,,,,,,,,,,,,,,,,,,,,,,,,,,
101,3,29L,G1,-,AC_191,2,,,,,,,,,,,,,,,,,,,,,,,,,,
101,3,29R,G2,X,AC_213,2,1.52,,,,,,1,2,2,3.04,1.52,,,,,,,,,,,,,,,
102,3,30L,G2,X,AC_144,5,3.34,,,,,,2,2,2,6.68,3.34,,,,,,,,,,,,,,,
102,3,30R,G2,X,AC_154,3,1.7,,,,,,5,11,11,18.7,1.7,,,,,,,,,,,,,,,
103,3,31L,G2,X,AC_015,2,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
103,3,31R,G2,X,AC_171,3,1.619166667,,,,,,2,2,2,3.56,1.78,2,6,6,8.75,1.458333333,,,,,,,,,,
104,3,32L,G1,-,AC_051,5,,,,,,,,,,,,,,,,,,,,,,,,,,
104,3,32R,G1,-,AC_197,4,1.37,,,,,,1,2,2,2.74,1.37,,,,,,,,,,,,,,,
105,3,33L,G2,X,AC_058,5,,,,,,,1,0,0,,,,,,,,,,,,,,,,,
105,3,33R,G1,-,AC_111,4,,,,,,,,,,,,,,,,,,,,,,,,,,
106,3,34R,G1,-,AC_190,5,,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,35L,G2,X,AC_034,3,,,,,,,,,,,,,,,,,,,,,,,,,,
107,3,35R,G2,X,AC_074,4,1.697692308,,,,,,3,13,13,22.07,1.697692308,,,,,,,,,,,,,,,
108,4,1L,G2,X,AC_111,3,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
108,4,1R,G2,X,AC_187,4,,,,,,,3,0,0,,,,,,,,,,,,,,,,,
109,4,2L,G2,X,AC_046,3,,,,,,,,,,,,,,,,,,,,,,,,,,
109,4,2R,G1,-,AC_096,3,1.699871795,,,,,,6,9,9,12.66,1.406666667,3,13,13,25.91,1.993076923,,,,,,,,,,
110,4,3L,G2,X,AC_055,5,,,,,,,,,,,,,,,,,,,,,,,,,,
110,4,3R,G1,-,AC_011,2,1.073214286,,,,,,6,2,2,2.37,1.185,2,7,7,6.73,0.961428571,,,,,,,,,,
111,4,4L,G1,-,AC_104,5,,,,,,,2,0,0,,,,,,,,,,,,,,,,,
111,4,4R,G2,X,AC_107,1,1.682555556,,,,,,10,49,30,45.23,1.507666667,1,2,2,3.52,1.76,1,4,4,7.12,1.78,,,,,
112,4,5L,G2,X,AC_178,4,1.13,,,,,,3,2,2,2.26,1.13,,,,,,,,,,,,,,,
112,4,5R,G1,-,AC_201,2,1.543333333,,,,,,10,9,9,13.89,1.543333333,,,,,,,,,,,,,,,
113,4,6L,G1,-,AC_179,4,2.4125,,,,,,5,5,5,11.5,2.3,1,4,4,10.1,2.525,,,,,,,,,,
113,4,6R,G2,X,AC_109,1,1.915877193,,,,,,6,19,19,21.06,1.108421053,1,3,3,8.17,2.723333333,,,,,,,,,,
114,4,7L,G2,X,AC_014,4,1.318,,,,,,6,5,5,6.59,1.318,1,0,0,,,,,,,,,,,,
114,4,7R,G1,-,AC_136,2,2.3925,,,,,,6,2,2,5.54,2.77,,,,,,1,2,2,4.03,2.015,,,,,
115,4,8L,G1,-,AC_168,2,1.46,,,,,,1,2,2,2.92,1.46,,,,,,,,,,,,,,,
