"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-03-30,,,,Collection Date: 2023-04-12,,,,Collection Date: 2023-04-26,,,,Collection Date: 2023-05-10,,,,Collection Date: 2023-05-24,,,,Collection Date: 2023-06-07,,,,Collection Date: 2023-06-21,,,,Collection Date: NA,,,,Notes:
11,31R,G1,-,BB_063,3,9,2,22,64,11,2.444444444,26.88888889,,,,,4,,0,38,,,,,1,1,16,16,4,1,6,10,,,,,,,,,,,,,4/12 very immature
11,32L,G1,-,BB_192,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,32R,G1,-,BB_004,5,13,2,28,64,15,2.153846154,32.30769231,,,,,,,,,,,,,,,,,11,2,25,56,2,,3,8,,,,,,,,,
11,33L,G1,-,BB_088,2,15,29,80,108,44,5.333333333,234.6666667,,,,,,,,,,,,,4,5,22,43,6,16,46,50,5,8,12,15,,,,,,,,,
11,33R,G1,-,BB_045,1,4,3,33,36,7,8.25,57.75,,,,,,,,,,,,,,,,,4,,33,36,,3,,,,,,,,,,,
12,34L,G2,X,BB_058,2,15,10,106,123,25,7.066666667,176.6666667,,,,,,,,,,,,,1,,11,11,12,3,82,98,,,,,2,7,13,14,,,,,
12,34R,G1,-,BB_172,5,19,2,111,130,21,5.842105263,122.6842105,,,,,,,,,,,,,6,,45,61,11,,56,59,2,1,10,10,,1,,,,,,,
12,35L,G1,-,BB_103,3,3,6,17,17,9,5.666666667,51,,,,,,,,,,,,,,,,,,,,,2,,11,11,1,6,6,6,,,,,
12,35R,G1,-,BB_183,4,1,0,7,8,1,7,7,,,,,,,,,,,,,1,,7,8,,,,,,,,,,,,,,,,,
12,36L,G2,X,BB_009,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,36R,G2,X,BB_148,5,7,4,43,46,11,6.142857143,67.57142857,,,,,,,,,,,,,,,,,,,,,7,4,43,46,,,,,,,,,
13,37L,G1,-,BB_032,2,13,8,51,78,21,3.923076923,82.38461538,,,,,,,,,,,,,1,1,3,3,9,2,42,62,3,1,6,13,,4,,,,,,,
13,37R,G1,-,BB_024,1,22,3,87,108,25,3.954545455,98.86363636,,,,,,,,,,,,,1,,5,5,9,,33,46,12,3,49,57,,,,,,,,,
13,38L,G1,-,BB_089,1,6,1,14,16,7,2.333333333,16.33333333,,,,,,,,,,,,,1,,2,2,5,,12,14,,1,,,,,,,,,,,
13,38R,G1,-,BB_018,3,18,1,99,109,19,5.5,104.5,,,,,,,,,,,,,3,,18,22,15,,81,87,,1,,,,,,,,,,,
13,39L,G1,-,BB_102,4,24,0,199,253,24,8.291666667,199,,,,,2,,0,5,2,,0,27,,,,,19,,190,211,1,,9,10,,,,,,,,,
13,39R,G1,-,BB_179,2,16,1,94,106,17,5.875,99.875,,,,,,,,,,,,,6,,42,52,10,1,52,54,,,,,,,,,,,,,
14,40L,G1,-,BB_048,2,19,3,20,29,22,1.052631579,23.15789474,,,,,,,,,2,,1,3,1,,2,2,4,1,9,10,4,,5,5,8,2,3,9,,,,,
14,40R,G1,-,BB_078,2,2,0,0,8,2,0,0,,,,,2,,0,8,,,,,,,,,,,,,,,,,,,,,,,,,
14,41L,G2,X,BB_200,2,60,10,301,434,70,5.016666667,351.1666667,,,,,,,,,,,,,3,,22,25,30,1,185,265,26,8,93,141,1,1,1,3,,,,,
14,41R,G1,-,BB_207,1,5,0,15,29,5,3,15,,,,,,,,,,,,,2,,9,14,1,,4,5,2,,2,10,,,,,,,,,
14,42L,G1,-,BB_121,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,42R,G1,-,BB_009,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,43L,G1,-,BB_189,3,9,0,58,62,9,6.444444444,58,,,,,,,,,,,,,2,,14,18,5,,36,36,2,,8,8,,,,,,,,,
15,43R,G1,-,BB_101,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,44L,G1,-,BB_154,4,8,6,24,35,14,3,42,,,,,,1,,,,,,,3,,7,18,4,3,15,15,1,,2,2,,2,,,,,,,
15,44R,G1,-,BB_200,1,6,0,20,20,6,3.333333333,20,,,,,,,,,,,,,1,,4,4,5,,16,16,,,,,,,,,,,,,
15,45L,G2,X,BB_157,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45R,G2,X,BB_103,2,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,
16,46L,G1,-,BB_071,1,7,1,36,38,8,5.142857143,41.14285714,,,,,,,,,2,,7,8,1,,8,9,4,1,21,21,,,,,,,,,,,,,
16,46R,G1,-,BB_117,3,20,6,63,84,26,3.15,81.9,,,,,,,,,9,,27,48,3,,16,16,8,4,20,20,,2,,,,,,,,,,,
16,47L,G1,-,BB_093,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,47R,G1,-,BB_123,4,13,2,55,73,15,4.230769231,63.46153846,,,,,,,,,3,,2,17,,,,,6,2,37,39,4,,16,17,,,,,,,,,
16,48L,G1,-,BB_119,5,15,1,37,44,16,2.466666667,39.46666667,,,,,,,,,4,,8,11,1,,4,6,8,1,21,23,2,,4,4,,,,,,,,,
16,48R,G1,-,BB_064,5,2,0,0,2,2,0,0,,,,,,,,,,,,,1,,0,2,,,,,1,,0,0,,,,,,,,,
17,49L,G1,-,BB_205A,4,9,4,93,97,13,10.33333333,134.3333333,,,,,,,,,3,,36,38,1,,10,11,5,2,47,48,,2,,,,,,,,,,,
17,49R,G2,X,BB_076,2,4,0,5,9,4,1.25,5,,,,,,,,,,,,,,,,,4,,5,9,,,,,,,,,,,,,
17,50L,G1,-,BB_151,4,7,0,6,40,7,0.8571428571,6,,,,,4,,0,31,3,,6,9,,,,,,,,,,,,,,,,,,,,,
17,50R,G2,X,BB_120,1,3,4,6,7,7,2,14,,,,,,,,,1,,0,0,1,,0,1,1,4,6,6,,,,,,,,,,,,,
17,51L,G1,-,BB_052,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,51R,G1,-,BB_159,2,11,0,29,47,11,2.636363636,29,,,,,,,,,2,,3,7,2,,5,12,7,,21,28,,,,,,,,,,,,,
18,52L,G1,-,BB_171,3,1,1,1,1,2,1,2,,,,,,,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,
18,52R,G1,-,BB_031,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,53L,G1,-,BB_118,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,53R,G2,X,BB_037,3,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,54L,G2,X,BB_145,4,2,4,4,9,6,2,12,,,,,,,,,,,,,1,,0,1,1,1,4,8,,3,,,,,,,,,,,
18,54R,G1,-,BB_074,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,55L,G1,-,BB_097,3,1,1,4,5,2,4,8,,,,,,,,1,,,1,1,,1,,,1,,3,3,,,,,,,,,,,,,
19,55R,G2,X,BB_018,4,38,5,104,144,43,2.736842105,117.6842105,,,,,,,,,,,,,,,,,37,4,101,140,1,1,3,4,,,,,,,,,
19,56L,G1,-,BB_079,3,2,0,6,6,2,3,6,,,,,,,,,,,,,,,,,1,,2,2,1,,4,4,,,,,,,,,
20,58L,G1,-,BB_104,3,15,0,89,100,15,5.933333333,89,,,,,,,,,,,,,,,,,9,,50,59,6,,39,41,,,,,,,,,
20,58R,G1,-,BB_185,4,9,6,36,52,15,4,60,,,,,2,,0,5,3,,19,24,2,5,9,13,2,1,8,10,,,,,,,,,,,,,
20,59L,G2,X,BB_018,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,59R,G1,-,BB_051,3,11,0,41,44,11,3.727272727,41,,,,,,,,,,,,,3,,11,14,5,,22,22,3,,8,8,,,,,,,,,
20,60L,G2,X,BB_046,2,4,1,5,8,5,1.25,6.25,,,,,,,,,,,,,,,,,4,1,5,8,,,,,,,,,,,,,
20,60R,G1,-,BB_003,2,17,0,89,89,17,5.235294118,89,,,,,,,,,,,,,,,,,9,,53,53,8,,36,36,,,,,,,,,
21,61L,G2,X,BB_153,5,4,3,8,9,7,2,14,,,,,,,,,,,,,,,,,2,1,4,4,2,2,4,5,,,,,,,,,
21,61R,G2,X,BB_114,1,11,0,42,45,11,3.818181818,42,,,,,,,,,,,,,,,,,4,,15,18,7,,27,27,,,,,,,,,
21,62L,G1,-,BB_043,5,59,15,368,433,74,6.237288136,461.559322,,,,,2,,0,0,2,2,0,16,,,,,46,7,337,383,9,6,31,34,,,,,,,,,"5/24 lost 1 seed, added to count"
21,62R,G2,X,BB_093,4,34,8,217,222,42,6.382352941,268.0588235,,,,,,,,,,,,,,,,,34,8,217,222,,,,,,,,,,,,,
21,63R,G1,-,BB_121,1,26,5,123,161,31,4.730769231,146.6538462,,,,,,,,,2,,12,21,,,,,12,1,85,102,12,4,26,38,,,,,,,,,
22,64L,G2,X,BB_076,2,29,10,133,137,39,4.586206897,178.862069,,,,,,,,,,,,,,,,,24,2,118,122,2,,10,10,3,8,5,5,,,,,
22,65R,G1,-,BB_147,3,15,0,74,88,15,4.933333333,74,,,,,2,,13,18,2,,0,6,,,,,9,,56,58,2,,5,6,,,,,,,,,
22,66L,G2,X,BB_160,2,9,0,32,40,9,3.555555556,32,,,,,,,,,1,,0,3,2,,13,13,6,,19,24,,,,,,,,,,,,,
22,66R,G1,-,BB_035,5,2,0,8,9,2,4,8,,,,,,,,,,,,,,,,,2,,8,9,,,,,,,,,,,,,
23,67L,G1,-,BB_019,4,7,3,47,47,10,6.714285714,67.14285714,,,,,,,,,,,,,,,,,7,3,47,47,,,,,,,,,,,,,
23,67R,G2,X,BB_206,1,6,0,28,30,6,4.666666667,28,,,,,,,,,,,,,1,,6,6,5,,22,24,,,,,,,,,,,,,
23,68L,G1,-,BB_061,3,6,0,9,9,6,1.5,9,,,,,,,,,,,,,1,,2,2,5,,7,7,,,,,,,,,,,,,
23,68R,G1,-,BB_105,3,1,1,0,15,2,0,0,,,,,,1,,,,,,,1,,0,15,,,,,,,,,,,,,,,,,
23,69L,G1,-,BB_076,2,9,1,56,64,10,6.222222222,62.22222222,,,,,,,,,1,,2,10,1,,6,6,5,,38,38,2,1,10,10,,,,,,,,,
23,69R,G2,X,BB_078,1,42,7,114,194,49,2.714285714,133,,,,,,,,,1,,5,5,3,,24,32,32,1,72,144,6,6,13,13,,,,,,,,,
24,70L,G1,-,BB_017,4,8,0,25,26,8,3.125,25,,,,,,,,,,,,,3,,11,11,5,,14,15,,,,,,,,,,,,,
24,70R,G2,X,BB_171,2,2,0,5,5,2,2.5,5,,,,,,,,,1,,2,2,,,,,1,,3,3,,,,,,,,,,,,,
24,71L,G2,X,BB_109,5,1,0,2,2,1,2,2,,,,,,,,,,,,,1,,2,2,,,,,,,,,,,,,,,,,
24,71R,G1,-,BB_199,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,72L,G1,-,BB_084,2,6,0,7,16,6,1.166666667,7,,,,,,,,,,,,,,,,,6,,7,16,,,,,,,,,,,,,
24,72R,G1,-,BB_214,2,5,0,29,33,5,5.8,29,,,,,,,,,1,,7,9,,,,,4,,22,24,,,,,,,,,,,,,
25,73L,G1,-,BB_172,4,2,1,13,13,3,6.5,19.5,,,,,,,,,,,,,,,,,2,1,13,13,,,,,,,,,,,,,
25,73R,G2,X,BB_121,2,6,3,27,27,9,4.5,40.5,,,,,1,,0,0,,,,,2,,16,16,3,,11,11,,3,,,,,,,,,,,
25,74L,G1,-,BB_002,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,74R,G2,X,BB_153,3,3,2,4,12,5,1.333333333,6.666666667,,,,,,,,,3,,4,12,,,,,,,,,,2,,,,,,,,,,,
25,75L,G1,-,BB_153,3,29,0,119,131,29,4.103448276,119,,,,,,,,,,,,,3,,5,14,26,,114,117,,,,,,,,,,,,,
25,75R,G2,X,BB_098,3,19,0,55,65,19,2.894736842,55,,,,,2,,0,0,3,,0,0,,,,,14,,55,65,,,,,,,,,,,,,
26,76L,G2,X,BB_017,5,1,0,3,3,1,3,3,,,,,,,,,,,,,,,,,,,,,1,,3,3,,,,,,,,,
26,76R,G1,-,BB_072,5,6,0,31,31,6,5.166666667,31,,,,,,,,,,,,,,,,,6,,31,31,,,,,,,,,,,,,
26,77L,G2,X,BB_189,2,7,0,40,40,7,5.714285714,40,,,,,,,,,,,,,5,,30,30,2,,10,10,,,,,,,,,,,,,
27,79L,G1,-,BB_126,1,2,2,8,8,4,4,16,,,,,,,,,,,,,,,,,2,2,8,8,,,,,,,,,,,,,
27,79R,G1,-,BB_149,5,8,1,60,60,9,7.5,67.5,,,,,,,,,,,,,,,,,7,,56,56,1,1,4,4,,,,,,,,,
27,80L,G1,-,BB_163,5,8,1,15,16,9,1.875,16.875,,,,,,,,,,,,,,,,,8,1,15,16,,,,,,,,,,,,,
27,80R,G1,-,BB_013,5,5,11,10,18,16,2,32,,,,,,,,,,,,,4,,8,16,1,11,2,2,,,,,,,,,,,,,
27,81L,G1,-,BB_095,4,3,0,12,12,3,4,12,,,,,,,,,,,,,,,,,3,,12,12,,,,,,,,,,,,,
27,81R,G2,X,BB_020,2,1,1,2,3,2,2,4,,,,,,,,,,,,,,,,,1,1,2,3,,,,,,,,,,,,,
28,82L,G1,-,BB_008,1,7,2,19,30,9,2.714285714,24.42857143,,,,,,,,,,,,,,,,,7,2,19,30,,,,,,,,,,,,,
28,82R,G2,X,BB_059,4,13,8,62,74,21,4.769230769,100.1538462,,,,,,,,,,,,,,,,,13,8,62,74,,,,,,,,,,,,,
28,83L,G1,-,BB_080,2,6,1,4,6,7,0.6666666667,4.666666667,,,,,,,,,,,,,1,,1,2,5,1,3,4,,,,,,,,,,,,,
28,83R,G1,-,BB_185,1,15,1,27,43,16,1.8,28.8,,,,,,,,,,,,,2,,3,7,10,,16,24,3,1,8,12,,,,,,,,,
28,84L,G1,-,BB_021,3,21,8,146,156,29,6.952380952,201.6190476,,,,,,,,,,,,,,,,,19,3,139,149,2,5,7,7,,,,,,,,,
28,84R,G1,-,BB_152,4,5,1,13,13,6,2.6,15.6,,,,,,,,,,,,,,,,,3,,9,9,2,1,4,4,,,,,,,,,
29,85L,G2,X,BB_104,2,31,0,157,202,31,5.064516129,157,,,,,9,,45,59,,,,,5,,23,39,17,,89,104,,,,,,,,,,,,,
29,86L,G1,-,BB_216,5,8,0,54,64,8,6.75,54,,,,,1,,0,0,2,,8,18,1,,10,10,4,,36,36,,,,,,,,,,,,,
29,86R,G2,X,BB_190,3,8,0,20,21,8,2.5,20,,,,,,,,,,,,,,,,,5,,15,15,3,,5,6,,,,,,,,,
29,87L,G1,-,BB_060,5,46,2,218,235,48,4.739130435,227.4782609,,,,,,,,,6,,12,24,,,,,40,2,206,211,,,,,,,,,,,,,
29,87R,G1,-,BB_052,1,70,11,197,203,81,2.814285714,227.9571429,,,,,,,,,9,,24,28,3,,6,6,58,10,167,169,,,,,,,,,,1,,,
30,88L,G1,-,BB_127,5,4,0,17,20,4,4.25,17,,,,,,,,,,,,,,,,,2,,13,15,2,,4,5,,,,,,,,,
30,90L,G1,-,BB_074,2,41,4,216,231,45,5.268292683,237.0731707,,,,,1,,0,0,,,,,4,,28,34,17,,117,124,19,4,71,73,,,,,,,,,
30,90R,G1,-,BB_084,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,91L,G1,-,BB_020,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,91R,G1,-,BB_094,2,6,4,7,9,10,1.166666667,11.66666667,,,,,,,,,,,,,4,0,7,8,2,0,0,1,,4,,,,,,,,,,,
31,92L,G2,X,BB_019,3,5,1,47,55,6,9.4,56.4,,,,,,,,,2,,27,34,,,,,3,1,20,21,,,,,,,,,,,,,
31,92R,G2,X,BB_145,2,1,2,10,10,3,10,30,,,,,,,,,,,,,1,,10,10,,,,,,,,,,,,,,2,,,
31,93R,G2,X,BB_138,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,94L,G2,X,BB_039,1,6,6,23,38,12,3.833333333,46,,,,,,,,,,,,,3,3,16,21,3,3,7,17,,,,,,,,,,,,,
32,94R,G1,-,BB_119,2,4,0,14,14,4,3.5,14,,,,,,,,,,,,,4,,14,14,,,,,,,,,,,,,,,,,
32,95R,G1,-,BB_151,3,5,0,37,37,5,7.4,37,,,,,,,,,,,,,3,,28,28,2,,9,9,,,,,,,,,,,,,
32,96L,G1,-,BB_044,4,1,0,4,4,1,4,4,,,,,,,,,,,,,,,,,,,,,1,,4,4,,,,,,,,,
32,96R,G2,X,BB_207,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,97L,G1,-,BB_078,3,1,0,0,0,1,0,0,,,,,,,,,,,,,1,,0,0,,,,,,,,,,,,,,,,,
33,97R,G1,-,BB_163,4,7,0,5,9,7,0.7142857143,5,,,,,,,,,1,,0,2,5,,4,6,1,,1,1,,,,,,,,,,,,,
33,98R,G1,-,BB_192,5,5,0,24,34,5,4.8,24,,,,,,,,,,,,,,,,,5,,24,34,,,,,,,,,,,,,
34,100L,G1,-,BB_049,5,2,0,2,7,2,1,2,,,,,,,,,,,,,2,,2,7,,,,,,,,,,,,,,,,,
34,100R,G2,X,BB_135,2,10,0,41,45,10,4.1,41,,,,,,,,,,,,,3,,11,13,4,,24,24,3,,6,8,,,,,,,,,
34,101L,G1,-,BB_004,4,6,0,21,23,6,3.5,21,,,,,,,,,,,,,3,,7,9,3,,14,14,,,,,,,,,,,,,
34,101R,G2,X,BB_210,2,12,1,33,35,13,2.75,35.75,,,,,,1,,,,,,,9,,30,32,3,,3,3,,,,,,,,,,,,,
34,102L,G1,-,BB_037,2,2,4,7,7,6,3.5,21,,,,,,,,,,,,,,,,,2,,7,7,,2,,,,,,,,2,,,
34,102R,G1,-,BB_201,1,1,1,3,3,2,3,6,,,,,,,,,,,,,1,,3,3,,,,,,,,,,1,,,,,,,
