"Any count-specific notes should be left as COMMENTS or detailed thoroughly in the NOTES column at the end. Be sure to double-check the row, collection date, and fruit/seed type as you're entering data",,,,,,,TOTAL COUNTS (To be summed after all data entered),,,,,Derived,,Collection Date: 2023-05-12,,,,Collection Date: 2023-05-26,,,,Collection Date: 2023-06-08,,,,Collection Date: 2023-06-22,,,,Collection Date: N/A,,,,
Sequence,Transect,Seg,Gen,Sym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,total_seeds,total_fruits,avg_seeds_per_fruit,est_fecundity,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_closed_fruit_D2,N_open_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_closed_fruit_D3,N_open_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_closed_fruit_D4,N_open_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_closed_fruit_D5,N_open_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
6,1,6L,G2,X,AC_094,3,8,7,12,37,15,1.5,22.5,,,,,5,1,12,27,3,6,0,10,,,,,,,,,
6,1,6R,G1,-,AC_123,2,13,1,33,56,14,2.538461538,35.53846154,,,,,7,1,7,23,6,,26,33,,,,,,,,,
7,1,7L,G1,-,AC_030,1,6,1,11,15,7,1.833333333,12.83333333,,,,,6,,11,15,,1,,,,,,,,,,,
7,1,7R,G2,X,AC_151,1,10,2,25,28,12,2.5,30,,,,,4,,10,10,6,,15,18,,2,,,,,,,
8,1,8L,G2,X,AC_147,1,9,2,21,42,11,2.333333333,25.66666667,,,,,9,1,21,42,,1,,,,,,,,,,,
8,1,8R,G1,-,AC_147,2,8,2,18,49,10,2.25,22.5,,,,,6,2,8,37,2,,10,12,,,,,,,,,
9,1,9L,G1,-,AC_086,3,4,1,5,9,5,1.25,6.25,,,,,4,1,5,9,,,,,,,,,,,,,
9,1,9R,G1,-,AC_089,3,4,0,5,7,4,1.25,5,,,,,3,,4,6,1,,1,1,,,,,,,,,
10,1,10L,G2,X,AC_212,4,9,1,6,8,10,0.6666666667,6.666666667,,,,,5,1,4,5,4,,2,3,,,,,,,,,
11,1,11L,G1,-,AC_179,3,6,0,13,17,6,2.166666667,13,,,,,5,,12,16,1,,1,1,,,,,,,,,
11,1,11R,G2,X,AC_192,1,3,1,9,10,4,3,12,,,,,2,,8,9,1,1,1,1,,,,,,,,,
12,1,12L,G2,X,AC_107,2,3,1,3,4,4,1,4,,,,,2,1,2,3,1,,1,1,,,,,,,,,
12,1,12R,G2,X,AC_188,2,11,0,27,48,11,2.454545455,27,,,,,7,,22,43,4,,5,5,,,,,,,,,
13,1,13L,G1,-,AC_068,3,7,1,14,31,8,2,16,,,,,4,,3,16,3,1,11,15,,,,,,,,,
13,1,13R,G2,X,AC_195,5,14,1,59,66,15,4.214285714,63.21428571,,,,,7,1,25,28,7,,34,38,,,,,,,,,
14,1,14R,G1,-,AC_034,1,2,0,1,3,2,0.5,1,,,,,1,,0,2,1,,1,1,,,,,,,,,
15,1,15L,G2,X,AC_094,2,5,0,15,16,5,3,15,,,,,,,,,5,,15,16,,,,,,,,,
15,1,15R,G2,X,AC_107,4,17,3,83,111,20,4.882352941,97.64705882,,,,,6,,38,44,9,,36,57,2,3,9,10,,,,,
16,1,16L,G2,X,AC_199,3,4,0,11,14,4,2.75,11,,,,,4,,11,14,,,,,,,,,,,,,
17,1,17R,G2,X,AC_066,2,5,0,12,15,5,2.4,12,,,,,4,,11,11,1,,1,4,,,,,,,,,
18,1,18L,G1,-,AC_081,3,2,0,5,5,2,2.5,5,,,,,,,,,2,,5,5,,,,,,,,,
18,1,18R,G1,-,AC_153,1,3,0,7,7,3,2.333333333,7,,,,,2,,5,5,1,,2,2,,,,,,,,,
19,1,19L,G2,X,AC_155,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
19,1,19R,G1,-,AC_119,3,2,0,3,3,2,1.5,3,,,,,1,,2,2,1,,1,1,,,,,,,,,
20,1,20L,G2,X,AC_213,3,1,0,1,1,1,1,1,,,,,1,,1,1,,,,,,,,,,,,,
20,1,20R,G1,-,AC_178,3,4,0,17,18,4,4.25,17,,,,,2,,14,15,2,,3,3,,,,,,,,,
21,1,21L,G1,-,AC_188,4,3,0,10,10,3,3.333333333,10,,,,,2,,7,7,1,,3,3,,,,,,,,,
21,1,21R,G2,X,AC_011,4,2,0,2,2,2,1,2,,,,,2,,2,2,,,,,,,,,,,,,
22,1,22L,G1,-,AC_133,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
22,1,22R,G2,X,AC_062,1,2,3,4,10,5,2,10,,,,,1,,1,6,1,,3,4,,3,,,,,,,
23,1,23L,G2,X,AC_130,5,1,3,0,1,4,0,0,,,,,1,,0,1,,3,,,,,,,,,,,
23,1,23R,G2,X,AC_005,3,7,0,19,20,7,2.714285714,19,,,,,3,,4,5,4,,15,15,,,,,,,,,
24,1,24L,G1,-,AC_218,3,2,0,3,3,2,1.5,3,,,,,2,,3,3,,,,,,,,,,,,,
24,1,24R,G1,-,AC_178,5,7,0,43,60,7,6.142857143,43,,,,,4,,22,34,3,,21,26,,,,,,,,,
25,1,25L,G1,-,AC_107,5,5,1,21,22,6,4.2,25.2,,,,,5,1,21,22,,,,,,,,,,,,,
25,1,25R,G1,-,AC_154,3,5,2,14,19,7,2.8,19.6,,,,,3,2,8,9,2,,6,10,,,,,,,,,
26,1,26L,G1,-,AC_086,2,3,0,7,17,3,2.333333333,7,,,,,3,,7,17,,,,,,,,,,,,,
26,1,26R,G2,X,AC_118,5,3,0,11,12,3,3.666666667,11,,,,,3,,11,12,,,,,,,,,,,,,
27,1,27L,G2,X,AC_015,2,1,0,2,2,1,2,2,,,,,1,,2,2,,,,,,,,,,,,,
27,1,27R,G2,X,AC_201,1,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,2,,,,,,,
28,1,28L,G1,-,AC_189,2,3,0,11,15,3,3.666666667,11,,,,,2,,9,11,1,,2,4,,,,,,,,,
29,1,29L,G1,-,AC_123,5,2,2,1,2,4,0.5,2,,,,,2,2,1,2,,,,,,,,,,,,,
29,1,29R,G1,-,AC_208,4,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,,,,,,,,,,
30,1,30L,G1,-,AC_119,5,2,0,2,2,2,1,2,,,,,2,,2,2,,,,,,,,,,,,,
31,1,31L,G2,X,AC_040,5,3,1,1,4,4,0.3333333333,1.333333333,,,,,2,1,1,4,1,,0,0,,,,,,,,,
32,1,32R,G2,X,AC_113,4,2,1,5,6,3,2.5,7.5,,,,,2,1,5,6,,,,,,,,,,,,,
33,1,33L,G2,X,AC_083,5,1,6,0,3,7,0,0,,,,,1,4,0,3,,2,,,,,,,,,,,
33,1,33R,G1,-,AC_148,3,1,1,4,4,2,4,8,,,,,1,1,4,4,,,,,,,,,,,,,
34,1,34R,G2,X,AC_181,2,13,6,30,54,19,2.307692308,43.84615385,,,,,13,4,30,54,,2,,,,,,,,,,,
35,1,35L,G2,X,AC_136,5,1,2,2,2,3,2,6,,,,,1,2,2,2,,,,,,,,,,,,,
35,1,35R,G1,-,AC_113,3,4,1,7,11,5,1.75,8.75,,,,,4,1,7,11,,,,,,,,,,,,,
36,1,36L,G2,X,AC_115,4,0,6,0,0,6,#DIV/0!,#DIV/0!,,,,,,6,,,,,,,,,,,,,,,
37,2,1L,G2,X,AC_005,4,5,0,1,2,5,0.2,1,,,,,2,,0,1,3,,1,1,,,,,,,,,
37,2,1R,G1,-,AC_054,3,7,2,8,14,9,1.142857143,10.28571429,,,,,5,,4,10,1,,0,0,1,2,4,4,,,,,
38,2,2L,G2,X,AC_206,5,1,0,3,3,1,3,3,,,,,1,,3,3,,,,,,,,,,,,,
38,2,2R,G2,X,AC_011,5,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
39,2,3L,G2,X,AC_111,5,4,1,16,18,5,4,20,,,,,3,,11,13,1,1,5,5,,,,,,,,,
39,2,3R,G1,-,AC_203,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
40,2,4L,G2,X,AC_119,4,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
40,2,4R,G2,X,AC_082,1,7,2,21,41,9,3,27,,,,,5,,21,33,1,,0,5,1,2,0,3,,,,,
41,2,5L,G2,X,AC_118,3,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
41,2,5R,G1,-,AC_216,3,15,6,35,63,21,2.333333333,49,,,,,13,1,32,59,2,,3,4,,5,,,,,,,
42,2,6L,G1,-,AC_131,1,2,1,0,0,3,0,0,,,,,2,,0,0,,1,,,,,,,,,,,
42,2,6R,G2,X,AC_086,3,6,2,3,3,8,0.5,4,,,,,6,1,3,3,,,,,,1,,,,,,,
43,2,7L,G1,-,AC_205,1,4,0,10,10,4,2.5,10,,,,,4,,10,10,,,,,,,,,,,,,
43,2,7R,G2,X,AC_062,4,22,2,91,155,24,4.136363636,99.27272727,,,,,14,1,53,110,5,1,35,35,3,,3,10,,,,,
44,2,8L,G1,-,AC_205,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
44,2,8R,G1,-,AC_118,4,6,3,26,29,9,4.333333333,39,,,,,6,2,26,29,,1,,,,,,,,,,,
45,2,9L,G1,-,AC_144,1,5,2,30,35,7,6,42,,,,,4,1,26,31,1,1,4,4,,,,,,,,,
45,2,9R,G1,-,AC_088,5,3,0,0,4,3,0,0,,,,,3,,0,4,,,,,,,,,,,,,
46,2,10L,G1,-,AC_030,2,4,0,5,7,4,1.25,5,,,,,4,,5,7,,,,,,,,,,,,,
46,2,10R,G2,X,AC_040,4,5,0,4,11,5,0.8,4,,,,,3,,2,3,2,,2,8,,,,,,,,,
47,2,11L,G1,-,AC_051,5,4,0,1,5,4,0.25,1,,,,,4,,1,5,,,,,,,,,,,,,
47,2,11R,G1,-,AC_090,2,6,2,4,17,8,0.6666666667,5.333333333,,,,,6,2,4,17,,,,,,,,,,,,,
48,2,12L,G2,X,AC_038,3,2,0,3,3,2,1.5,3,,,,,2,,3,3,,,,,,,,,,,,,
48,2,12R,G2,X,AC_193,5,1,0,1,1,1,1,1,,,,,1,,1,1,,,,,,,,,,,,,
49,2,13L,G2,X,AC_168,1,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
49,2,13R,G1,-,AC_089,1,7,1,16,17,8,2.285714286,18.28571429,,,,,5,,14,14,1,,1,2,1,1,1,1,,,,,
50,2,14L,G2,X,AC_190,4,6,7,40,40,13,6.666666667,86.66666667,,,,,6,1,40,40,,6,,,,,,,,,,,
50,2,14R,G2,X,AC_016,5,1,3,2,2,4,2,8,,,,,1,1,2,2,,2,,,,,,,,,,,
51,2,15L,G2,X,AC_010,3,1,0,1,1,1,1,1,,,,,,,,,1,,1,1,,,,,,,,,
51,2,15R,G1,-,AC_054,1,4,0,8,8,4,2,8,,,,,4,,8,8,,,,,,,,,,,,,
52,2,16R,G2,X,AC_144,2,2,0,11,11,2,5.5,11,,,,,2,,11,11,,,,,,,,,,,,,
53,2,17L,G2,X,AC_075,5,6,1,33,35,7,5.5,38.5,,,,,6,,33,35,,,,,,1,,,,,,,
53,2,17R,G1,-,AC_120,2,5,3,15,15,8,3,24,,,,,3,,13,13,1,,1,1,1,3,1,1,,,,,
54,2,18L,G2,X,AC_066,2,5,0,13,13,5,2.6,13,,,,,4,,11,11,1,,2,2,,,,,,,,,
54,2,18R,G1,-,AC_075,4,8,1,14,21,9,1.75,15.75,,,,,5,,8,14,2,,4,4,1,1,2,3,,,,,
55,2,19L,G1,-,AC_056,3,4,1,7,8,5,1.75,8.75,,,,,2,,3,3,2,1,4,5,,,,,,,,,
55,2,19R,G2,X,AC_217,4,6,1,21,25,7,3.5,24.5,,,,,4,,18,22,1,,2,2,1,1,1,1,,,,,
56,2,20L,G1,-,AC_086,5,3,0,17,18,3,5.666666667,17,,,,,2,,16,17,1,,1,1,,,,,,,,,
56,2,20R,G1,-,AC_072,4,14,4,26,42,18,1.857142857,33.42857143,,,,,14,2,26,42,,,,,,2,,,,,,,
57,2,21L,G1,-,AC_181,1,1,0,2,2,1,2,2,,,,,1,,2,2,,,,,,,,,,,,,
57,2,21R,G2,X,AC_131,5,3,2,14,16,5,4.666666667,23.33333333,,,,,2,,14,14,1,2,0,2,,,,,,,,,
58,2,22L,G1,-,AC_032,3,5,0,21,33,5,4.2,21,,,,,4,,18,30,1,,3,3,,,,,,,,,
58,2,22R,G1,-,AC_109,2,7,3,25,28,10,3.571428571,35.71428571,,,,,6,2,24,27,1,1,1,1,,,,,,,,,
59,2,23L,G1,-,AC_055,3,2,1,5,5,3,2.5,7.5,,,,,2,,5,5,,1,,,,,,,,,,,
59,2,23R,G1,-,AC_154,1,3,0,8,8,3,2.666666667,8,,,,,3,,8,8,,,,,,,,,,,,,
60,2,24L,G2,X,AC_128,5,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,,,,,,,,,,
61,2,25L,G1,-,AC_154,4,7,3,32,36,10,4.571428571,45.71428571,,,,,6,2,28,32,1,,4,4,,1,,,,,,,
61,2,25R,G1,-,AC_122,1,5,2,17,27,7,3.4,23.8,,,,,5,1,17,27,,,,,,1,,,,,,,
62,2,26L,G1,-,AC_133,3,2,0,6,8,2,3,6,,,,,2,,6,8,,,,,,,,,,,,,
62,2,26R,G1,-,AC_197,4,6,3,20,46,9,3.333333333,30,,,,,5,2,16,42,1,,4,4,,1,,,,,,,(1 seed lost 5/26/23)
63,2,27L,G2,X,AC_058,4,6,2,27,28,8,4.5,36,,,,,4,2,20,21,2,,7,7,,,,,,,,,
63,2,27R,G1,-,AC_014,5,3,0,3,4,3,1,3,,,,,3,,3,4,,,,,,,,,,,,,
64,2,28L,G2,X,AC_054,5,1,0,1,2,1,1,1,,,,,1,,1,2,,,,,,,,,,,,,
64,2,28R,G2,X,AC_133,2,3,1,12,12,4,4,16,,,,,3,1,12,12,,,,,,,,,,,,,
65,2,29L,G1,-,AC_107,2,7,2,5,8,9,0.7142857143,6.428571429,,,,,6,1,3,5,1,1,2,3,,,,,,,,,
65,2,29R,G2,X,AC_046,3,5,0,18,24,5,3.6,18,,,,,3,,14,15,2,,4,9,,,,,,,,,
66,2,30L,G1,-,AC_088,3,2,2,4,6,4,2,8,,,,,2,2,4,6,,,,,,,,,,,,,
66,2,30R,G2,X,AC_114,2,1,0,4,4,1,4,4,,,,,1,,4,4,,,,,,,,,,,,,
67,2,31L,G2,X,AC_200,2,2,2,5,9,4,2.5,10,,,,,2,2,5,9,,,,,,,,,,,,,
67,2,31R,G2,X,AC_203,5,4,3,19,20,7,4.75,33.25,,,,,4,1,19,20,,,,,,2,,,,,,,
68,2,32L,G2,X,AC_074,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
68,2,32R,G1,-,AC_046,3,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
69,2,33L,G1,-,AC_187,4,3,4,20,20,7,6.666666667,46.66666667,,,,,3,4,20,20,,,,,,,,,,,,,
69,2,33R,G1,-,AC_182,2,3,2,4,4,5,1.333333333,6.666666667,,,,,3,2,4,4,,,,,,,,,,,,,
70,2,34L,G2,X,AC_095,5,2,0,1,1,2,0.5,1,,,,,2,,1,1,,,,,,,,,,,,,
70,2,34R,G2,X,AC_092,2,1,1,0,0,2,0,0,,,,,1,1,0,0,,,,,,,,,,,,,
71,2,35L,G2,X,AC_205,4,16,3,32,72,19,2,38,,,,,10,3,16,46,6,,16,26,,,,,,,,,
72,2,36L,G1,-,AC_158,2,3,2,7,8,5,2.333333333,11.66666667,,,,,3,2,7,8,,,,,,,,,,,,,
72,2,36R,G2,X,AC_048,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
73,3,1L,G1,-,AC_052,3,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
73,3,1R,G2,X,AC_113,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
74,3,2L,G1,-,AC_215,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
74,3,2R,G1,-,AC_038,3,6,2,10,10,8,1.666666667,13.33333333,,,,,4,,3,3,2,,7,7,,2,,,,,,,
75,3,3L,G2,X,AC_089,3,3,0,11,12,3,3.666666667,11,,,,,3,,11,12,,,,,,,,,,,,,
75,3,3R,G1,-,AC_190,2,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
76,3,4L,G2,X,AC_197,2,4,2,7,10,6,1.75,10.5,,,,,4,,7,10,,2,,,,,,,,,,,
76,3,4R,G1,-,AC_057,1,2,1,1,1,3,0.5,1.5,,,,,2,,1,1,,1,,,,,,,,,,,
77,3,5L,G2,X,AC_197,1,4,1,10,11,5,2.5,12.5,,,,,4,,10,11,,1,,,,,,,,,,,
78,3,6L,G1,-,AC_082,4,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,,,,,,,,,,
78,3,6R,G2,X,AC_096,2,6,2,22,25,8,3.666666667,29.33333333,,,,,6,2,22,25,,,,,,,,,,,,,
79,3,7L,G1,-,AC_099,5,2,1,12,15,3,6,18,,,,,2,,12,15,,1,,,,,,,,,,,
79,3,7R,G2,X,AC_154,3,9,1,25,31,10,2.777777778,27.77777778,,,,,5,,14,20,4,1,11,11,,,,,,,,,
80,3,8L,G1,-,AC_010,1,3,0,3,3,3,1,3,,,,,1,,1,1,2,,2,2,,,,,,,,,
80,3,8R,G2,X,AC_181,3,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
81,3,9L,G1,-,AC_005,1,4,0,1,3,4,0.25,1,,,,,4,,1,3,,,,,,,,,,,,,
81,3,9R,G1,-,AC_187,1,4,3,5,18,7,1.25,8.75,,,,,4,1,5,18,,2,,,,,,,,,,,
82,3,10L,G1,-,AC_094,3,3,1,0,1,4,0,0,,,,,3,,0,1,,1,,,,,,,,,,,
82,3,10R,G2,X,AC_190,4,6,1,19,42,7,3.166666667,22.16666667,,,,,6,1,19,42,,,,,,,,,,,,,
83,3,11L,G2,X,AC_148,2,1,1,1,3,2,1,2,,,,,1,1,1,3,,,,,,,,,,,,,
83,3,11R,G1,-,AC_096,1,3,1,3,4,4,1,4,,,,,3,1,3,4,,,,,,,,,,,,,
84,3,12L,G2,X,AC_068,5,7,0,1,13,7,0.1428571429,1,,,,,7,,1,13,,,,,,,,,,,,,
84,3,12R,G1,-,AC_057,4,3,1,0,2,4,0,0,,,,,3,,0,2,,1,,,,,,,,,,,
85,3,13L,G2,X,AC_064,5,8,0,10,32,8,1.25,10,,,,,8,,10,32,,,,,,,,,,,,,
85,3,13R,G2,X,AC_100,3,8,1,12,44,9,1.5,13.5,,,,,6,1,8,40,2,,4,4,,,,,,,,,
86,3,14L,G2,X,AC_075,3,7,1,19,21,8,2.714285714,21.71428571,,,,,7,,19,21,,,,,,1,,,,,,,
86,3,14R,G2,X,AC_185,2,5,2,7,9,7,1.4,9.8,,,,,5,,7,9,,2,,,,,,,,,,,
87,3,15R,G2,X,AC_088,1,11,1,18,22,12,1.636363636,19.63636364,,,,,7,1,11,14,4,,7,8,,,,,,,,,
88,3,16L,G2,X,AC_114,3,3,2,7,12,5,2.333333333,11.66666667,,,,,3,2,7,12,,,,,,,,,,,,,
88,3,16R,G1,-,AC_144,5,2,4,2,2,6,1,6,,,,,,,,,2,3,2,2,,1,,,,,,,
89,3,17L,G1,-,AC_122,2,1,0,3,3,1,3,3,,,,,1,,3,3,,,,,,,,,,,,,
89,3,17R,G1,-,AC_159,3,9,0,13,20,9,1.444444444,13,,,,,6,,9,16,3,,4,4,,,,,,,,,
90,3,18L,G2,X,AC_068,5,5,0,7,12,5,1.4,7,,,,,4,,7,11,1,,0,1,,,,,,,,,
90,3,18R,G1,-,AC_064,4,8,4,31,44,12,3.875,46.5,,,,,8,2,31,44,,2,,,,,,,,,,,
91,3,19L,G1,-,AC_215,2,6,3,12,20,9,2,18,,,,,6,1,12,20,,2,,,,,,,,,,,
91,3,19R,G2,X,AC_099,5,4,0,11,22,4,2.75,11,,,,,4,,11,22,,,,,,,,,,,,,
92,3,20L,G1,-,AC_016,5,2,0,1,1,2,0.5,1,,,,,2,,1,1,,,,,,,,,,,,,
92,3,20R,G1,-,AC_038,4,2,6,3,4,8,1.5,12,,,,,2,1,3,4,,5,,,,,,,,,,,
93,3,21L,G1,-,AC_215,2,9,1,16,24,10,1.777777778,17.77777778,,,,,7,1,13,21,2,,3,3,,,,,,,,,
93,3,21R,G1,-,AC_199,5,4,4,17,21,8,4.25,34,,,,,4,3,17,21,,1,,,,,,,,,,,
94,3,22L,G2,X,AC_206,1,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
94,3,22R,G1,-,AC_190,1,6,0,23,29,6,3.833333333,23,,,,,5,,23,29,1,,0,0,,,,,,,,,
95,3,23L,G2,X,AC_038,4,3,2,1,5,5,0.3333333333,1.666666667,,,,,,2,,,3,,1,5,,,,,,,,,
95,3,23R,G1,-,AC_199,1,1,0,1,1,1,1,1,,,,,1,,1,1,,,,,,,,,,,,,
96,3,24L,G1,-,AC_032,5,1,1,1,1,2,1,2,,,,,1,1,1,1,,,,,,,,,,,,,
96,3,24R,G1,-,AC_211,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
97,3,25L,G1,-,AC_181,5,2,0,3,4,2,1.5,3,,,,,2,,3,4,,,,,,,,,,,,,
97,3,25R,G1,-,AC_186,4,4,4,8,28,8,2,16,,,,,4,4,8,28,,,,,,,,,,,,,
98,3,26L,G1,-,AC_046,4,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,2,,,,,,,,,,,,,,,
98,3,26R,G1,-,AC_016,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
99,3,27L,G1,-,AC_136,2,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
99,3,27R,G2,X,AC_179,5,2,0,1,2,2,0.5,1,,,,,2,,1,2,,,,,,,,,,,,,
100,3,28L,G2,X,AC_081,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
101,3,29L,G1,-,AC_191,2,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,1,,,,,,,,,,,,,,,
101,3,29R,G2,X,AC_213,2,1,3,2,4,4,2,8,,,,,1,3,2,4,,,,,,,,,,,,,
102,3,30L,G2,X,AC_144,5,2,1,2,3,3,1,3,,,,,2,1,2,3,,,,,,,,,,,,,
102,3,30R,G2,X,AC_154,3,5,0,11,14,5,2.2,11,,,,,5,,11,14,,,,,,,,,,,,,
103,3,31L,G2,X,AC_015,2,1,0,0,0,1,0,0,,,,,1,,0,0,,,,,,,,,,,,,
103,3,31R,G2,X,AC_171,3,4,0,8,16,4,2,8,,,,,2,,2,7,2,,6,9,,,,,,,,,
104,3,32L,G1,-,AC_051,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
104,3,32R,G1,-,AC_197,4,1,1,2,4,2,2,4,,,,,1,1,2,4,,,,,,,,,,,,,
105,3,33L,G2,X,AC_058,5,1,5,0,1,6,0,0,,,,,1,5,0,1,,,,,,,,,,,,,
105,3,33R,G1,-,AC_111,4,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
106,3,34R,G1,-,AC_190,5,0,2,0,0,2,#DIV/0!,#DIV/0!,,,,,,,,,,2,,,,,,,,,,,
107,3,35L,G2,X,AC_034,3,0,3,0,0,3,#DIV/0!,#DIV/0!,,,,,,,,,,3,,,,,,,,,,,
107,3,35R,G2,X,AC_074,4,3,1,13,14,4,4.333333333,17.33333333,,,,,3,1,13,14,,,,,,,,,,,,,
108,4,1L,G2,X,AC_111,3,3,2,0,0,5,0,0,,,,,3,,0,0,,,,,,2,,,,,,,
108,4,1R,G2,X,AC_187,4,3,0,0,0,3,0,0,,,,,3,,0,0,,,,,,,,,,,,,
109,4,2L,G2,X,AC_046,3,0,1,0,0,1,#DIV/0!,#DIV/0!,,,,,,,,,,1,,,,,,,,,,,
109,4,2R,G1,-,AC_096,3,9,0,22,35,9,2.444444444,22,,,,,6,,9,21,3,,13,14,,,,,,,,,
110,4,3L,G2,X,AC_055,5,0,0,0,0,0,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,,,,,,,,
110,4,3R,G1,-,AC_011,2,8,1,9,15,9,1.125,10.125,,,,,6,,2,8,2,1,7,7,,,,,,,,,
111,4,4L,G1,-,AC_104,5,2,0,0,6,2,0,0,,,,,2,,0,6,,,,,,,,,,,,,
111,4,4R,G2,X,AC_107,1,12,7,55,60,19,4.583333333,87.08333333,,,,,10,,49,52,1,1,2,3,1,6,4,5,,,,,
112,4,5L,G2,X,AC_178,4,3,0,3,4,3,1,3,,,,,3,,3,4,,,,,,,,,,,,,
