Block,Transect,Recipient,Plant_ID,leaf_area_mm2,area_notes,leaf_dry_weight_mg,weight_notes
3,8,AC_131,,,,,
3,8,AC_133,,,,,
3,8,AC_136,,,,,
3,8,AC_144,,,,,
3,8,AC_148,,,,,
3,8,AC_154,,,,,
3,8,AC_158,,,,,
3,8,AC_159,,,,,
3,8,AC_179,,,,,
3,8,AC_181,,,,,
3,8,AC_182,,,,,
3,8,AC_185,,,,,
3,8,AC_192,,,,,
3,8,AC_195,,,,,
3,8,AC_199,,,,,
3,8,AC_200,,,,,
3,8,AC_206,,,,,
3,8,AC_208,,,,,
3,8,AC_211,,,,,
3,8,AC_213,,,,,
3,9,AC_011,,,,,
3,9,AC_030,,,,,
3,9,AC_034,,,,,
3,9,AC_055,,,,,
3,9,AC_064,,,,,
3,9,AC_075,,,,,
3,9,AC_083,,,,,
3,9,AC_089,,,,,
3,9,AC_090,,,,,
3,9,AC_095,,,,,
3,9,AC_096,,,,,
3,9,AC_099,,,,,
3,9,AC_109,,,,,
3,9,AC_110,,,,,
3,9,AC_115,,,,,
3,9,AC_118,,,,,
3,9,AC_119,,,,,
3,9,AC_123,,,,,
3,9,AC_142,,,,,
3,9,AC_147,,,,,
3,9,AC_151,,,,,
3,9,AC_152,,,,,
3,9,AC_153,,,,,
3,9,AC_155,,,,,
3,9,AC_168,,,,,
3,9,AC_187,,,,,
3,9,AC_188,,,,,
3,9,AC_189,,,,,
3,9,AC_197,,,,,
3,9,AC_204,,,,,
3,9,AC_205,,,,,
3,9,AC_212,,,,,
3,9,AC_216,,,,,
3,9,AC_218,,,,,
W,W1,AC_034,,,,,
W,W1,AC_040,,,,,
W,W1,AC_055,,,,,
W,W1,AC_058,,,,,
W,W1,AC_070,,,,,
W,W1,AC_081,,,,,
W,W1,AC_082,,,,,
W,W1,AC_097,,,,,
W,W1,AC_099,,,,,
W,W1,AC_109,,,,,
W,W1,AC_111,,,,,
W,W1,AC_147,,,,,
W,W1,AC_187,,,,,
W,W1,AC_189,,,,,
W,W1,AC_190,,,,,
W,W1,AC_197,,,,,
W,W1,AC_204,,,,,
W,W1,AC_208,,,,,
W,W1,AC_216,,,,,
W,W1,AC_217,,,,,
W,W1,AC_218,,,,,
W,W2,AC_034,,,,,
W,W2,AC_040,,,,,
W,W2,AC_055,,,,,
W,W2,AC_058,,,,,
W,W2,AC_070,,,,,
W,W2,AC_081,,,,,
W,W2,AC_082,,,,,
W,W2,AC_097,,,,,
W,W2,AC_099,,,,,
W,W2,AC_109,,,,,
W,W2,AC_111,,,,,
W,W2,AC_147,,,,,
W,W2,AC_187,,,,,
W,W2,AC_189,,,,,
W,W2,AC_190,,,,,
W,W2,AC_197,,,,,
W,W2,AC_204,,,,,
W,W2,AC_208,,,,,
W,W2,AC_216,,,,,
W,W2,AC_217,,,,,
W,W2,AC_218,,,,,
