Block,Location = Point,Recipient = ID,Plant,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,Number of Anthers,Corolla area (mm^2),Maximum corolla diameter (mm),Measurement Notes,URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,Rosette Diameter (mm) (when available),Rosette Radius (center to tip of farthest extruding leaf),Units,Notes
1,4,BB_143,7,https://drive.google.com/file/d/1v86jWa-PSoa5vpOGjOurab3Anw_esELa/view?usp=sharing  ,2022-03-25,,179.925,16.243,,https://drive.google.com/file/d/1vhjUCc0qpNzX9BHM6hoxI7wVh8pPKO0Q/view?usp=sharing ,2022-03-17,116.736,59.509,mm,
1,4,BB_143,8,,2022-03-17,,,,,https://drive.google.com/file/d/1uWKr9MaExGrqeT2-BxOawRADGwxACU6n/view?usp=sharing ,2022-03-17,67.395,36.612,mm,
1,4,BB_161,1,,,,,,,,,,,,
1,4,BB_161,2,,,,,,,,,,,,
1,4,BB_161,3,,,,,,,,,,,,
1,4,BB_161,4,https://drive.google.com/file/d/1_aCD2mzyU0Y9LaZhZw_yRTM_Et9G2mqv/view?usp=sharing,2022-04-01,,738.555,34.386,,,,,,,
1,4,BB_161,5,,,,,,,,,,,,
1,4,BB_161,6,https://drive.google.com/file/d/1_dv6YYuHieUhBh2ZoTEVyM1aqXxMl07Y/view?usp=sharing,2022-04-01,6,441.75,28.179,,https://drive.google.com/file/d/1_e13KeqXlLaysuXQQdDiq79hPeBCEgMs/view?usp=sharing,2022-04-01,25.26,17.169,mm,rosette not clearly visible
1,4,BB_161,7,,,,,,,,,,,,
1,4,BB_161,8,,,,,,,,,,,,
1,4,BB_214,1,,,,,,,,,,,,
1,4,BB_214,2,,,,,,,,,,,,
1,4,BB_214,3,https://drive.google.com/file/d/1rSZ3y6Qn7Anb1Su4ykt_hJ8tcVUv4ynh/view?usp=sharing ,2022-03-17,,492.356,27.772,,https://drive.google.com/file/d/1tLsbGGUgyW3OhdVn39XmwK_pX78Q4Jbz/view?usp=sharing ,2022-03-17,92.346,50.716,mm,
1,4,BB_214,4,,,,,,,https://drive.google.com/file/d/1_aZSwWSg7XeGb0mBFsl5NJjSPBzUkT5x/view?usp=sharing,2022-04-01,37.082,27.967,mm,
1,4,BB_214,5,,,,,,,,,,,,
1,4,BB_214,6,https://drive.google.com/file/d/1_hJV5_cqkxz2-m4TobaEd_11IHzNGepW/view?usp=sharing,2022-04-02,,320.703,22.317,,,,,,,
1,4,BB_214,7,,,,,,,,,,,,
1,4,BB_214,8,,,,,,,,,,,,
1,5,BB_114,1,,,,,,,,,,,,
1,5,BB_114,2,,,,,,,,,,,,
1,5,BB_114,3,,,,,,,,,,,,
1,5,BB_114,4,,,,,,,,,,,,
1,5,BB_114,5,https://drive.google.com/file/d/1v-rYYUWrKkZnCb2uZlzkDGJJLHwFtLaY/view?usp=sharing,2022-03-25,,,23.49,folded,https://drive.google.com/file/d/1v4qGR7Te0LfBOLx-DgnEC9fsaMtetiDi/view?usp=sharing,2022-03-25,42.108,25.844,mm,
1,5,BB_114,6,,,,,,,,,,,,
1,5,BB_114,7,,,,,,,,,,,,
1,5,BB_114,8,,,,,,,,,,,,
1,5,BB_013,1,,,,,,,,,,,,
1,5,BB_013,2,,,,,,,,,,,,
1,5,BB_013,3,,,,,,,,,,,,
1,5,BB_013,4,,,,,,,,,,,,
1,5,BB_013,5,,,,,,,,,,,,
1,5,BB_013,6,,,,,,,,,,,,
1,5,BB_013,7,,,,,,,,,,,,
1,5,BB_013,8,,,,,,,,,,,,
1,5,BB_020,1,https://drive.google.com/file/d/1_Y-1ERBhAg_FSYb1mImvcDE8gbfvkWPq/view?usp=sharing,2022-04-01,,150.738,15.857,,https://drive.google.com/file/d/1v5_861rVuHZ5AvOfOab2AIvtGdy2wprg/view?usp=sharing,2022-03-25,52.397,26.062,mm,
1,5,BB_020,2,,,,,,,,,,,,
1,5,BB_020,3,,,,,,,,,,,,
1,5,BB_020,4,,,,,,,,,,,,
1,5,BB_020,5,https://drive.google.com/file/d/1uCQsLQLe3fCZ8-b2HgLYcrxfhSnVY1Eh/view?usp=sharing ,2022-03-17,,492.617,28.033,,https://drive.google.com/file/d/1vHYjAJbPFzBzVTkdEK1SWzgp0SVllR-A/view?usp=sharing ,2022-03-17,73.132,38.66,mm,
1,5,BB_020,6,,,,,,,,,,,,
1,5,BB_020,7,,,,,,,,,,,,
1,5,BB_020,8,,,,,,,,,,,,
1,5,BB_069,1,,,,,,,,,,,,
1,5,BB_069,2,,,,,,,,,,,,
1,5,BB_069,3,,,,,,,,,,,,
1,5,BB_069,4,https://drive.google.com/file/d/1uzUIxHK_1p4ZVZoRmmAZFak9R2jbCeBx/view?usp=sharing; https://drive.google.com/file/d/1_SNb4CjmnJp3-vUdxln-G09AcxXjV0L8/view?usp=sharing,2022-03-25,,452.477,26.117,,https://drive.google.com/file/d/1sfXTaHDyjKpqtpvoV1DmSNIGXEIaVA0c/view?usp=sharing ,2022-03-17,90.641,45.386,mm,
1,5,BB_069,4,https://drive.google.com/file/d/1_SNb4CjmnJp3-vUdxln-G09AcxXjV0L8/view?usp=sharing,2022-04-01,,470.892,27.45,,,,,,,
1,5,BB_069,5,,,,,,,,,,,,
1,5,BB_069,6,,2022-03-17,,,,,https://drive.google.com/file/d/1waem0zBMEOtROc0Zp_EbLaXkaYc3uXeR/view?usp=sharing ,2022-03-17,67.048,33.884,mm,
1,5,BB_069,7,,,,,,,,,,,,
1,5,BB_069,8,,,,,,,,,,,,
1,6,BB_104,1,,,,,,,,,,,,
1,6,BB_104,2,,,,,,,,,,,,
1,6,BB_104,3,,,,,,,,,,,,
1,6,BB_104,4,,,,,,,,,,,,
1,6,BB_104,5,,,,,,,,,,,,
1,6,BB_104,6,,,,,,,,,,,,
1,6,BB_104,7,,,,,,,,,,,,
1,6,BB_104,8,https://drive.google.com/file/d/1rtskTQLyOXqsAhGbqz8kO7V4FmYNEAyj/view?usp=sharing,2022-02-25,,228.931,18.554,,https://drive.google.com/file/d/1rvJCl-UZ6lH5Weo7Jnwx6mBdIeF8cAAV/view?usp=sharing,,61.409,36.389,mm,
1,6,BB_193,1,,2022-03-17,,,,,https://drive.google.com/file/d/1vNAP_YM_FNy9mqfXi6aYwO-1qn1oDu71/view?usp=sharing ,2022-03-17,83.437,38.543,mm,
1,6,BB_193,2,,2022-03-17,,,,,https://drive.google.com/file/d/1uKatgIsPFTgaDo2Pv4vRVPgwu4aS0cDa/view?usp=sharing ,2022-03-17,41.014,20.64,mm,
1,6,BB_193,3,,,,,,,,,,,,
1,6,BB_193,4,,,,,,,,,,,,
1,6,BB_193,5,,,,,,,,,,,,
1,6,BB_193,6,,,,,,,,,,,,
1,6,BB_193,7,,,,,,,,,,,,
1,6,BB_193,8,https://drive.google.com/file/d/1ssI2__go9knjU2ZehJf3zn_7j9BsBi4u/view?usp=sharing ,2022-03-17,,613.342,32.137,,https://drive.google.com/file/d/1ssI2__go9knjU2ZehJf3zn_7j9BsBi4u/view?usp=sharing ,2022-03-17,43.265,26.127,mm,
1,6,BB_195,1,,,,,,,,,,,,
1,6,BB_195,2,,2022-03-17,,,,,https://drive.google.com/file/d/1wpys5D5D03-dLSsMVVPOnJWsXU8UOLaw/view?usp=sharing ,2022-03-17,31.293,21.853,mm,
1,6,BB_195,3,,2022-03-17,,,,,https://drive.google.com/file/d/1uw8RTL8t4u_mTZx0YlYi46yoS5TBOmmB/view?usp=sharing ,2022-03-17,44.71,21.932,mm,
1,6,BB_195,4,https://drive.google.com/file/d/1t_BRgoIjNeHxzWiB1iphnOjDxsS_jw6-/view?usp=sharing ,2022-03-17,,460.039,27.518,,https://drive.google.com/file/d/1t_BRgoIjNeHxzWiB1iphnOjDxsS_jw6-/view?usp=sharing ,2022-03-17,,,,"leaves not visible, couldn't estimate"
1,6,BB_195,5,,,,,,,,,,,,
1,6,BB_195,6,,,,,,,,,,,,
1,6,BB_195,7,,,,,,,,,,,,
1,6,BB_195,8,,,,,,,,,,,,
1,7,BB_186,1,,,,,,,,,,,,
1,7,BB_186,2,,,,,,,,,,,,
1,7,BB_186,3,,,,,,,,,,,,
1,7,BB_186,4,,,,,,,,,,,,
1,7,BB_186,5,,,,,,,,,,,,
1,7,BB_186,6,,,,,,,,,,,,
1,7,BB_186,7,,,,,,,,,,,,
1,7,BB_186,8,,,,,,,,,,,,
1,7,BB_201,1,,,,,,,,,,,,
1,7,BB_201,2,,,,,,,,,,,,
1,7,BB_201,3,,,,,,,,,,,,
1,7,BB_201,4,,,,,,,,,,,,
1,7,BB_201,5,,,,,,,,,,,,
1,7,BB_201,6,,,,,,,,,,,,
1,7,BB_201,7,,,,,,,,,,,,
1,7,BB_201,8,,,,,,,,,,,,
1,7,BB_027,1,,,,,,,,,,,,
1,7,BB_027,2,https://drive.google.com/file/d/1uzAd8FE3nqIhYoS5XBvxKJRHk1PN_6xK/view?usp=sharing; https://drive.google.com/file/d/1_SLrn1GdToJweDu4evZkXFimw7BAj5z3/view?usp=sharing; https://drive.google.com/file/d/1cZan5TYGQGa2G9-Tlr_TORsWRnwBowBa/view?usp=sharing,2022-03-25,,380.918,26.106,,https://drive.google.com/file/d/1wFQDSHrOzhzO9zSNkjn4HfaPGw0Z-z3v/view?usp=sharing ,2022-03-17,67.178,39.711,mm,
1,7,BB_027,2,https://drive.google.com/file/d/1_SLrn1GdToJweDu4evZkXFimw7BAj5z3/view?usp=sharing,2022-04-01,,509.003,29.439,,,,,,,
1,7,BB_027,2,https://drive.google.com/file/d/1cZan5TYGQGa2G9-Tlr_TORsWRnwBowBa/view?usp=sharing,2022-04-08,,534.889,30.41,,,,,,,
1,7,BB_027,3,,,,,,,,,,,,
1,7,BB_027,4,,,,,,,,,,,,
1,7,BB_027,5,,,,,,,,,,,,
1,7,BB_027,6,,,,,,,,,,,,
1,7,BB_027,7,,,,,,,,,,,,
1,7,BB_027,8,,,,,,,,,,,,
1,8,BB_137,1,,,,,,,,,,,,
1,8,BB_137,2,,,,,,,,,,,,
1,8,BB_137,3,https://drive.google.com/file/d/1uqMRO7-6Ar_Z58WFF-QP68rVIinNJaSI/view?usp=sharing,2022-03-25,,262.123,21.936,,,,,,,
1,8,BB_137,4,,,,,,,,,,,,
1,8,BB_137,5,,,,,,,,,,,,
1,8,BB_137,6,https://drive.google.com/file/d/1_NiEaqjkba46JVhJUhjFkxptQCuh-yxh/view?usp=sharing,2022-04-01,,425.8,26.698,,https://drive.google.com/file/d/1upjcT_EsqrAIh8fQsg1xZCmpy6rwD72P/view?usp=sharing,2022-03-25,66.375,38.292,mm,
1,8,BB_137,7,https://drive.google.com/file/d/1uj5OdIwvV2zTEjnSXMzV7ZhVVCXdLFHg/view?usp=sharing,2022-03-25,,493.568,29.002,,https://drive.google.com/file/d/1upKVFt_kv4-M5OBRrGInBtHlREaOWP6s/view?usp=sharing,2022-03-25,69.725,48.558,mm,
1,8,BB_137,8,,,,,,,,,,,,
1,8,BB_207,1,,,,,,,,,,,,
1,8,BB_207,2,,,,,,,,,,,,
1,8,BB_207,3,,,,,,,,,,,,
1,8,BB_207,4,,,,,,,,,,,,
1,8,BB_207,5,,,,,,,,,,,,
1,8,BB_207,6,https://drive.google.com/file/d/1uWlXzOKcjqp6axbF_XZAEVLmZm1nyjq5/view?usp=sharing,2022-03-25,,,22.085,folded,https://drive.google.com/file/d/1uZPBhZ08CIvsKiD9YbazjaF9l-xApcL5/view?usp=sharing,2022-03-25,33.245,17.314,mm,
1,8,BB_207,7,,,,,,,,,,,,
1,8,BB_207,8,,,,,,,,,,,,
1,8,BB_218,1,,,,,,,,,,,,
1,8,BB_218,2,,,,,,,,,,,,
1,8,BB_218,3,,,,,,,,,,,,
1,8,BB_218,4,,,,,,,,,,,,
1,8,BB_218,5,,,,,,,,,,,,
1,8,BB_218,6,,,,,,,,,,,,
1,8,BB_218,7,https://drive.google.com/file/d/15esE92xLYZ7C-l3f_i7xbW7a2j5qQr1Y/view?usp=sharing,2022-04-08,,259.292,20.434,,,,,,,
1,8,BB_218,8,https://drive.google.com/file/d/1wVQ1P8jjXu2MbttPbDKWfGk1mnGSpg2S/view?usp=sharing ,2022-03-17,,255.383,18.298,,https://drive.google.com/file/d/1udTD7XzosGwVbieawdEG8KWE0NvHXFbu/view?usp=sharing ,2022-03-17,67.673,43.395,mm,
1,9,BB_017,1,,,,,,,,,,,,
1,9,BB_017,2,,,,,,,,,,,,
1,9,BB_017,3,,,,,,,,,,,,
1,9,BB_017,4,,,,,,,,,,,,
1,9,BB_017,5,https://drive.google.com/file/d/1_7R5OPU5DxulLVu_nXAk2gSgt1hdEbGg/view?usp=sharing,2022-04-01,,387.77,25.148,,https://drive.google.com/file/d/1_0UQjrFPr7-Di1wH3bPVDWqqk9npunm5/view?usp=sharing,2022-04-01,36.828,19.351,mm,
1,9,BB_017,6,,,,,,,,,,,,
1,9,BB_017,7,,,,,,,,,,,,
1,9,BB_017,8,,2022-03-17,,,,,https://drive.google.com/file/d/1tTXOvdPkgSuVm83lmCZbxoGIM2xdk_-y/view?usp=sharing ,2022-03-17,37.347,25.721,mm,
1,9,BB_189,1,https://drive.google.com/file/d/1_LBIraUQix4XQMWWMMtvy_bEydD64wLL/view?usp=sharing,2022-04-01,,728.971,34.433,,https://drive.google.com/file/d/1_NYJ2PbT5nW5r_nvoP6ixraGI1ENDU8A/view?usp=sharing,2022-04-01,,,,rosette not available in picture
1,9,BB_189,2,,,,,,,,,,,,
1,9,BB_189,3,,,,,,,,,,,,
1,9,BB_189,4,,,,,,,,,,,,
1,9,BB_189,5,,,,,,,,,,,,
1,9,BB_189,6,,,,,,,,,,,,
1,9,BB_189,7,,,,,,,,,,,,
1,9,BB_189,8,,,,,,,,,,,,
1,9,BB_009,1,,,,,,,,,,,,
1,9,BB_009,2,https://drive.google.com/file/d/1_GnPL3n4036Sut-dHADShIeUKRK4vuYD/view?usp=sharing,2022-04-01,,385.812,24.492,,https://drive.google.com/file/d/1_HZIFkO5PJ5wN2_FVOZ0VUOvaj6T14lt/view?usp=sharing,2022-04-01,81.975,48.955,mm,
1,9,BB_009,3,,,,,,,,,,,,
1,9,BB_009,4,,,,,,,,,,,,
1,9,BB_009,5,,,,,,,,,,,,
1,9,BB_009,6,,,,,,,,,,,,
1,9,BB_009,7,,,,,,,,,,,,
1,9,BB_009,8,,,,,,,,,,,,
1,10,BB_187,1,,,,,,,,,,,,
1,10,BB_187,2,,,,,,,,,,,,
1,10,BB_187,3,https://drive.google.com/file/d/1d1eoC7NBe_uddSIzCUNzrMUF4kl_ci-l/view?usp=sharing,2022-04-08,,214.472,19.737,,,,,,,
1,10,BB_187,4,,,,,,,,,,,,
1,10,BB_187,5,,,,,,,,,,,,
1,10,BB_187,6,,,,,,,,,,,,
1,10,BB_187,7,,,,,,,,,,,,
1,10,BB_187,8,,,,,,,https://drive.google.com/file/d/11egz7HQIf4F57tk9zcxhyPXCgSFEghCe/view?usp=sharing,2022-04-08,26.616,9.585,mm,
1,10,BB_021,1,,,,,,,,,,,,
1,10,BB_021,2,,,,,,,,,,,,
1,10,BB_021,3,https://drive.google.com/file/d/1u7lczkiUyel__8sJ8HBO2zV70Ohtz5y2/view?usp=sharing,2022-03-25,,288.628,21.25,,https://drive.google.com/file/d/1uFK7saeeCHWX4qsJN8zJb55KXptbsk4v/view?usp=sharing,2022-03-25,21.76,19.954,mm,
1,10,BB_021,4,,,,,,,,,,,,
1,10,BB_021,5,,,,,,,,,,,,
1,10,BB_021,6,,,,,,,,,,,,
1,10,BB_021,7,,,,,,,,,,,,
1,10,BB_021,8,,,,,,,,,,,,
1,10,BB_032,1,,,,,,,,,,,,
1,10,BB_032,2,,,,,,,,,,,,
1,10,BB_032,3,,,,,,,,,,,,
1,10,BB_032,4,,,,,,,,,,,,
1,10,BB_032,5,https://drive.google.com/file/d/1uIT_0M4a1ZmNzra3eNUk6wRTCXPwkc8U/view?usp=sharing,2022-03-25,,207.331,18.879,,https://drive.google.com/file/d/1uNrC--yFmMpktyuuvcgcPjJqaf3nPmax/view?usp=sharing,2022-03-25,,,,rosette not availble
1,10,BB_032,6,,,,,,,,,,,,
1,10,BB_032,7,,,,,,,,,,,,
1,10,BB_032,8,,,,,,,,,,,,
1,10,BB_058,1,,,,,,,,,,,,
1,10,BB_058,2,https://drive.google.com/file/d/1u02TPKo99IhKs6kdme2ime8ZAx5Q5Wwj/view?usp=sharing,2022-03-25,,419.786,26.133,,https://drive.google.com/file/d/1u0oHR1y_54BYSI_rhP9LaaWWxLUK7kwh/view?usp=sharing,2022-03-25,83.475,46.639,mm,
1,10,BB_058,3,,,,,,,,,,,,
1,10,BB_058,4,,,,,,,,,,,,
1,10,BB_058,5,,,,,,,,,,,,
1,10,BB_058,6,,,,,,,,,,,,
1,10,BB_058,7,,,,,,,,,,,,
1,10,BB_058,8,,,,,,,,,,,,
1,11,BB_060,1,,,,,,,,,,,,
1,11,BB_060,2,,,,,,,,,,,,
1,11,BB_060,3,https://drive.google.com/file/d/1Zn7-saR8K3j_Vova8wvSVYt8ZmJwRj8_/view?usp=sharing,2022-04-01,,475.731,27.32,,https://drive.google.com/file/d/1tzWenjp9r3MQVsUb5Y8YGt-WajgaJCQ-/view?usp=sharing,2022-03-25,172.168,98.445,mm,
1,11,BB_060,4,,,,,,,,,,,,
1,11,BB_060,5,,,,,,,,,,,,
1,11,BB_060,6,,,,,,,,,,,,
1,11,BB_060,7,,,,,,,,,,,,
1,11,BB_060,8,,,,,,,,,,,,
1,11,BB_071,1,,,,,,,,,,,,
1,11,BB_071,2,,,,,,,,,,,,
1,11,BB_071,3,,,,,,,,,,,,
1,11,BB_071,4,,,,,,,,,,,,
1,11,BB_071,5,,,,,,,,,,,,
1,11,BB_071,6,,,,,,,,,,,,
1,11,BB_071,7,,,,,,,,,,,,
1,11,BB_071,8,,,,,,,,,,,,
1,11,BB_093,1,,,,,,,,,,,,
1,11,BB_093,2,,,,,,,,,,,,
1,11,BB_093,3,,,,,,,,,,,,
1,11,BB_093,4,,,,,,,,,,,,
1,11,BB_093,5,,,,,,,,,,,,
1,11,BB_093,6,,,,,,,,,,,,
1,11,BB_093,7,https://drive.google.com/file/d/1vqbnekjKqQarj5jxrXBXxPLJbkkO8bKU/view?usp=sharing ,2022-03-17,,442.657,26.407,,https://drive.google.com/file/d/1rpveI4pN-XZbK4dmajqXXPpgkysIqsEN/view?usp=sharing ,2022-03-17,99.724,48.311,mm,
1,11,BB_093,8,,,,,,,,,,,,
1,12,BB_018,1,,,,,,,,,,,,
1,12,BB_018,2,,,,,,,,,,,,
1,12,BB_018,3,,,,,,,,,,,,
1,12,BB_018,4,,,,,,,,,,,,
1,12,BB_018,5,,,,,,,,,,,,
1,12,BB_018,6,https://drive.google.com/file/d/1tqg93PyjyAu1BzirgigHV4MkkmqOfLuU/view?usp=sharing,2022-03-25,,460.709,27.293,,https://drive.google.com/file/d/1tzOojgCW3lWT5SsHLKTmgFjhdACTuxzL/view?usp=sharing,2022-03-25,112.23,54.604,mm,
1,12,BB_018,7,,,,,,,,,,,,
1,12,BB_018,8,,,,,,,,,,,,
1,12,BB_068,1,,,,,,,,,,,,
1,12,BB_068,2,https://drive.google.com/file/d/1Zi8n_T25VvMfPMMbedXNSEvWusqT2r-1/view?usp=sharing,2022-04-01,,576.87,30.868,,https://drive.google.com/file/d/1ZmvoJv-w75zixIEkHp9mvVaoSnvsjmIO/view?usp=sharing,2022-04-01,,,,rosette not availble
1,12,BB_068,3,,,,,,,,,,,,
1,12,BB_068,4,,,,,,,,,,,,
1,12,BB_068,5,,,,,,,,,,,,
1,12,BB_068,6,,,,,,,,,,,,
1,12,BB_068,7,,,,,,,,,,,,
1,12,BB_068,8,,,,,,,,,,,,
1,13,BB_131,1,,2022-03-17,,,,,https://drive.google.com/file/d/1ulrz3bH_FFuO13YhxmAY4tFSsiImLLBd/view?usp=sharing ,2022-03-17,29.921,15.98,mm,
1,13,BB_131,2,,,,,,,,,,,,
1,13,BB_131,3,,,,,,,,,,,,
1,13,BB_131,4,,,,,,,,,,,,
