Transect,Sequence,Recipient,Plant_ID,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,(paste here),,,,,,Corolla Diameter,Units,(paste here),Corolla Area,Units,Measurement Notes,,,,URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,Length of longest leaf (mm),Area of smallest polygon that encloses leaf tips and rosette (mm^2),(paste here),,,,,,Length of longest leaf (mm),Units,(paste here),Area of smallest polygon that encloses leaf tips and rosette (mm^2),# of Anthers,
1,11,HR_176,6,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1ipw4n5Joc2WaIXWTGsDhknOXKOPuWepe/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,12,HR_176,7,https://drive.google.com/file/d/1ibyINVqEvAnTJxoIaKffKtptYmsqQr3W/view?usp=sharing,2022-03-24,,,,,,,23.45,mm,,328.36,mm^2,,,,,https://drive.google.com/file/d/1ilRVrBbN4WdazMzxl2M86ugcSdfIOA7f/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,12,HR_176,8,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1ibWVq9R2oFINrwWastxOGNcFKGsD-LsV/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,13,HR_146,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,HR_146,2,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1iVzbMDlfS-07Q4LV_SmNFHc1N6JjNmLp/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,14,HR_146,3,https://drive.google.com/file/d/1iUOC0bb_ksBmDNtl7-voAmSc1PjeC-Hx/view?usp=sharing,2022-03-24,,,,,,,24.054,mm,,372.823,mm^2,,,,,https://drive.google.com/file/d/1iVgxcG4hZKASlKTrD_1YhVYNv9V4kkEV/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,14,HR_146,4,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1iS0TzYcDsRzcs_-T6HxPWdV6vuHysRdn/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,15,HR_146,5,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1iHNPOLn_vdrFVPcmz19jRRk186V8QbeW/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,15,HR_146,6,https://drive.google.com/file/d/1jf4mcPNgw5w4o_SiaYV7CP21TTg6l9q5/view?usp=sharing,2022-03-31,,,,,,,23.324,mm,,300.507,mm^2,,,,,https://drive.google.com/file/d/1iH-gaKoIpAIxTM-rKdXmG4YfTEeq8gaR/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,16,HR_146,7,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1iCL7XiP3axr2GPHQwYFEI2gJxd1NWH9O/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,16,HR_146,8,https://drive.google.com/file/d/1i9f8w08NHa7c-lUr-_w80lKhL6LGJXVc/view?usp=sharing,2022-03-24,,,,,,,20.472,mm,,237.198,mm^2,minor folding,,,,https://drive.google.com/file/d/1iBndJb4Gnr5Hn15sju2V3X1SG6OCoG6L/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,17,HR_177,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,HR_177,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,HR_177,3,https://drive.google.com/file/d/1i6AfVbJZ0Ck1HDrEEh6DgOnPKqoUt-C-/view?usp=sharing,2022-03-24,,,,,,,24.48,mm,,329.487,mm^2,,,,,https://drive.google.com/file/d/1i9RFsaBh-LDkBv71KA3DHBzNhlpF2Y8L/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,18,HR_177,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,HR_177,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,HR_177,6,https://drive.google.com/file/d/1i4cAj4wyGuVKNAfxYveQPLudq4K4M6rq/view?usp=sharing,2022-03-24,,,,,,,25.57,mm,,432.654,mm^2,,,,,https://drive.google.com/file/d/1i65WMk3fUybZX3cMjL4jaSBDGthIORbn/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,20,HR_177,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,HR_177,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,HR_115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,HR_115,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,HR_115,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,HR_115,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,HR_115,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,HR_115,6,https://drive.google.com/file/d/1Mk4QkuubdCyWm06fB1a03EjpAL5rEiCL/view?usp=sharing,2022-03-31,,,,,,,12.55,mm,,120.388,mm^2,"REMOVE - missing petals, data invalid",,,,https://drive.google.com/file/d/1A0dBcZYSxfTs76brfX8hscNFvq4NZSrb/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,24,HR_115,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,HR_115,8,https://drive.google.com/file/d/1hucyfyaNBrue14gMP_FIuN-6HWfWTJJz/view?usp=sharing,2022-03-24,,,,,,,20.43,mm,,290.636,mm^2,,,,,https://drive.google.com/file/d/1i4Ypze8e85Siq1-xZMORXrX8zHX0gnYE/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,25,HR_036,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,HR_036,2,https://drive.google.com/file/d/1hp6KANVZImwyiU5-ZMZyqp0z9FBYEcSP/view?usp=sharing,2022-03-24,,,,,,,21.01,mm,,271.008,mm^2,,,,,https://drive.google.com/file/d/1ht1hWlP-RKsvpU0p-2T7oVW-IgBkNLck/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,26,HR_036,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,HR_036,4,https://drive.google.com/file/d/1aqaNyPbjQUxHxGPFRitRe0RJN0THZxEL/view?usp=sharing,2022-03-31,,,,,,,14.96,mm,,193.89,mm^2,REMOVE - heavily folded,,,,,,,,,,,,,,,,,,,
1,27,HR_036,5,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1hl-HE6HPE1NTvr7yWh7-l_TsJ8N5otJy/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,27,HR_036,6,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1hhXjh6x0kLsOWd_vtHAt4J3BiZQVV68d/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,28,HR_036,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,HR_036,8,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1hdxss2I_now2ejepisAPHCF7ZL8U178G/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,29,HR_033,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,HR_033,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,HR_033,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,HR_033,4,https://drive.google.com/file/d/1hcOUQFFs8a9wpWwytYyRnhfoQUzBEPpW/view?usp=sharing,2022-03-24,,,,,,,19.48,mm,,250.918,mm^2,,,,,https://drive.google.com/file/d/1hd03IyeYAtY7Kpy9-vmoJAjJ7ZR5Fbh0/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,31,HR_033,5,https://drive.google.com/file/d/1DUT_kd7bNvkEcIfIbXyV6V6Ns90CEgMS/view?usp=sharing,2022-03-31,,,,,,,19.99,mm,,261.504,mm^2,,,,,https://drive.google.com/file/d/1hc3RK6gB_epONz_8S5mz5CLObjEtR-4N/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,31,HR_033,6,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1hYBh2eUT9MMNMPckBxmthxYZY3aAYqrl/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,32,HR_033,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,HR_033,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,HR_061,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,HR_061,2,https://drive.google.com/file/d/1hRntGMeyx8Pbj-EoI9tbkdcBUvtwNEbM/view?usp=sharing,2022-03-24,,,,,,,23.06,mm,,382.745,mm^2,,,,,https://drive.google.com/file/d/1hUU4gdkMpWxDXlJFwtaF11IXa7fF6Mb0/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,34,HR_061,3,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1hK3xUqceWLfkR6m7CHqkXNCf2-e0OXjD/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,34,HR_061,4,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1hJujFhqFy_6VnZWlXJjht2hte-ytjdy9/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,35,HR_061,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,HR_061,6,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1hA4G-zN9mxN_lyAFNZ5-twAq5ZeFsGDn/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,36,HR_061,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,HR_061,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,HR_158,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,37,HR_158,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,38,HR_158,3,https://drive.google.com/file/d/1h3PzE0LtYzcXRfQV9Pcl6EcvtdBD9Q_B/view?usp=sharing,2022-03-24,,,,,,,19.12,mm,,253.111,mm^2,,,,,https://drive.google.com/file/d/1h65nVGvjFsVX7s-RBiCqA7m92new51hQ/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,38,HR_158,4,https://drive.google.com/file/d/1btIlBVMd7PtJNeJQr0WEMcAITGkKqj2s/view?usp=sharing,2022-03-31,,,,,,,14.89,mm,,143.178,mm^2,"data does not seem accurate, ruler very slanted",,,,https://drive.google.com/file/d/1FE_lZdMkTvFhcBV_PvXrikDhFZU2cO_C/view?usp=sharing,2022-03-31,,,,,,,,,,,,,4,
1,39,HR_158,5,https://drive.google.com/file/d/1glCwocGr1jRnyBJ3I10neHNg8fwTD6Nz/view?usp=sharing,2022-03-24,,,,,,,21.95,mm,,322.712,mm^2,,,,,https://drive.google.com/file/d/1ghTRKHZKhjgMb6S_BIrDk9dveBbWtPKb/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,39,HR_158,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,HR_158,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,40,HR_158,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,41,HR_175,1,https://drive.google.com/file/d/1gLwsryWRaEyixi8wpNA8_5K2JYW1Uqcz/view?usp=sharing,2022-03-24,,,,,,,20.09,mm,,259.314,mm^2,,,,,https://drive.google.com/file/d/1gYp4DgdSHiBhVkByI3eaMFKIBqA8gg6t/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,41,HR_175,2,https://drive.google.com/file/d/1g8idKUA3trfnwEzY-iY4GcLRLUOAWEnQ/view?usp=sharing,2022-03-24,,,,,,,26.903,mm,,374.145,mm^2,"ID says 75, not 175",,,,https://drive.google.com/file/d/1gHJBD5ETqs_qMDkH06HnIeaCsJljNE5l/view?usp=sharing,2022-03-24,,,,,,,,,,,,,,
1,42,HR_175,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,42,HR_175,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,HR_175,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,43,HR_175,6,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/1s648w0h8lKWczrXnAY7xE6yz3Bnv0cfY/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,44,HR_175,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44,HR_175,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45,HR_005,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45,HR_005,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,46,HR_005,3,https://drive.google.com/file/d/1mOBJxQw6Wuk8O-FHb8XVcXfZkkC3SmW4/view?usp=sharing,2022-03-31,,,,,,,25.549,mm,,349.027,mm^2,ruler very angled,,,,https://drive.google.com/file/d/1YPiTPakkszjS4YDeo4uZoCNgEsVloUPM/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,46,HR_005,4,https://drive.google.com/file/d/1BIUVf6L8AMjpSATraoXdrP3OOK3eBM81/view?usp=sharing,2022-03-31,,,,,,,23.835,mm,,289.23,mm^2,folding,,,,https://drive.google.com/file/d/1yDyVJ55lgpxX2Lo2XjTSF_MkU1LDB6cZ/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,47,HR_005,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47,HR_005,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,HR_005,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,48,HR_005,8,https://drive.google.com/file/d/11R7BaLMB_Hk9QCTnZcNH9JgDkeoHiaOL/view?usp=sharing,2022-03-31,,,,,,,17.504,mm,,164.503,mm^2,folding,,,,https://drive.google.com/file/d/1CLqB8j2pOkz9aUe9Q4fFd3aaz3IJ-4l6/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,49,HR_057,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,HR_057,2,https://drive.google.com/file/d/1oGv5OhYQQE9Ljz2hhBbr1Ej68lvPB3jQ/view?usp=sharing,2022-04-14,,,,,,,23.364,mm,,303.002,mm^2,,,,,,,,,,,,,,,,,,,,
1,50,HR_057,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,50,HR_057,4,https://drive.google.com/file/d/14Izb7N9VExZ_Sp79b-zqVz0ulr1Lb4J4/view?usp=sharing,2022-03-31,,,,,,,23.514,mm,,326.999,mm^2,,,,,https://drive.google.com/file/d/1nQRehKKrV1fzxcwpX6h0IABwWRz7nxcr/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,51,HR_057,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51,HR_057,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52,HR_057,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,52,HR_057,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,HR_170,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,53,HR_170,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,HR_170,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,54,HR_170,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,55,HR_170,5,https://drive.google.com/file/d/15lw3xGjBeYzTcXukIhZfbN0ZlsSEmz0M/view?usp=sharing,2022-03-31,,,,,,,23.471,mm,,290.695,mm^2,,,,,https://drive.google.com/file/d/1D6BC-rHivUAP0TV-NaA3PJbnSHI_aaeT/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,55,HR_170,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,56,HR_170,7,https://drive.google.com/file/d/1W0GDLaK3-cP_yB2M6kgOqJM7b8YKCQOI/view?usp=sharing,2022-04-14,,,,,,,25.854,mm,,367.329,mm^2,,,,,,,,,,,,,,,,,,,,
1,56,HR_170,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,HR_114,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,57,HR_114,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,HR_114,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,58,HR_114,4,https://drive.google.com/file/d/1dgf-U3PzSDaYQ_-SYtT5scaP2VLCTEfj/view?usp=sharing,2022-03-31,,,,,,,16.531,mm,,173.664,mm^2,minor folding,,,,https://drive.google.com/file/d/1atult5nwqs8ER2K8-CUo4ygbt-_Nlr3K/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,59,HR_114,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,HR_114,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,60,HR_114,7,https://drive.google.com/file/d/17lJNzUs8a5VsERuWgtjK9emIpQ4T62k4/view?usp=sharing,2022-04-07,,,,,,,19.156,mm,,227.766,mm^2,,,,,https://drive.google.com/file/d/17mPwDzyQZWvlg-twVJB_pcRvDdPedfI0/view?usp=sharing,2022-04-07,,,,,,,,,,,,,,
1,60,HR_114,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,61,HR_108,1,https://drive.google.com/file/d/17fSKFu46Vo7ZZBrvyw2MA_5oznKO2t2u/view?usp=sharing,2022-04-07,,,,,,,19.131,mm,,244.052,mm^2,,,,,https://drive.google.com/file/d/17kRS-y5NZuYThPT7X1XRTJYa-XIR7cJ-/view?usp=sharing,2022-04-07,,,,,,,,,,,,,,
1,61,HR_108,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,HR_108,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,HR_108,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,HR_108,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,63,HR_108,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,HR_108,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,64,HR_108,8,https://drive.google.com/file/d/1didyZ-vvNFEmmEovXhpwfP9XIId9Sc9g/view?usp=sharing,2022-03-31,,,,,,,17.005,mm,,160.503,mm^2,,,,,https://drive.google.com/file/d/1rrtdSpdJhGYHHSjfLuizNZ6eMX8dME6a/view?usp=sharing,2022-03-31,,,,,,,,,,,,,,
1,65,HR_196,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,65,HR_196,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,HR_196,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,66,HR_196,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,67,HR_196,5,https://drive.google.com/file/d/17QN2uvCphR55fUuaLmBBrXamwVE_1p0F/view?usp=sharing,2022-04-07,,,,,,,22.906,mm,,316.274,mm^2,,,,,https://drive.google.com/file/d/17atwANaGHsfXgW1FyrvqHh0oSefdBk5r/view?usp=sharing,2022-04-07,,,,,,,,,,,,,,
1,67,HR_196,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,HR_196,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,68,HR_196,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,HR_046,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,HR_046,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,70,HR_046,3,https://drive.google.com/file/d/1TnTG9Wg6m-DehS8hWD4SvKryqyXll-0L/view?usp=sharing,2022-04-14,,,,,,,18.159,mm,,185.764,mm^2,,,,,https://drive.google.com/file/d/1guwjutA2qucPXDgtaCiRSX4AvGc-NT6P/view?usp=sharing,2022-04-14,,,,,,,,,,,,,,
1,70,HR_046,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,71,HR_046,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,71,HR_046,6,https://drive.google.com/file/d/17HOsoCDTkayzn0trVV9Wf99s-4SHkgbY/view?usp=sharing,2022-04-07,,,,,,,20.159,mm,,244.543,mm^2,,,,,https://drive.google.com/file/d/17Mo3_vtBcRqCWoNKfC3uwYRUP4ELNpgu/view?usp=sharing,2022-04-07,,,,,,,,,,,,,,
1,72,HR_046,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,72,HR_046,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,73,HR_020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,73,HR_020,2,https://drive.google.com/file/d/17Cg3gW5pauLxAzt2rjnVTGqWRxytE64Q/view?usp=sharing,2022-04-07,,,,,,,20.992,mm,,289.896,mm^2,,,,,https://drive.google.com/file/d/17GJnsTmb2oIe4RsSLYiqLYCHB_GN6mXi/view?usp=sharing,2022-04-07,,,,,,,,,,,,,,
1,74,HR_020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,74,HR_020,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,75,HR_020,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,75,HR_020,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,76,HR_020,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,76,HR_020,8,,,,,,,,,,,,,,,,,,https://drive.google.com/file/d/17HAYK0GsJnXOzJu2aFigdAWuMx0Eh7q8/view?usp=sharing,2022-04-07,,,,,,,,,,,,,,
1,77,HR_016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,77,HR_016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,78,HR_016,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,78,HR_016,4,https://drive.google.com/file/d/17A7aU3tIFYi-vO7QpHYe_WRPPn27gFPS/view?usp=sharing,2022-04-07,,,,,,,20.316,mm,,260.823,mm^2,,,,,https://drive.google.com/file/d/17Bb0cKviG9BNdd6mGfN-TdRK8kkypu-f/view?usp=sharing,2022-04-07,,,,,,,,,,,,,,
1,79,HR_016,5,https://drive.google.com/file/d/186BxCsriKV7GLKmj_j0Y8o1qFAI5vneT/view?usp=sharing,2022-04-14,,,,,,,21.776,mm,,265.586,mm^2,,,,,https://drive.google.com/file/d/1M8kC1Wsh7w3b4oE65-4YveBdrje_rq3m/view?usp=sharing,2022-04-14,,,,,,,,,,,,,,
1,79,HR_016,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,80,HR_016,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,80,HR_016,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
