Transect,Sequence,Recipient,Plant_ID,URL of JPEG of Flower,Date_Flower_Photo_Taken_yr-mo-day,Corolla Diameter,Units,Corolla Area,Units,measurement notes,URL of JPEG of Rosette,Date_Rosette_Photo_Taken_yr-mo-day,(paste here),,,,,,Rosette Diameter (mm),Rosette Radius (center to tip of farthest extruding leaf),Units,Notes,,Area of smallest polygon that encloses leaf tips and rosette (mm^2)
1,8,AC_191,6,https://drive.google.com/file/d/1JaXEMq43R-oiSaJqf3YI1ZJN-bMqQTT9/view?usp=sharing,2022-05-03,26.587,mm,424.783,mm,,,,,,,,,,,,,,,
1,9,AC_191,7,,,,,,,,,,,,,,,,,,,,,
1,9,AC_191,8,,,,,,,,,,,,,,,,,,,,,
1,10,AC_191,9,,,,,,,,,,,,,,,,,,,,,
1,10,AC_191,10,,,,,,,,,,,,,,,,,,,,,
1,11,AC_107,1,,,,,,,,,,,,,,,,,,,,,
1,11,AC_107,2,,,,,,,,,,,,,,,,,,,,,
1,12,AC_107,3,,,,,,,,,,,,,,,,,,,,,
1,12,AC_107,4,https://drive.google.com/file/d/1JSJFtDLN8F-vp3vfD4HZBN4EwcnfUZzq/view?usp=sharing,2022-05-03,22.24,mm,305.431,mm,,https://drive.google.com/file/d/1JV8AE1b2Chy-2KaOYz5Ks8LDYgiMrysG/view?usp=sharing,2022-05-03,,,,,,,74.422,49.97,mm,,,
1,13,AC_107,5,,,,,,,,,,,,,,,,,,,,,
1,13,AC_107,6,,,,,,,,,,,,,,,,,,,,,
1,14,AC_107,7,,,,,,,,,,,,,,,,,,,,,
1,14,AC_107,8,,,,,,,,,,,,,,,,,,,,,
1,15,AC_107,9,,,,,,,,,,,,,,,,,,,,,
1,15,AC_107,10,,,,,,,,,,,,,,,,,,,,,
1,16,AC_109,1,https://drive.google.com/file/d/1JP04mw6QOd5he4qGp8Zrz8Ot89QLnsP0/view?usp=sharing,2022-05-03,22.373,mm,299.692,mm,,https://drive.google.com/file/d/1JQhQW0SbCuP9gYGWOmeLp1bnr5YqEtz1/view?usp=sharing,2022-05-03,,,,,,,158.423,105.932,mm,"long branch, not rosette",,
1,16,AC_109,2,,,,,,,,,,,,,,,,,,,,,
1,17,AC_109,3,https://drive.google.com/file/d/1_ZHoB9Ylmu30NHrM0_bi1lefZAv6bQxb/view?usp=sharing,2022-04-21,23.335,mm,298.597,mm,,https://drive.google.com/file/d/1_haFh6bb8597EuJubxTXHK6ndnKaO-mN/view?usp=sharing,2022-04-21,,,,,,,96.017,53.525,mm,,,
1,17,AC_109,4,https://drive.google.com/file/d/1JHEyIjqdXTISXLpQwH_vMFyoc3cInfBn/view?usp=sharing,2022-05-03,23.555,mm,311.127,mm,,https://drive.google.com/file/d/1JKL7OKrSM3iJtrNa4Ert6ekiARg0GxPe/view?usp=sharing,2022-05-03,,,,,,,51.261,32.481,mm,"branches were tall, not in same plane as rest of plant",,
1,18,AC_109,5,https://drive.google.com/file/d/1_R1Rl3Xn551taHNQjU4kvr913UgJPWv2/view?usp=sharing,2022-04-21,20.671,mm,224.838,mm,,https://drive.google.com/file/d/1_VnrAnosejzO0yNDIpRZl98oNj8pDkFc/view?usp=sharing,2022-04-21,,,,,,,99.617,58.064,mm,,,
1,18,AC_109,6,,,,,,,,,,,,,,,,,,,,,
1,19,AC_109,7,,,,,,,,,,,,,,,,,,,,,
1,19,AC_109,8,,,,,,,,,,,,,,,,,,,,,
1,20,AC_109,9,,,,,,,,,,,,,,,,,,,,,
1,20,AC_109,10,https://drive.google.com/file/d/1_NfpeAP1fcbVMkHW7Yrah7a4E0oBsXda/view?usp=sharing,2022-04-21,18.969,mm,201.961,mm,,https://drive.google.com/file/d/1_QAoV5m37oZ2ftifj1LrW1p6ShgSQuwl/view?usp=sharing,2022-04-21,,,,,,,70.318,40.171,mm,,,
1,21,AC_110,1,,,,,,,,,,,,,,,,,,,,,
1,21,AC_110,2,,,,,,,,,,,,,,,,,,,,,
1,22,AC_110,3,,,,,,,,,,,,,,,,,,,,,
1,22,AC_110,4,https://drive.google.com/file/d/1JDkSxqd-mVQ-iHcI1ccmBVzFrUMwqyLS/view?usp=sharing,2022-05-03,27.268,mm,,,furled petals,https://drive.google.com/file/d/1JETJ0P570UQAeOK0yEMxxyo2U5r0rkaZ/view?usp=sharing,2022-05-03,,,,,,,114.823,58.022,mm,,,
1,23,AC_110,5,,,,,,,,,,,,,,,,,,,,,
1,23,AC_110,6,,,,,,,,,,,,,,,,,,,,,
1,24,AC_110,7,https://drive.google.com/file/d/1_JOWULz32L-L5taTGNCZnnsku8-rlLJ2/view?usp=sharing,2022-04-21,20.562,mm,282.644,mm,,https://drive.google.com/file/d/1_KdKphGtND9tKycdnJUyatIcd7x2L-lQ/view?usp=sharing,2022-04-21,,,,,,,77.759,45.594,mm,,,
1,24,AC_110,8,,,,,,,,,,,,,,,,,,,,,
1,25,AC_110,9,,,,,,,,,,,,,,,,,,,,,
1,25,AC_110,10,,,,,,,,,,,,,,,,,,,,,
1,26,AC_48,1,,,,,,,,,,,,,,,,,,,,,
1,26,AC_48,2,,,,,,,,,,,,,,,,,,,,,
1,27,AC_48,3,,,,,,,,,,,,,,,,,,,,,
1,27,AC_48,4,https://drive.google.com/file/d/1_Awi6_yBS8gWh7g678wge1B4GtzTVBhn/view?usp=sharing,2022-04-21,14.48,mm,135.878,mm,,https://drive.google.com/file/d/1_CGaBR_qbUlsV1r0y5-I6VsZI_-1e7nP/view?usp=sharing,2022-04-21,,,,,,,86.465,46.449,mm,,,
1,28,AC_48,5,,,,,,,,,,,,,,,,,,,,,
1,28,AC_48,6,,,,,,,,,,,,,,,,,,,,,
1,29,AC_48,7,,,,,,,,,,,,,,,,,,,,,
1,29,AC_48,8,,,,,,,,,,,,,,,,,,,,,
1,30,AC_48,9,,,,,,,,,,,,,,,,,,,,,
1,30,AC_48,10,,,,,,,,,,,,,,,,,,,,,
1,31,AC_190,1,,,,,,,,,,,,,,,,,,,,,
1,31,AC_190,2,https://drive.google.com/file/d/1oF823vf_dYMXXufickZ5WMyQ4-0OEOO4/view?usp=sharing,2022-05-03,23.394,mm,347.924,mm,,https://drive.google.com/file/d/1_7Zj7JAwEZpFVeqVpvWIBudW8imIGQ-3/view?usp=sharing,2022-04-21,,,,,,,63.047,34.611,mm,,,
1,32,AC_190,3,https://drive.google.com/file/d/1_4Jim8BXd09ncITv_i0o2vORT-ZvI1oj/view?usp=sharing,2022-04-21,24.025,mm,336.459,mm,,https://drive.google.com/file/d/1_4OcgckjmdHA9YVZ57a3Wo-7TNMzjaiP/view?usp=sharing,2022-04-21,,,,,,,69.099,35.69,mm,,,
1,32,AC_190,4,https://drive.google.com/file/d/1ZyZ8vEQ1xGiIFIDSYBZuNxWcHJZofQ8K/view?usp=sharing,2022-04-21,21.69,mm,286.634,mm,,https://drive.google.com/file/d/1_3GnrpUAHeKM79AK4J1MyW-BEdqwADma/view?usp=sharing,2022-04-21,,,,,,,76.236,43.001,mm,,,
1,33,AC_190,5,,,,,,,,,,,,,,,,,,,,,
1,33,AC_190,6,,,,,,,,,,,,,,,,,,,,,
1,34,AC_190,7,,,,,,,,,,,,,,,,,,,,,
1,34,AC_190,8,,,,,,,,,,,,,,,,,,,,,
1,35,AC_190,9,,,,,,,,,,,,,,,,,,,,,
1,35,AC_190,10,,,,,,,,,,,,,,,,,,,,,
1,36,AC_74,1,,,,,,,,,,,,,,,,,,,,,
1,36,AC_74,2,,,,,,,,,,,,,,,,,,,,,
1,37,AC_74,3,,,,,,,,,,,,,,,,,,,,,
1,37,AC_74,4,,,,,,,,,,,,,,,,,,,,,
1,38,AC_74,5,https://drive.google.com/file/d/1ZsFY8RhciQx3T7M-Gyl0suNkfdoAO0yw/view?usp=sharing,2022-04-21,20.74,mm,284.843,mm,,https://drive.google.com/file/d/1ZxDkH-_hYxLHhxblrru9OCsCVmdcHOHQ/view?usp=sharing,2022-04-21,,,,,,,90.159,47.806,mm,,,
1,38,AC_74,6,https://drive.google.com/file/d/1Zjd6xq0iZ2i5jaj4vsTDHSTOyMfFAnJ3/view?usp=sharing,2022-04-21,15.81,mm,173.247,mm,,https://drive.google.com/file/d/1ZmqWQhoChz9TO1I4NLClNmvE2jPS7MGz/view?usp=sharing,2022-04-21,,,,,,,40.332,23.078,mm,,,
1,39,AC_74,7,,,,,,,,,,,,,,,,,,,,,
1,39,AC_74,8,,,,,,,,,,,,,,,,,,,,,
1,40,AC_74,9,,,,,,,,,,,,,,,,,,,,,
1,40,AC_74,10,,,,,,,,,,,,,,,,,,,,,
1,41,AC_130,1,,,,,,,,,,,,,,,,,,,,,
1,41,AC_130,2,,,,,,,,,,,,,,,,,,,,,
1,42,AC_130,3,,,,,,,,,,,,,,,,,,,,,
1,42,AC_130,4,,,,,,,,,,,,,,,,,,,,,
1,43,AC_130,5,,,,,,,,,,,,,,,,,,,,,
1,43,AC_130,6,,,,,,,,,,,,,,,,,,,,,
1,44,AC_130,7,,,,,,,,,,,,,,,,,,,,,
1,44,AC_130,8,,,,,,,,,,,,,,,,,,,,,
1,45,AC_130,9,https://drive.google.com/file/d/1Zd1S4-LqFY0nNHW17TKsul374mjlai2w/view?usp=sharing,2022-04-21,23.254,mm,319.104,mm,,https://drive.google.com/file/d/1ZdU6Ln3HEFd0ZurHp3PTnWkgCPu9Mr65/view?usp=sharing,2022-04-21,,,,,,,64.051,41.03,mm,,,
1,45,AC_130,10,https://drive.google.com/file/d/1Smk7VCVpV36PHqx1YrVUm9T4ud1uezIi/view?usp=sharing,2022-05-13,20.151,mm,244.007,mm,,https://drive.google.com/file/d/1ShT6zaJUP_366N7ituZT3vqVjYFlllTI/view?usp=sharing,2022-05-13,,,,,,,39.886,26.649,mm,,,
1,46,AC_70,1,,,,,,,,,,,,,,,,,,,,,
1,46,AC_70,2,,,,,,,,,,,,,,,,,,,,,
1,47,AC_70,3,,,,,,,,,,,,,,,,,,,,,
1,47,AC_70,4,,,,,,,,,,,,,,,,,,,,,
1,48,AC_70,5,https://drive.google.com/file/d/1b5StAiBlVesl7ZM88dM9r-ivkgcsmNbJ/view?usp=sharing ,2022-04-09,17.3,mm,,,REMOVE - petals missing,https://drive.google.com/file/d/1jaCray0F6ecVAecuEzmqtwGdKYMO31el/view?usp=sharing ,2022-04-09,,,,,,,90.232,51.161,mm,,,
1,48,AC_70,6,,,,,,,,,,,,,,,,,,,,,
1,49,AC_70,7,https://drive.google.com/file/d/1ZU5n7NkKwOHmhAbdTVjiwAckWbL1oyHi/view?usp=sharing,2022-04-21,19.016,mm,205.635,mm,,https://drive.google.com/file/d/1ZYLiDbVhz24qsIPB9IpRDZKr4vhwm7X6/view?usp=sharing,2022-04-21,,,,,,,55.688,33.111,mm,,,
1,49,AC_70,8,https://drive.google.com/file/d/1ZLdB723JZ159CO7EhfH9YkYgXGUQjP7f/view?usp=sharing,2022-04-21,17.694,mm,169.038,mm,,https://drive.google.com/file/d/1ZTFXukItLEA8loPgIEBaS-LTDSQoMy8E/view?usp=sharing,2022-04-21,,,,,,,33.987,22.035,mm,,,
1,50,AC_70,9,https://drive.google.com/file/d/1Z7IIHzUwt77QUvYs69NBbM1KqfQHv_fp/view?usp=sharing,2022-04-21,20.256,mm,225.473,mm,,https://drive.google.com/file/d/1ZCKhPO48FPxDY--CFSBqGsfyaJQV3Jdb/view?usp=sharing,2022-04-21,,,,,,,41.309,21.415,mm,,,
1,50,AC_70,10,,,,,,,,,,,,,,,,,,,,,
1,51,AC_181,1,,,,,,,,,,,,,,,,,,,,,
1,51,AC_181,2,,,,,,,,,,,,,,,,,,,,,
1,52,AC_181,3,,,,,,,,,,,,,,,,,,,,,
1,52,AC_181,4,,,,,,,,,,,,,,,,,,,,,
1,53,AC_181,5,https://drive.google.com/file/d/1Z1txKPh3TSltJF_ACxUvBI-bPqoCnhVj/view?usp=sharing,2022-04-21,17.488,mm,175.797,mm,,https://drive.google.com/file/d/1Z3Zn8YkULFrjC6TlluyTEC1bOQNdibO9/view?usp=sharing,2022-04-21,,,,,,,7.769,5.188,mm,,,
1,53,AC_181,6,,,,,,,,,,,,,,,,,,,,,
1,54,AC_181,7,https://drive.google.com/file/d/1ZzqdkCmJ9MqjV9mp3qyMHb6SCdnbTIkt/view?usp=sharing ,2022-04-09,15.676,mm,152.993,mm,,https://drive.google.com/file/d/1nhmPMWm8SoAN_D6763bp47DW46Spr17m/view?usp=sharing,2022-04-09,,,,,,,31.274,15.835,mm,,,
1,54,AC_181,8,,,,,,,,,,,,,,,,,,,,,
1,55,AC_181,9,,,,,,,,,,,,,,,,,,,,,
1,55,AC_181,10,,,,,,,,,,,,,,,,,,,,,
1,56,AC_46,1,,,,,,,,,,,,,,,,,,,,,
1,56,AC_46,2,https://drive.google.com/file/d/1r10MDYFCSn2SZeh6ZY_iQk9iNhCVLf6y/view?usp=sharing,2022-04-09,14.482,mm,93.746,mm,,https://drive.google.com/file/d/1F3h29o35fi2XKcTwTSnVeyoRasLCqxrf/view?usp=sharing,2022-04-09,,,,,,,71.44,35.946,mm,,,
1,57,AC_46,3,https://drive.google.com/file/d/1XoDpVxEybEwEanskHyyIuJFQlJCay6K8/view?usp=sharing,2022-04-09,18.568,mm,218.013,mm,,https://drive.google.com/file/d/1vJZ7p0PwsQQkRt51_Aj14von5oCrnMRv/view?usp=sharing; https://drive.google.com/file/d/1YrgOqjOLSGAnX7YyXlxbDX9GAPY8bhBj/view?usp=sharing,2022-04-09; 2022-04-21,,,,,,,57.58,31.477,mm,,,
1,57,AC_46,4,,,,,,,,,,,,,,,,,,,,,
1,58,AC_46,5,,,,,,,,,,,,,,,,,,,,,
1,58,AC_46,6,https://drive.google.com/file/d/1aHL_VqFc3vXhMgw2eAHLfP8geqZoeFLs/view?usp=sharing,2022-04-09,16.678,mm,157.311,mm,,https://drive.google.com/file/d/1fMA_UJMj-HhmeGKRP2AK6DEZYwyUzEI6/view?usp=sharing,2022-04-09,,,,,,,65.78,32.512,mm,,,
1,59,AC_46,7,,,,,,,,,,,,,,,,,,,,,
1,59,AC_46,8,,,,,,,,,,,,,,,,,,,,,
1,60,AC_46,9,,,,,,,,,,,,,,,,,,,,,
1,60,AC_46,10,,,,,,,,,,,,,,,,,,,,,
1,61,AC_131,1,,,,,,,,,,,,,,,,,,,,,
1,61,AC_131,2,,,,,,,,,,,,,,,,,,,,,
1,62,AC_131,3,,,,,,,,,,,,,,,,,,,,,
1,62,AC_131,4,,,,,,,,,,,,,,,,,,,,,
1,63,AC_131,5,,,,,,,,,,,,,,,,,,,,,
1,63,AC_131,6,https://drive.google.com/file/d/1YiRuOZ8egUvYlpoy3KtF1U4om2rBPkAu/view?usp=sharing,2022-04-21,19.512,mm,214.568,mm,,https://drive.google.com/file/d/1YjOLMe2V3W4rftyu2f1EK0i0SpKarYFK/view?usp=sharing,2022-04-21,,,,,,,75.638,49.351,mm,,,
1,64,AC_131,7,,,,,,,,,,,,,,,,,,,,,
1,64,AC_131,8,https://drive.google.com/file/d/1YbMZSORFBCpwXatPoUQViQKOZ6ZiwhQ-/view?usp=sharing,2022-04-21,21.264,mm,294.44,mm,,https://drive.google.com/file/d/1YfCHkOH7pFFxaBBtALS00NKuTYCXVYeI/view?usp=sharing,2022-04-21,,,,,,,70.909,35.918,mm,,,
1,65,AC_131,9,,,,,,,,,,,,,,,,,,,,,
1,65,AC_131,10,,,,,,,,,,,,,,,,,,,,,
1,66,AC_86,1,https://drive.google.com/file/d/1lGjgOF6cWDOhote8aTETtE-dyDZURIX-/view?usp=sharing,2022-04-09,23.391,mm,326.061,mm,,https://drive.google.com/file/d/1pfYCCgPUKOTtldXvOoKeqzxLVinyx6rj/view?usp=sharing,2022-04-09,,,,,,,51.035,27.144,mm,,,
1,66,AC_86,2,,,,,,,,,,,,,,,,,,,,,
1,67,AC_86,3,,,,,,,,,,,,,,,,,,,,,
1,67,AC_86,4,https://drive.google.com/file/d/1YAsTsVCmuBLnn4O3os2ypt_4SsDXT0Vt/view?usp=sharing,2022-04-21,23.884,mm,319.134,mm,,https://drive.google.com/file/d/1YELpCFeisfcg42I3tmZCktYRF3E1NOn4/view?usp=sharing,2022-04-21,,,,,,,62.16,43.023,mm,,,
1,68,AC_86,5,https://drive.google.com/file/d/1NpiJ-SriDm70bUi55Xb6oz4bPGltT7Vd/view?usp=sharing,2022-04-09,19.43,mm,232.377,mm,,https://drive.google.com/file/d/1wFNXWHUr1egsoLPgypZhhH5W1BiQG4EY/view?usp=sharing,2022-04-09,,,,,,,59.318,42.889,mm,,,
1,68,AC_86,6,,,,,,,,,,,,,,,,,,,,,
1,69,AC_86,7,,,,,,,,,,,,,,,,,,,,,
1,69,AC_86,8,,,,,,,,,,,,,,,,,,,,,
1,70,AC_86,9,,,,,,,,,,,,,,,,,,,,,
1,70,AC_86,10,,,,,,,,,,,,,,,,,,,,,
1,71,AC_56,1,,,,,,,,,,,,,,,,,,,,,
1,71,AC_56,2,,,,,,,,,,,,,,,,,,,,,
1,72,AC_56,3,,,,,,,,,,,,,,,,,,,,,
1,72,AC_56,4,,,,,,,,,,,,,,,,,,,,,
1,73,AC_56,5,https://drive.google.com/file/d/1Lp60wsBrKAvIQMjurFiMcYSb3B6r0noB/view?usp=sharing,2022-04-09,16.068,mm,,,one petal not flat,https://drive.google.com/file/d/1K2XvrVOu3Ve_2qlZKmhmrwo-1QxVPS59/view?usp=sharing,2022-04-09,,,,,,,36.896,20.166,mm,,,
1,73,AC_56,6,,,,,,,,,,,,,,,,,,,,,
1,74,AC_56,7,,,,,,,,,,,,,,,,,,,,,
1,74,AC_56,8,https://drive.google.com/file/d/1Z6MDT-CnH3tme6mOza3BUhMKFa_22Sr9/view?usp=sharing,2022-04-09,18.834,mm,210.372,mm,,https://drive.google.com/file/d/1P7HQWatimTK0NPPt97doJaOY4LLtbu5R/view?usp=sharing,2022-04-09,,,,,,,51.878,26.798,mm,,,
1,75,AC_56,9,,,,,,,,,,,,,,,,,,,,,
1,75,AC_56,10,,,,,,,,,,,,,,,,,,,,,
1,76,AC_203,1,,,,,,,,https://drive.google.com/file/d/15Xj52kdWmb-oab07wRH4-rz1bZoYeobc/view?usp=sharing,2022-04-09,,,,,,,,,,,,
1,76,AC_203,2,https://drive.google.com/file/d/1Y1Cayu_TpgCfYSpdA6buv7CdJ_js-aN_/view?usp=sharing,2022-04-21,22.301,mm,305.217,mm,,https://drive.google.com/file/d/1Y56pIxAEqCZ8Eub8dWJZ3XjjsdQTveqH/view?usp=sharing,2022-04-21,,,,,,,63.336,31.049,mm,,,
1,77,AC_203,3,https://drive.google.com/file/d/1Xst_T0MwWzXYN8lTxer8VecQcyDcodfw/view?usp=sharing,2022-04-21,23.661,mm,338.744,mm,,https://drive.google.com/file/d/1Y-f6GZ_82WUdxZTI-rHRK_IpD5rqX15B/view?usp=sharing,2022-04-21,,,,,,,83.052,48.709,mm,,,
1,77,AC_203,4,,,,,,,,,,,,,,,,,,,,,
1,78,AC_203,5,,,,,,,,,,,,,,,,,,,,,
1,78,AC_203,6,,,,,,,,,,,,,,,,,,,,,
1,79,AC_203,7,,,,,,,,,,,,,,,,,,,,,
1,79,AC_203,8,,,,,,,,,,,,,,,,,,,,,
1,80,AC_203,9,,,,,,,,,,,,,,,,,,,,,
1,80,AC_203,10,,,,,,,,,,,,,,,,,,,,,
1,81,AC_62,1,,,,,,,,,,,,,,,,,,,,,
1,81,AC_62,2,,,,,,,,,,,,,,,,,,,,,
1,82,AC_62,3,,,,,,,,,,,,,,,,,,,,,
1,82,AC_62,4,,,,,,,,,,,,,,,,,,,,,
1,83,AC_62,5,,,,,,,,,,,,,,,,,,,,,
1,83,AC_62,6,https://drive.google.com/file/d/1UeaFy0GJ9s-2YexpUF0c1zknHQVCBQEq/view?usp=sharing,2022-04-09,21.473,mm,264.316,mm,,https://drive.google.com/file/d/15Xj52kdWmb-oab07wRH4-rz1bZoYeobc/view?usp=sharing,2022-04-09,,,,,,,70.948,44.678,mm,,,
1,84,AC_62,7,,,,,,,,,,,,,,,,,,,,,
1,84,AC_62,8,,,,,,,,,,,,,,,,,,,,,
1,85,AC_62,9,,,,,,,,,,,,,,,,,,,,,
1,85,AC_62,10,,,,,,,,,,,,,,,,,,,,,
1,86,AC_97,1,https://drive.google.com/file/d/1pX51iErxzMsl1Xe8dkMAiOZODl58WWiY/view?usp=sharing,2022-04-09,21.262,mm,258.556,mm,,https://drive.google.com/file/d/1GuX4boyuAfjkkHTEG80GPyzCiRhT1K7j/view?usp=sharing,2022-04-09,,,,,,,66.299,35.936,mm,,,
1,86,AC_97,2,https://drive.google.com/file/d/1NrI9FBL14PBl2EHjTefnTx34PitLitC5/view?usp=sharing,2022-04-09,21.528,mm,298.465,mm,,https://drive.google.com/file/d/1xC_wXRF7140au4yhq_kII_6bGokCDSFw/view?usp=sharing,2022-04-09,,,,,,,94.88,51.484,mm,,,
1,87,AC_97,3,https://drive.google.com/file/d/1gsdUK10QJA2Y73c0ob9pb2f8hCiCWUEB/view?usp=sharing,2022-04-09,18.534,mm,212.036,mm,,https://drive.google.com/file/d/1bMMKBjenrQNC0YyukBIcpHSr6fy1GF88/view?usp=sharing,2022-04-09,,,,,,,149.312,96.119,mm,,,
1,87,AC_97,4,,,,,,,,,,,,,,,,,,,,,
1,88,AC_97,5,,,,,,,,,,,,,,,,,,,,,
1,88,AC_97,6,,,,,,,,,,,,,,,,,,,,,
1,89,AC_97,7,https://drive.google.com/file/d/1XnSt5wbEnVgxBc3fdWW5x9k-dGCNH5VO/view?usp=sharing,2022-04-09,18.837,mm,228.104,mm,,https://drive.google.com/file/d/19eFvSWoBpoPKDGUldPDKrVtqQBwd9oGQ/view?usp=sharing,2022-04-09,,,,,,,50.775,28.076,mm,,,
1,89,AC_97,8,,,,,,,,,,,,,,,,,,,,,
1,90,AC_97,9,https://drive.google.com/file/d/1XfEZfwXcWEUYj305VYNCxA33LnFW6SK9/view?usp=sharing,2022-04-21,19.739,mm,217.91,mm,,https://drive.google.com/file/d/1XlmlNLxmpwrgX_PelreznZ9QvYsOfa8I/view?usp=sharing,2022-04-21,,,,,,,44.129,28.297,mm,,,
1,90,AC_97,10,,,,,,,,,,,,,,,,,,,,,
1,91,AC_89,1,,,,,,,,,,,,,,,,,,,,,
1,91,AC_89,2,,,,,,,,,,,,,,,,,,,,,
1,92,AC_89,3,https://drive.google.com/file/d/1MfIq-_mKiyl1kwxFm0VoaS6xd53JwbMw/view?usp=sharing,2022-04-09,18.806,mm,213.283,mm,,https://drive.google.com/file/d/147-BwH2h3srwTLlEAqvqRIC6-dWUii9z/view?usp=sharing,2022-04-09,,,,,,,48.157,23.476,mm,,,
1,92,AC_89,4,https://drive.google.com/file/d/1QT7PrU0GaQWsTtcDspBV90h6YJ6PYuok/view?usp=sharing,2022-04-09,18.361,mm,191.792,mm,,https://drive.google.com/file/d/1UZmZDob6GfxYOXrlhwtlTIfLJQcURrxq/view?usp=sharing,2022-04-09,,,,,,,78.22,37.131,mm,,,
1,93,AC_89,5,https://drive.google.com/file/d/1Oq34R1BVyCGtnDVA-r2PEv8vjKgW_yyr/view?usp=sharing,2022-04-09,23.91,mm,329.761,mm,,https://drive.google.com/file/d/1Hvu4z5-1GP7P55GxZcn2qAlEymSoH0eE/view?usp=sharing,2022-04-09,,,,,,,63.791,37.231,mm,,,
1,93,AC_89,6,,,,,,,,,,,,,,,,,,,,,
1,94,AC_89,7,,,,,,,,,,,,,,,,,,,,,
1,94,AC_89,8,,,,,,,,,,,,,,,,,,,,,
1,95,AC_89,9,https://drive.google.com/file/d/1XTl7IngdIMCGnFGxMbxZVpSPk8gb8803/view?usp=sharing,2022-04-21,15.616,mm,140.705,mm,,https://drive.google.com/file/d/1XcI_JQI_kT6UIF1cgMnuTgRpL_aem2N0/view?usp=sharing,2022-04-21,,,,,,,17.672,14.497,mm,,,
1,95,AC_89,10,https://drive.google.com/file/d/1XRMWYlswVzMKDf8zzGsBeS9Cd9U39g-c/view?usp=sharing,2022-04-21,19.738,mm,212.986,mm,,https://drive.google.com/file/d/1XTjAB7CNc16yXS5FIxTk4SNIRt-E_aST/view?usp=sharing,2022-04-21,,,,,,,56.258,30.01,mm,,,
1,96,AC_120,1,,,,,,,,,,,,,,,,,,,,,
1,96,AC_120,2,,,,,,,,,,,,,,,,,,,,,
1,97,AC_120,3,,,,,,,,,,,,,,,,,,,,,
1,97,AC_120,4,,,,,,,,,,,,,,,,,,,,,
1,98,AC_120,5,,,,,,,,,,,,,,,,,,,,,
1,98,AC_120,6,https://drive.google.com/file/d/1XEliAGHAXUOi99fLxAfw-q-M-fOJtWxE/view?usp=sharing,2022-04-21,21.393,mm,274.935,mm,,https://drive.google.com/file/d/1XONgbUyzFCm2Lwk3mcOU7E7x4fNF82o3/view?usp=sharing,2022-04-21,,,,,,,29.563,13.797,mm,,,
1,99,AC_120,7,,,,,,,,,,,,,,,,,,,,,
1,99,AC_120,8,https://drive.google.com/file/d/1X9HZXRYMk1dgfqhNDRSq5NWT8abZiwKw/view?usp=sharing,2022-04-21,21.57,mm,251.321,mm,,https://drive.google.com/file/d/1XD25XAOQCZdDzY4N2pUFtnLyLW94qnoo/view?usp=sharing,2022-04-21,,,,,,,45.789,23.539,mm,,,
1,100,AC_120,9,,,,,,,,,,,,,,,,,,,,,
1,100,AC_120,10,,,,,,,,,,,,,,,,,,,,,
1,101,AC_136,1,,,,,,,,,,,,,,,,,,,,,
1,101,AC_136,2,https://drive.google.com/file/d/1xFYncYqAInwc_zVNr1Yon_4SPdF1f75-/view?usp=sharing,2022-04-09,14.087,mm,128.194,mm,,https://drive.google.com/file/d/1mzIFRn74Vonyah_zz85X5_7_VUxajlWL/view?usp=sharing,2022-04-09,,,,,,,52.153,25.609,mm,,,
1,102,AC_136,3,,,,,,,,,,,,,,,,,,,,,
